arm,epoch,loss_before,loss_after,accuracy_after,selected,no_op,blocked,min_selected_magnitude,sign_reversals,both_sign_available,one_sign_available,no_legal_move
A0,0,0.70533133,0.69464195,0.50000000,13,4,0,0.02000000,0,17,0,0
A0,1,0.69464195,0.68517065,0.50000000,13,4,0,0.02000000,0,17,0,0
A0,2,0.68517065,0.67654657,0.75000000,13,4,0,0.02000000,1,17,0,0
A0,3,0.67654657,0.66918802,0.75000000,13,4,0,0.02000000,2,17,0,0
A0,4,0.66918802,0.66248721,0.75000000,14,3,0,0.02000000,3,17,0,0
A0,5,0.66248721,0.65688741,0.50000000,10,7,0,0.02000000,3,17,0,0
A0,6,0.65688741,0.65409625,0.50000000,11,6,0,0.02000000,3,17,0,0
A0,7,0.65409625,0.64886767,0.50000000,10,7,0,0.02000000,3,17,0,0
A0,8,0.64886767,0.64422011,0.50000000,10,7,0,0.02000000,2,17,0,0
A0,9,0.64422011,0.64156818,0.50000000,10,7,0,0.02000000,3,17,0,0
A0,10,0.64156818,0.64091414,0.50000000,12,5,0,0.02000000,5,17,0,0
A0,11,0.64091414,0.63529140,0.50000000,10,7,0,0.02000000,3,17,0,0
A0,12,0.63529140,0.63466305,0.50000000,11,6,0,0.02000000,5,17,0,0
A0,13,0.63466305,0.63188851,0.50000000,11,6,0,0.02000000,6,17,0,0
A0,14,0.63188851,0.62737155,0.75000000,10,7,0,0.02000000,4,17,0,0
A0,15,0.62737155,0.62409735,0.50000000,10,7,0,0.02000000,3,17,0,0
A0,16,0.62409735,0.62082404,0.75000000,12,5,0,0.02000000,4,17,0,0
A0,17,0.62082404,0.61771625,0.75000000,11,6,0,0.02000000,5,17,0,0
A0,18,0.61771625,0.61612105,0.50000000,11,6,0,0.02000000,3,17,0,0
A0,19,0.61612105,0.61089528,0.75000000,10,7,0,0.02000000,4,17,0,0
A0,20,0.61089528,0.61080235,0.50000000,11,6,0,0.02000000,3,17,0,0
A0,21,0.61080235,0.60633177,0.75000000,11,6,0,0.02000000,5,17,0,0
A0,22,0.60633177,0.60171574,0.75000000,10,7,0,0.02000000,4,17,0,0
A0,23,0.60171574,0.59932154,0.75000000,12,5,0,0.02000000,2,17,0,0
A0,24,0.59932154,0.59437686,0.75000000,11,6,0,0.02000000,1,17,0,0
A0,25,0.59437686,0.58766943,0.75000000,10,7,0,0.02000000,3,17,0,0
A0,26,0.58766943,0.58257520,0.75000000,11,6,0,0.02000000,4,17,0,0
A0,27,0.58257520,0.57813656,0.75000000,11,6,0,0.02000000,1,17,0,0
A0,28,0.57813656,0.57415593,0.75000000,12,5,0,0.02000000,5,17,0,0
