arm,epoch,loss_before,loss_after,accuracy_after,selected,no_op,blocked,min_selected_magnitude,predicted_utility,realized_utility,composition_error,absolute_composition_error
C0-linear,0,0.70533133,0.69464195,0.50000000,13,4,0,0.02000000,0.01101735,0.01068938,0.00032797,0.00032797
C0-linear,1,0.69464195,0.68517065,0.50000000,13,4,0,0.02000000,0.01036595,0.00947130,0.00089465,0.00089465
C0-linear,2,0.68517065,0.67654657,0.75000000,13,4,0,0.02000000,0.00992356,0.00862408,0.00129948,0.00129948
C0-linear,3,0.67654657,0.66918802,0.75000000,13,4,0,0.02000000,0.01001097,0.00735855,0.00265242,0.00265242
C0-linear,4,0.66918802,0.66248721,0.75000000,14,3,0,0.02000000,0.01137359,0.00670081,0.00467278,0.00467278
C0-linear,5,0.66248721,0.65688741,0.50000000,10,7,0,0.02000000,0.00676202,0.00559980,0.00116222,0.00116222
C0-linear,6,0.65688741,0.65409625,0.50000000,11,6,0,0.02000000,0.00826168,0.00279117,0.00547051,0.00547051
C0-linear,7,0.65409625,0.64886767,0.50000000,10,7,0,0.02000000,0.00631237,0.00522858,0.00108379,0.00108379
C0-linear,8,0.64886767,0.64422011,0.50000000,10,7,0,0.02000000,0.00573674,0.00464755,0.00108919,0.00108919
C0-linear,9,0.64422011,0.64156818,0.50000000,10,7,0,0.02000000,0.00608863,0.00265193,0.00343670,0.00343670
C0-linear,10,0.64156818,0.64091414,0.50000000,12,5,0,0.02000000,0.00767999,0.00065404,0.00702595,0.00702595
C0-linear,11,0.64091414,0.63529140,0.50000000,10,7,0,0.02000000,0.00630690,0.00562274,0.00068416,0.00068416
C0-linear,12,0.63529140,0.63466305,0.50000000,11,6,0,0.02000000,0.00756495,0.00062835,0.00693660,0.00693660
C0-linear,13,0.63466305,0.63188851,0.50000000,11,6,0,0.02000000,0.00675858,0.00277454,0.00398404,0.00398404
C0-linear,14,0.63188851,0.62737155,0.75000000,10,7,0,0.02000000,0.00536015,0.00451696,0.00084319,0.00084319
C0-linear,15,0.62737155,0.62409735,0.50000000,10,7,0,0.02000000,0.00689388,0.00327420,0.00361968,0.00361968
C0-linear,16,0.62409735,0.62082404,0.75000000,12,5,0,0.02000000,0.00790377,0.00327331,0.00463047,0.00463047
C0-linear,17,0.62082404,0.61771625,0.75000000,11,6,0,0.02000000,0.00737144,0.00310779,0.00426365,0.00426365
C0-linear,18,0.61771625,0.61612105,0.50000000,11,6,0,0.02000000,0.00812156,0.00159520,0.00652636,0.00652636
C0-linear,19,0.61612105,0.61089528,0.75000000,10,7,0,0.02000000,0.00717539,0.00522578,0.00194961,0.00194961
C0-linear,20,0.61089528,0.61080235,0.50000000,11,6,0,0.02000000,0.00577261,0.00009292,0.00567969,0.00567969
C0-linear,21,0.61080235,0.60633177,0.75000000,11,6,0,0.02000000,0.00883137,0.00447059,0.00436078,0.00436078
C0-linear,22,0.60633177,0.60171574,0.75000000,10,7,0,0.02000000,0.00581486,0.00461602,0.00119884,0.00119884
C0-linear,23,0.60171574,0.59932154,0.75000000,12,5,0,0.02000000,0.00880973,0.00239420,0.00641553,0.00641553
C0-linear,24,0.59932154,0.59437686,0.75000000,11,6,0,0.02000000,0.00581869,0.00494468,0.00087401,0.00087401
C0-linear,25,0.59437686,0.58766943,0.75000000,10,7,0,0.02000000,0.00761027,0.00670743,0.00090284,0.00090284
C0-linear,26,0.58766943,0.58257520,0.75000000,11,6,0,0.02000000,0.00595186,0.00509423,0.00085763,0.00085763
C0-linear,27,0.58257520,0.57813656,0.75000000,11,6,0,0.02000000,0.00776290,0.00443864,0.00332426,0.00332426
C0-linear,28,0.57813656,0.57415593,0.75000000,12,5,0,0.02000000,0.00999415,0.00398064,0.00601352,0.00601352
C0-linear,29,0.57415593,0.57063675,0.75000000,11,6,0,0.02000000,0.00819454,0.00351918,0.00467537,0.00467537
C0-linear,30,0.57063675,0.56907928,0.75000000,11,6,0,0.02000000,0.01017582,0.00155747,0.00861835,0.00861835
C0-linear,31,0.56907928,0.56295139,0.75000000,10,7,0,0.02000000,0.00826342,0.00612789,0.00213552,0.00213552
C0-linear,32,0.56295139,0.56305116,1.00000000,11,6,0,0.02000000,0.00638583,-0.00009978,0.00648561,0.00648561
C0-linear,33,0.56305116,0.55758286,0.75000000,11,6,0,0.02000000,0.01108223,0.00546831,0.00561392,0.00561392
C0-linear,34,0.55758286,0.55228293,1.00000000,10,7,0,0.02000000,0.00655558,0.00529993,0.00125565,0.00125565
C0-linear,35,0.55228293,0.55155516,0.75000000,12,5,0,0.02000000,0.01094524,0.00072777,0.01021747,0.01021747
C0-linear,36,0.55155516,0.54663152,1.00000000,12,5,0,0.02000000,0.01442435,0.00492364,0.00950070,0.00950070
C0-linear,37,0.54663152,0.53987783,1.00000000,10,7,0,0.02000000,0.00675722,0.00675368,0.00000353,0.00000353
C0-linear,38,0.53987783,0.53729516,0.75000000,10,7,0,0.02000000,0.00682576,0.00258267,0.00424309,0.00424309
C0-linear,39,0.53729516,0.53419012,1.00000000,12,5,0,0.02000000,0.01658004,0.00310504,0.01347500,0.01347500
C0-linear,40,0.53419012,0.52944022,1.00000000,11,6,0,0.02000000,0.01202625,0.00474989,0.00727636,0.00727636
C0-linear,41,0.52944022,0.52446634,1.00000000,10,7,0,0.02000000,0.00915016,0.00497389,0.00417627,0.00417627
C0-linear,42,0.52446634,0.52475548,1.00000000,13,4,0,0.02000000,0.01957541,-0.00028914,0.01986456,0.01986456
C0-linear,43,0.52475548,0.51631606,1.00000000,10,7,0,0.02000000,0.01084575,0.00843942,0.00240633,0.00240633
