arm,seed,epoch,left,right,exact_block_value,approximate_block_value,selected_actual_value,exact_regret
I0-exact,2b7e151628aed2a6,0,0,15,0.00078285,0.00078285,0.00078285,0.00000000
I0-exact,2b7e151628aed2a6,0,8,12,0.00094247,0.00094247,0.00094247,0.00000000
I0-exact,2b7e151628aed2a6,0,1,14,0.00085354,0.00085354,0.00085354,0.00000000
I0-exact,2b7e151628aed2a6,0,3,11,0.00327694,0.00327694,0.00327694,0.00000000
I0-exact,2b7e151628aed2a6,0,10,6,0.00074995,0.00074995,0.00074995,0.00000000
I0-exact,2b7e151628aed2a6,0,4,9,0.00205112,0.00205112,0.00205112,0.00000000
I0-exact,2b7e151628aed2a6,0,7,2,0.00000000,0.00000000,0.00000000,0.00000000
I0-exact,2b7e151628aed2a6,0,5,13,0.00080043,0.00080043,0.00080043,0.00000000
I0-exact,2b7e151628aed2a6,1,12,9,0.00201964,0.00201964,0.00201964,0.00000000
I0-exact,2b7e151628aed2a6,1,14,11,0.00251973,0.00251973,0.00251973,0.00000000
I0-exact,2b7e151628aed2a6,1,4,15,0.00082636,0.00082636,0.00082636,0.00000000
I0-exact,2b7e151628aed2a6,1,6,16,0.00127506,0.00127506,0.00127506,0.00000000
I0-exact,2b7e151628aed2a6,1,2,1,0.00000000,0.00000000,0.00000000,0.00000000
I0-exact,2b7e151628aed2a6,1,5,10,0.00065184,0.00065184,0.00065184,0.00000000
I0-exact,2b7e151628aed2a6,1,8,3,0.00163233,0.00163233,0.00163233,0.00000000
I0-exact,2b7e151628aed2a6,1,0,7,0.00000000,0.00000000,0.00000000,0.00000000
I0-exact,2b7e151628aed2a6,2,6,9,0.00069171,0.00069171,0.00069171,0.00000000
I0-exact,2b7e151628aed2a6,2,1,10,0.00021303,0.00021303,0.00021303,0.00000000
I0-exact,2b7e151628aed2a6,2,16,12,0.00163639,0.00163639,0.00163639,0.00000000
I0-exact,2b7e151628aed2a6,2,2,13,0.00002390,0.00002390,0.00002390,0.00000000
I0-exact,2b7e151628aed2a6,2,7,4,0.00042289,0.00042289,0.00042289,0.00000000
I0-exact,2b7e151628aed2a6,2,3,8,0.00088537,0.00088537,0.00088537,0.00000000
I0-exact,2b7e151628aed2a6,2,15,14,0.00104922,0.00104922,0.00104922,0.00000000
I0-exact,2b7e151628aed2a6,2,0,5,0.00022769,0.00022769,0.00022769,0.00000000
I0-exact,2b7e151628aed2a6,3,12,3,0.00083345,0.00083345,0.00083345,0.00000000
I0-exact,2b7e151628aed2a6,3,4,7,0.00030220,0.00030220,0.00030220,0.00000000
I0-exact,2b7e151628aed2a6,3,0,11,0.00013214,0.00013214,0.00013214,0.00000000
I0-exact,2b7e151628aed2a6,3,6,15,0.00129104,0.00129104,0.00129104,0.00000000
I0-exact,2b7e151628aed2a6,3,13,1,0.00000000,0.00000000,0.00000000,0.00000000
I0-exact,2b7e151628aed2a6,3,5,14,0.00058925,0.00058925,0.00058925,0.00000000
I0-exact,2b7e151628aed2a6,3,2,8,0.00004393,0.00004393,0.00004393,0.00000000
I0-exact,2b7e151628aed2a6,3,9,10,0.00010604,0.00010604,0.00010604,0.00000000
I0-exact,2b7e151628aed2a6,4,13,5,0.00009608,0.00009608,0.00009608,0.00000000
I0-exact,2b7e151628aed2a6,4,11,2,0.00009048,0.00009048,0.00009048,0.00000000
I0-exact,2b7e151628aed2a6,4,16,12,0.00122422,0.00122422,0.00122422,0.00000000
I0-exact,2b7e151628aed2a6,4,6,8,0.00084651,0.00084651,0.00084651,0.00000000
I0-exact,2b7e151628aed2a6,4,3,7,0.00000000,0.00000000,0.00000000,0.00000000
I0-exact,2b7e151628aed2a6,4,4,1,0.00027394,0.00027394,0.00027394,0.00000000
I0-exact,2b7e151628aed2a6,4,14,0,0.00042307,0.00042307,0.00042307,0.00000000
I0-exact,2b7e151628aed2a6,4,15,9,0.00058329,0.00058329,0.00058329,0.00000000
I0-exact,2b7e151628aed2a6,5,0,2,0.00000000,0.00000000,0.00000000,0.00000000
I0-exact,2b7e151628aed2a6,5,13,9,0.00000000,0.00000000,0.00000000,0.00000000
I0-exact,2b7e151628aed2a6,5,16,3,0.00006080,0.00006080,0.00006080,0.00000000
I0-exact,2b7e151628aed2a6,5,7,14,0.00032318,0.00032318,0.00032318,0.00000000
I0-exact,2b7e151628aed2a6,5,15,11,0.00146198,0.00146198,0.00146198,0.00000000
I0-exact,2b7e151628aed2a6,5,8,4,0.00024188,0.00024188,0.00024188,0.00000000
I0-exact,2b7e151628aed2a6,5,5,12,0.00089449,0.00089449,0.00089449,0.00000000
I0-exact,2b7e151628aed2a6,5,10,6,0.00000000,0.00000000,0.00000000,0.00000000
I0-exact,2b7e151628aed2a6,6,4,8,0.00021976,0.00021976,0.00021976,0.00000000
I0-exact,2b7e151628aed2a6,6,7,6,0.00000000,0.00000000,0.00000000,0.00000000
I0-exact,2b7e151628aed2a6,6,15,5,0.00067115,0.00067115,0.00067115,0.00000000
I0-exact,2b7e151628aed2a6,6,14,12,0.00116366,0.00116366,0.00116366,0.00000000
I0-exact,2b7e151628aed2a6,6,3,10,0.00000000,0.00000000,0.00000000,0.00000000
I0-exact,2b7e151628aed2a6,6,0,13,0.00000000,0.00000000,0.00000000,0.00000000
I0-exact,2b7e151628aed2a6,6,9,11,0.00000000,0.00000000,0.00000000,0.00000000
I0-exact,2b7e151628aed2a6,6,2,16,0.00000733,0.00000733,0.00000733,0.00000000
I0-exact,2b7e151628aed2a6,7,2,4,0.00022078,0.00022078,0.00022078,0.00000000
I0-exact,2b7e151628aed2a6,7,13,6,0.00000000,0.00000000,0.00000000,0.00000000
I0-exact,2b7e151628aed2a6,7,7,10,0.00000000,0.00000000,0.00000000,0.00000000
I0-exact,2b7e151628aed2a6,7,16,12,0.00089175,0.00089175,0.00089175,0.00000000
I0-exact,2b7e151628aed2a6,7,14,3,0.00030166,0.00030166,0.00030166,0.00000000
I0-exact,2b7e151628aed2a6,7,0,11,0.00000960,0.00000960,0.00000960,0.00000000
I0-exact,2b7e151628aed2a6,7,15,8,0.00069380,0.00069380,0.00069380,0.00000000
I0-exact,2b7e151628aed2a6,7,9,5,0.00000000,0.00000000,0.00000000,0.00000000
I0-exact,2b7e151628aed2a6,8,13,10,0.00000006,0.00000006,0.00000006,0.00000000
I0-exact,2b7e151628aed2a6,8,11,7,0.00001144,0.00001144,0.00001144,0.00000000
I0-exact,2b7e151628aed2a6,8,2,6,0.00000000,0.00000000,0.00000000,0.00000000
I0-exact,2b7e151628aed2a6,8,3,9,0.00000000,0.00000000,0.00000000,0.00000000
I0-exact,2b7e151628aed2a6,8,16,5,0.00000918,0.00000918,0.00000918,0.00000000
I0-exact,2b7e151628aed2a6,8,0,8,0.00049645,0.00049645,0.00049645,0.00000000
I0-exact,2b7e151628aed2a6,8,15,1,0.00067985,0.00067985,0.00067985,0.00000000
I0-exact,2b7e151628aed2a6,8,14,4,0.00046951,0.00046951,0.00046951,0.00000000
I0-exact,2b7e151628aed2a6,9,8,5,0.00001252,0.00001252,0.00001252,0.00000000
I0-exact,2b7e151628aed2a6,9,11,6,0.00178277,0.00178277,0.00178277,0.00000000
I0-exact,2b7e151628aed2a6,9,4,0,0.00074726,0.00074726,0.00074726,0.00000000
I0-exact,2b7e151628aed2a6,9,16,10,0.00000274,0.00000274,0.00000274,0.00000000
I0-exact,2b7e151628aed2a6,9,3,7,0.00000000,0.00000000,0.00000000,0.00000000
I0-exact,2b7e151628aed2a6,9,15,1,0.00070423,0.00070423,0.00070423,0.00000000
I0-exact,2b7e151628aed2a6,9,9,13,0.00000000,0.00000000,0.00000000,0.00000000
I0-exact,2b7e151628aed2a6,9,14,2,0.00029427,0.00029427,0.00029427,0.00000000
I0-exact,2b7e151628aed2a6,10,10,14,0.00028962,0.00028962,0.00028962,0.00000000
I0-exact,2b7e151628aed2a6,10,3,0,0.00000000,0.00000000,0.00000000,0.00000000
