arm,seed,rows,alpha,beta,correlation,bias,mae,mean_relative_error,cross_block_order_accuracy,inversion_count,margin_weighted_inversion_regret,near_tie_inversion_fraction,first_inversion_epoch
I0-exact,2b7e151628aed2a6,688,1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0,0.00000000,0.00000000,
I0-exact,77a19d3c4e280b51,688,1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0,0.00000000,0.00000000,
I0-exact,1111222233334444,688,1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0,0.00000000,0.00000000,
I1-additive,2b7e151628aed2a6,688,0.91748536,0.00009047,0.48697975,-0.00008195,0.00008232,0.03344825,0.95681065,104,0.20072755,0.29807693,8
I1-additive,77a19d3c4e280b51,688,0.87784123,0.00013212,0.39582860,-0.00011857,0.00011891,0.04312715,0.96553159,83,0.22505927,0.02409638,9
I1-additive,1111222233334444,688,0.84880227,0.00016391,0.33631527,-0.00014746,0.00014781,0.05569819,0.93438536,158,0.56746340,0.01898734,1
I2-anchor-cross-term,2b7e151628aed2a6,688,0.95047927,0.00006014,0.59583348,-0.00005448,0.00005448,0.01800643,0.96719271,79,0.15518034,0.35443038,9
I2-anchor-cross-term,77a19d3c4e280b51,688,0.86181056,0.00013768,0.40531987,-0.00012278,0.00012278,0.05271169,0.95556480,107,0.23387599,0.00934579,9
I2-anchor-cross-term,1111222233334444,688,0.85522610,0.00014505,0.36407238,-0.00013012,0.00013012,0.05347513,0.93812293,149,0.46775243,0.02684564,1
I3-conditional-beam,2b7e151628aed2a6,688,0.99957150,0.00000054,0.99982965,-0.00000049,0.00000049,0.00506770,1.00000000,0,0.00000000,0.00000000,
I3-conditional-beam,77a19d3c4e280b51,688,0.99991775,0.00000009,0.99998164,-0.00000008,0.00000008,0.00126657,1.00000000,0,0.00000000,0.00000000,
I3-conditional-beam,1111222233334444,688,1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0,0.00000000,0.00000000,
I4-cartesian-beam,2b7e151628aed2a6,688,1.01218569,0.00000733,0.93594348,-0.00000858,0.00000858,0.01702236,0.98255813,42,0.01070669,0.47619048,14
I4-cartesian-beam,77a19d3c4e280b51,688,1.01714993,0.00001053,0.90601802,-0.00001258,0.00001258,0.01382236,0.98712623,31,0.01465244,0.67741936,9
I4-cartesian-beam,1111222233334444,688,1.02473819,0.00001364,0.90131778,-0.00001629,0.00001629,0.01372436,0.98754156,30,0.02377385,0.03333334,1
I5-sampled,2b7e151628aed2a6,688,1.01324594,0.00000588,0.93791682,-0.00000725,0.00000725,0.00672158,0.99667776,8,0.00702542,0.00000000,14
I5-sampled,77a19d3c4e280b51,688,1.01564479,0.00001118,0.90807551,-0.00001312,0.00001312,0.01715903,0.99543190,11,0.01451325,0.09090909,9
I5-sampled,1111222233334444,688,1.01771092,0.00000907,0.94390082,-0.00001098,0.00001098,0.01376893,0.99252492,18,0.01150078,0.00000000,1
