policy,epoch,loss_before,loss_after,accuracy_after,selected,batches,predicted_utility,realized_utility,composition_error,absolute_composition_error
D0-all,0,0.70533133,0.69464195,0.50000000,13,1,0.01090997,0.01068938,0.00022060,0.00022060
D0-all,1,0.69464195,0.68484682,0.50000000,13,1,0.00995547,0.00979513,0.00016034,0.00016034
D0-all,2,0.68484682,0.67588174,0.75000000,12,1,0.00906229,0.00896508,0.00009722,0.00009722
D0-all,3,0.67588174,0.66786301,0.75000000,11,1,0.00812912,0.00801873,0.00011039,0.00011039
D0-all,4,0.66786301,0.66134226,0.75000000,10,1,0.00726926,0.00652075,0.00074852,0.00074852
D0-all,5,0.66134226,0.65699548,0.75000000,7,1,0.00440913,0.00434679,0.00006235,0.00006235
D0-all,6,0.65699548,0.65291005,0.50000000,7,1,0.00414056,0.00408542,0.00005513,0.00005513
D0-all,7,0.65291005,0.64907068,0.50000000,7,1,0.00388783,0.00383937,0.00004846,0.00004846
D0-all,8,0.64907068,0.64546251,0.50000000,7,1,0.00365031,0.00360817,0.00004214,0.00004214
D0-all,9,0.64546251,0.64200109,0.50000000,8,1,0.00350803,0.00346142,0.00004661,0.00004661
D0-all,10,0.64200109,0.63887250,0.50000000,9,1,0.00339228,0.00312859,0.00026369,0.00026369
D0-all,11,0.63887250,0.63537037,0.75000000,8,1,0.00354630,0.00350213,0.00004417,0.00004417
D0-all,12,0.63537037,0.63221681,0.75000000,8,1,0.00306726,0.00315356,-0.00008631,0.00008631
D0-all,13,0.63221681,0.62839150,0.75000000,8,1,0.00372541,0.00382531,-0.00009990,0.00009990
D0-all,14,0.62839150,0.62480217,0.75000000,9,1,0.00336701,0.00358933,-0.00022233,0.00022233
D0-all,15,0.62480217,0.62215877,0.75000000,8,1,0.00340790,0.00264341,0.00076449,0.00076449
D0-all,16,0.62215877,0.61792099,0.75000000,8,1,0.00406861,0.00423777,-0.00016916,0.00016916
D0-all,17,0.61792099,0.61577296,0.75000000,8,1,0.00306016,0.00214803,0.00091213,0.00091213
D0-all,18,0.61577296,0.61151373,0.75000000,8,1,0.00484818,0.00425923,0.00058895,0.00058895
D0-all,19,0.61151373,0.60917455,0.75000000,8,1,0.00336438,0.00233918,0.00102520,0.00102520
D0-all,20,0.60917455,0.60504538,0.75000000,8,1,0.00492162,0.00412917,0.00079244,0.00079244
D0-all,21,0.60504538,0.60237896,0.75000000,8,1,0.00378662,0.00266641,0.00112021,0.00112021
D0-all,22,0.60237896,0.59825909,0.75000000,8,1,0.00482738,0.00411987,0.00070751,0.00070751
D0-all,23,0.59825909,0.59540534,0.75000000,8,1,0.00407189,0.00285375,0.00121814,0.00121814
D0-all,24,0.59540534,0.59131384,0.75000000,8,1,0.00485706,0.00409150,0.00076556,0.00076556
D0-all,25,0.59131384,0.58827263,0.75000000,8,1,0.00435781,0.00304121,0.00131661,0.00131661
D0-all,26,0.58827263,0.58437705,0.75000000,8,1,0.00486743,0.00389558,0.00097185,0.00097185
D0-all,27,0.58437705,0.58100009,0.75000000,8,1,0.00478899,0.00337696,0.00141203,0.00141203
D0-all,28,0.58100009,0.57717121,0.75000000,8,1,0.00470674,0.00382888,0.00087786,0.00087786
D0-all,29,0.57717121,0.57360828,0.75000000,8,1,0.00507289,0.00356293,0.00150996,0.00150996
D0-all,30,0.57360828,0.56986308,0.75000000,8,1,0.00467789,0.00374520,0.00093269,0.00093269
D0-all,31,0.56986308,0.56611753,0.75000000,8,1,0.00535351,0.00374556,0.00160795,0.00160795
D0-all,32,0.56611753,0.56247252,0.75000000,8,1,0.00463223,0.00364500,0.00098723,0.00098723
D0-all,33,0.56247252,0.55854833,0.75000000,8,1,0.00563073,0.00392419,0.00170654,0.00170654
D0-all,34,0.55854833,0.55501908,0.75000000,8,1,0.00456947,0.00352925,0.00104022,0.00104022
D0-all,35,0.55501908,0.55092168,0.75000000,8,1,0.00590211,0.00409740,0.00180471,0.00180471
D0-all,36,0.55092168,0.54737186,0.50000000,6,1,0.00449157,0.00354981,0.00094175,0.00094175
D0-all,37,0.54737186,0.54566085,0.75000000,8,1,0.00366610,0.00171101,0.00195509,0.00195509
D0-all,38,0.54566085,0.54095364,0.75000000,8,1,0.00703424,0.00470722,0.00232702,0.00232702
D0-all,39,0.54095364,0.53795815,0.75000000,9,1,0.00503087,0.00299549,0.00203538,0.00203538
D0-all,40,0.53795815,0.53217107,0.75000000,8,1,0.00580835,0.00578707,0.00002128,0.00002128
D0-all,41,0.53217107,0.53007448,0.75000000,5,1,0.00211883,0.00209659,0.00002223,0.00002223
D0-all,42,0.53007448,0.52574813,0.75000000,7,1,0.00434572,0.00432634,0.00001937,0.00001937
D0-all,43,0.52574813,0.52061403,0.75000000,6,1,0.00511491,0.00513411,-0.00001919,0.00001919
D0-all,44,0.52061403,0.51861471,0.75000000,4,1,0.00199956,0.00199932,0.00000024,0.00000024
D0-all,45,0.51861471,0.51664627,0.75000000,4,1,0.00197178,0.00196844,0.00000334,0.00000334
D0-all,46,0.51664627,0.51469785,0.75000000,4,1,0.00195169,0.00194842,0.00000328,0.00000328
D0-all,47,0.51469785,0.51276863,0.75000000,4,1,0.00193202,0.00192922,0.00000280,0.00000280
D0-all,48,0.51276863,0.51085991,0.75000000,3,1,0.00191230,0.00190872,0.00000358,0.00000358
D0-all,49,0.51085991,0.50896966,0.75000000,5,1,0.00189310,0.00189024,0.00000286,0.00000286
D0-all,50,0.50896966,0.50697070,0.75000000,5,1,0.00199437,0.00199896,-0.00000459,0.00000459
D0-all,51,0.50697070,0.50281513,0.75000000,5,1,0.00418073,0.00415558,0.00002515,0.00002515
D0-all,52,0.50281513,0.50097322,0.75000000,5,1,0.00184411,0.00184190,0.00000221,0.00000221
D0-all,53,0.50097322,0.49777374,0.75000000,5,1,0.00319383,0.00319949,-0.00000566,0.00000566
D0-all,54,0.49777374,0.49596131,0.75000000,5,1,0.00181457,0.00181243,0.00000215,0.00000215
D0-all,55,0.49596131,0.49402082,0.75000000,7,1,0.00193992,0.00194049,-0.00000057,0.00000057
D0-all,56,0.49402082,0.48683995,0.75000000,7,1,0.00734985,0.00718087,0.00016898,0.00016898
D0-all,57,0.48683995,0.48505360,0.75000000,4,1,0.00178421,0.00178635,-0.00000215,0.00000215
D0-all,58,0.48505360,0.48331115,0.75000000,5,1,0.00174695,0.00174245,0.00000450,0.00000450
D0-all,59,0.48331115,0.48139429,0.75000000,7,1,0.00191206,0.00191686,-0.00000480,0.00000480
D0-all,60,0.48139429,0.47453946,0.75000000,8,1,0.00708076,0.00685483,0.00022593,0.00022593
D0-all,61,0.47453946,0.47254610,0.75000000,6,1,0.00204599,0.00199336,0.00005263,0.00005263
D0-all,62,0.47254610,0.46757746,0.75000000,7,1,0.00505066,0.00496864,0.00008202,0.00008202
D0-all,63,0.46757746,0.46566939,0.75000000,6,1,0.00192988,0.00190806,0.00002182,0.00002182
D0-all,64,0.46566939,0.46082807,0.75000000,7,1,0.00492585,0.00484133,0.00008452,0.00008452
D0-all,65,0.46082807,0.45896679,0.75000000,7,1,0.00188315,0.00186127,0.00002187,0.00002187
D0-all,66,0.45896679,0.45273924,0.75000000,8,1,0.00642157,0.00622755,0.00019401,0.00019401
D0-all,67,0.45273924,0.45089370,0.75000000,6,1,0.00189567,0.00184554,0.00005013,0.00005013
D0-all,68,0.45089370,0.44641870,0.75000000,7,1,0.00458938,0.00447500,0.00011438,0.00011438
D0-all,69,0.44641870,0.44463024,0.75000000,6,1,0.00183794,0.00178847,0.00004947,0.00004947
D0-all,70,0.44463024,0.44030416,0.75000000,7,1,0.00444096,0.00432608,0.00011489,0.00011489
D0-all,71,0.44030416,0.43857586,0.75000000,6,1,0.00177690,0.00172830,0.00004861,0.00004861
D0-all,72,0.43857586,0.43440390,0.75000000,7,1,0.00428650,0.00417197,0.00011453,0.00011453
D0-all,73,0.43440390,0.43271118,0.75000000,6,1,0.00171345,0.00169271,0.00002074,0.00002074
D0-all,74,0.43271118,0.42872471,0.75000000,7,1,0.00407547,0.00398648,0.00008899,0.00008899
D0-all,75,0.42872471,0.42709541,0.75000000,6,1,0.00164944,0.00162929,0.00002015,0.00002015
D0-all,76,0.42709541,0.42327225,0.75000000,7,1,0.00391191,0.00382316,0.00008875,0.00008875
D0-all,77,0.42327225,0.42170817,0.75000000,6,1,0.00158387,0.00156409,0.00001979,0.00001979
D0-all,78,0.42170817,0.41805053,0.75000000,7,1,0.00374585,0.00365764,0.00008821,0.00008821
D0-all,79,0.41805053,0.41655314,0.75000000,6,1,0.00151691,0.00149739,0.00001952,0.00001952
D0-all,80,0.41655314,0.41306224,0.75000000,7,1,0.00357819,0.00349090,0.00008729,0.00008729
D0-all,81,0.41306224,0.41163260,0.75000000,6,1,0.00144869,0.00142965,0.00001904,0.00001904
D0-all,82,0.41163260,0.40830883,0.75000000,7,1,0.00340962,0.00332376,0.00008586,0.00008586
D0-all,83,0.40830883,0.40693563,0.75000000,6,1,0.00138026,0.00137320,0.00000706,0.00000706
D0-all,84,0.40693563,0.40379691,0.75000000,7,1,0.00322258,0.00313872,0.00008386,0.00008386
D0-all,85,0.40379691,0.40248483,0.75000000,5,1,0.00133020,0.00131208,0.00001812,0.00001812
D0-all,86,0.40248483,0.40029544,0.75000000,8,1,0.00221950,0.00218940,0.00003010,0.00003010
D0-all,87,0.40029544,0.39730322,0.75000000,7,1,0.00296491,0.00299221,-0.00002730,0.00002730
D0-all,88,0.39730322,0.39530253,0.75000000,7,1,0.00202417,0.00200069,0.00002348,0.00002348
D0-all,89,0.39530253,0.39337194,0.75000000,7,1,0.00191012,0.00193059,-0.00002047,0.00002047
D0-all,90,0.39337194,0.39067975,0.75000000,8,1,0.00276977,0.00269219,0.00007758,0.00007758
D0-all,91,0.39067975,0.38886112,0.75000000,7,1,0.00180677,0.00181863,-0.00001186,0.00001186
D0-all,92,0.38886112,0.38641378,0.75000000,8,1,0.00252777,0.00244734,0.00008044,0.00008044
D0-all,93,0.38641378,0.38470045,0.75000000,7,1,0.00170371,0.00171334,-0.00000963,0.00000963
D0-all,94,0.38470045,0.38248125,0.75000000,8,1,0.00228688,0.00221920,0.00006768,0.00006768
D0-all,95,0.38248125,0.38088590,0.75000000,6,1,0.00158733,0.00159535,-0.00000802,0.00000802
D0-all,96,0.38088590,0.37946284,0.75000000,8,1,0.00144526,0.00142306,0.00002220,0.00002220
D0-all,97,0.37946284,0.37738514,0.75000000,7,1,0.00206542,0.00207770,-0.00001228,0.00001228
