policy,epoch,loss_before,loss_after,accuracy_after,selected_primitives,programs,pair_programs,group_programs,utility_evaluations,predicted_utility,realized_utility
E0-global-singleton,0,0.70533133,0.67789900,0.75000000,17,17,0,0,0,0.02743232,0.02743232
E0-global-singleton,1,0.67789900,0.66165566,0.75000000,17,17,0,0,0,0.01624334,0.01624334
E0-global-singleton,2,0.66165566,0.64976752,0.50000000,17,17,0,0,0,0.01188815,0.01188815
E0-global-singleton,3,0.64976752,0.63854605,0.50000000,17,17,0,0,0,0.01122147,0.01122147
E0-global-singleton,4,0.63854605,0.62796503,0.50000000,17,17,0,0,0,0.01058102,0.01058102
E0-global-singleton,5,0.62796503,0.61338001,0.50000000,17,17,0,0,0,0.01458502,0.01458502
E0-global-singleton,6,0.61338001,0.60257357,0.50000000,17,17,0,0,0,0.01080644,0.01080644
E0-global-singleton,7,0.60257357,0.59119344,0.50000000,17,17,0,0,0,0.01138014,0.01138014
E0-global-singleton,8,0.59119344,0.58097148,0.50000000,17,17,0,0,0,0.01022196,0.01022196
E0-global-singleton,9,0.58097148,0.57119662,0.75000000,17,17,0,0,0,0.00977486,0.00977486
E0-global-singleton,10,0.57119662,0.56111842,0.75000000,17,17,0,0,0,0.01007819,0.01007819
E0-global-singleton,11,0.56111842,0.55084777,0.75000000,17,17,0,0,0,0.01027066,0.01027066
E0-global-singleton,12,0.55084777,0.53795385,0.75000000,17,17,0,0,0,0.01289392,0.01289392
E0-global-singleton,13,0.53795385,0.52335316,0.75000000,17,17,0,0,0,0.01460069,0.01460069
E0-global-singleton,14,0.52335316,0.51054442,0.75000000,17,17,0,0,0,0.01280874,0.01280874
E0-global-singleton,15,0.51054442,0.49930507,0.75000000,17,17,0,0,0,0.01123935,0.01123935
E0-global-singleton,16,0.49930507,0.48937890,0.75000000,17,17,0,0,0,0.00992617,0.00992617
E0-global-singleton,17,0.48937890,0.48040545,0.75000000,17,17,0,0,0,0.00897345,0.00897345
E0-global-singleton,18,0.48040545,0.47158527,0.75000000,17,17,0,0,0,0.00882018,0.00882018
E0-global-singleton,19,0.47158527,0.46291596,0.75000000,17,17,0,0,0,0.00866932,0.00866932
E0-global-singleton,20,0.46291596,0.45439690,0.75000000,17,17,0,0,0,0.00851905,0.00851905
E0-global-singleton,21,0.45439690,0.44598866,1.00000000,17,17,0,0,0,0.00840825,0.00840825
E0-global-singleton,22,0.44598866,0.43786091,1.00000000,17,17,0,0,0,0.00812775,0.00812775
E0-global-singleton,23,0.43786091,0.42969137,1.00000000,17,17,0,0,0,0.00816953,0.00816953
E0-global-singleton,24,0.42969137,0.42215002,1.00000000,17,17,0,0,0,0.00754136,0.00754136
E0-global-singleton,25,0.42215002,0.41589057,1.00000000,17,17,0,0,0,0.00625944,0.00625944
E0-global-singleton,26,0.41589057,0.41145688,1.00000000,17,17,0,0,0,0.00443369,0.00443369
E0-global-singleton,27,0.41145688,0.40173405,1.00000000,17,17,0,0,0,0.00972283,0.00972283
E0-global-singleton,28,0.40173405,0.38976425,1.00000000,17,17,0,0,0,0.01196980,0.01196980
E0-global-singleton,29,0.38976425,0.36558738,1.00000000,17,17,0,0,0,0.02417687,0.02417687
E0-global-singleton,30,0.36558738,0.34785071,1.00000000,17,17,0,0,0,0.01773667,0.01773667
E0-global-singleton,31,0.34785071,0.32483611,1.00000000,17,17,0,0,0,0.02301461,0.02301461
E0-global-singleton,32,0.32483611,0.31505337,1.00000000,17,17,0,0,0,0.00978273,0.00978273
E0-global-singleton,33,0.31505337,0.30171302,1.00000000,17,17,0,0,0,0.01334035,0.01334035
E0-global-singleton,34,0.30171302,0.28889310,1.00000000,17,17,0,0,0,0.01281992,0.01281992
E0-global-singleton,35,0.28889310,0.27587280,1.00000000,17,17,0,0,0,0.01302031,0.01302031
E0-global-singleton,36,0.27587280,0.26497683,1.00000000,17,17,0,0,0,0.01089597,0.01089597
E0-global-singleton,37,0.26497683,0.25502753,1.00000000,17,17,0,0,0,0.00994930,0.00994930
E0-global-singleton,38,0.25502753,0.24917373,1.00000000,17,17,0,0,0,0.00585380,0.00585380
E0-global-singleton,39,0.24917373,0.24270049,1.00000000,17,17,0,0,0,0.00647324,0.00647324
E0-global-singleton,40,0.24270049,0.23575601,1.00000000,17,17,0,0,0,0.00694448,0.00694448
E0-global-singleton,41,0.23575601,0.22858110,1.00000000,17,17,0,0,0,0.00717491,0.00717491
E0-global-singleton,42,0.22858110,0.22310014,1.00000000,17,17,0,0,0,0.00548096,0.00548096
E0-global-singleton,43,0.22310014,0.21809535,1.00000000,17,17,0,0,0,0.00500479,0.00500479
E0-global-singleton,44,0.21809535,0.21399347,1.00000000,17,17,0,0,0,0.00410187,0.00410187
E0-global-singleton,45,0.21399347,0.21063881,1.00000000,17,17,0,0,0,0.00335467,0.00335467
E0-global-singleton,46,0.21063881,0.20790775,1.00000000,17,17,0,0,0,0.00273106,0.00273106
E0-global-singleton,47,0.20790775,0.20585218,1.00000000,17,17,0,0,0,0.00205557,0.00205557
E0-global-singleton,48,0.20585218,0.20399033,1.00000000,17,17,0,0,0,0.00186186,0.00186186
E0-global-singleton,49,0.20399033,0.20247225,1.00000000,17,17,0,0,0,0.00151807,0.00151807
E0-global-singleton,50,0.20247225,0.20123714,1.00000000,17,17,0,0,0,0.00123511,0.00123511
E0-global-singleton,51,0.20123714,0.20023544,1.00000000,17,17,0,0,0,0.00100170,0.00100170
E0-global-singleton,52,0.20023544,0.19950920,1.00000000,17,17,0,0,0,0.00072624,0.00072624
E0-global-singleton,53,0.19950920,0.18996318,1.00000000,17,17,0,0,0,0.00954603,0.00954603
E0-global-singleton,54,0.18996318,0.18534479,1.00000000,5,6,0,0,0,0.00461839,0.00461839
E0-global-singleton,55,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,56,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,57,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,58,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,59,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,60,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,61,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,62,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,63,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,64,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,65,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,66,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,67,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,68,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,69,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,70,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,71,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,72,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,73,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,74,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,75,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,76,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,77,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,78,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,79,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,80,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,81,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,82,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,83,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,84,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,85,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,86,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,87,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,88,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,89,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,90,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,91,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,92,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,93,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,94,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,95,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,96,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,97,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,98,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,99,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,100,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,101,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,102,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,103,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,104,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,105,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,106,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,107,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,108,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,109,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,110,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,111,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,112,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,113,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,114,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,115,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,116,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,117,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,118,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,119,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,120,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,121,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,122,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,123,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,124,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,125,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,126,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,127,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,128,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,129,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,130,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,131,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,132,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,133,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,134,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,135,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,136,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,137,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,138,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,139,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,140,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,141,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,142,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
E0-global-singleton,143,0.18534479,0.18534479,1.00000000,0,1,0,0,0,0.00000000,0.00000000
