kind,variant,final_loss,final_accuracy,final_mse,selected_primitives,programs,utility_evaluations,predicted_utility,realized_utility,partition_objective
F0-global-singleton,0,0.18534479,1.00000000,0.04644836,923,3869,576845,0.51998663,0.51998663,
F1-random-fixed,0,0.21234989,1.00000000,0.04338792,1461,671,15062329,0.49298146,0.49298146,
F1-random-fixed,1,0.01400133,1.00000000,0.00056688,2356,1050,12569500,0.69132996,0.69132996,
F1-random-fixed,2,0.20105195,1.00000000,0.03773171,1460,628,12744061,0.50427938,0.50427938,
F1-random-fixed,3,0.42654699,0.75000000,0.13597505,1033,465,14139927,0.27878433,0.27878433,
F1-random-fixed,4,0.39045173,0.75000000,0.13232607,1138,490,14093087,0.31487960,0.31487960,
F1-random-fixed,5,0.01591549,1.00000000,0.00024931,1862,882,14758707,0.68941587,0.68941587,
F1-random-fixed,6,0.25216335,1.00000000,0.05704296,1355,593,14436213,0.45316797,0.45316797,
F1-random-fixed,7,0.01335427,1.00000000,0.00056457,3227,1475,13209743,0.69197690,0.69197690,
F1-random-fixed,8,0.38777667,1.00000000,0.11012002,754,436,15950916,0.31755465,0.31755465,
F1-random-fixed,9,0.30241203,1.00000000,0.07634977,1160,492,14327293,0.40291929,0.40291929,
F1-random-fixed,10,0.39150923,0.75000000,0.13302165,1197,575,13446251,0.31382209,0.31382209,
F1-random-fixed,11,0.02974271,1.00000000,0.00119443,2791,1161,12310243,0.67558879,0.67558879,
F1-random-fixed,12,0.40850317,0.75000000,0.13248053,994,402,12805980,0.29682815,0.29682815,
F1-random-fixed,13,0.42016637,1.00000000,0.12463650,756,438,15996904,0.28516495,0.28516495,
F1-random-fixed,14,0.22064950,1.00000000,0.04144839,1074,536,15329125,0.48468184,0.48468184,
F1-random-fixed,15,0.18467835,1.00000000,0.03767707,1378,644,16991632,0.52065289,0.52065289,
F2-anti-topology,0,0.39150929,0.75000000,0.13302168,1083,539,13423984,0.31382203,0.31382203,0.00000009
F3-topology-max,0,0.16017571,1.00000000,0.03750659,1792,770,11690747,0.54515582,0.54515582,0.00248969
F4-dynamic-random,0,0.01338628,1.00000000,0.00056536,2902,1192,10151891,0.69194514,0.69194514,
F5-structural-singleton-score,0,0.34661716,0.50000000,0.12500006,2327,1087,560210,0.44494134,0.35871416,
F6-structural-compound-score,0,0.01338625,1.00000000,0.00056536,2481,1183,11342642,0.69194514,0.69194514,
W1-width-1,0,0.21021266,1.00000000,0.04527836,772,772,647894,0.49511868,0.49511868,
W2-width-2,0,0.18521175,1.00000000,0.04552763,1395,755,2943321,0.52011955,0.52011955,
W3-width-3,0,0.39820254,0.75000000,0.13100791,1369,483,17078061,0.30712879,0.30712879,
W4-width-4,0,0.40876269,0.75000000,0.13352004,1230,318,138998431,0.29656863,0.29656863,
