policy,first,second,joint_evaluations
G0-dynamic-random,0,1,381
G0-dynamic-random,0,2,344
G0-dynamic-random,0,3,364
G0-dynamic-random,0,4,324
G0-dynamic-random,0,5,353
G0-dynamic-random,0,6,374
G0-dynamic-random,0,7,378
G0-dynamic-random,0,8,366
G0-dynamic-random,0,9,365
G0-dynamic-random,0,10,374
G0-dynamic-random,0,11,332
G0-dynamic-random,0,12,370
G0-dynamic-random,0,13,367
G0-dynamic-random,0,14,356
G0-dynamic-random,0,15,368
G0-dynamic-random,0,16,372
G0-dynamic-random,1,2,409
G0-dynamic-random,1,3,328
G0-dynamic-random,1,4,353
G0-dynamic-random,1,5,397
G0-dynamic-random,1,6,364
G0-dynamic-random,1,7,366
G0-dynamic-random,1,8,349
G0-dynamic-random,1,9,397
G0-dynamic-random,1,10,356
G0-dynamic-random,1,11,351
G0-dynamic-random,1,12,347
G0-dynamic-random,1,13,324
G0-dynamic-random,1,14,349
G0-dynamic-random,1,15,367
G0-dynamic-random,1,16,328
G0-dynamic-random,2,3,331
G0-dynamic-random,2,4,362
G0-dynamic-random,2,5,362
G0-dynamic-random,2,6,370
G0-dynamic-random,2,7,364
G0-dynamic-random,2,8,374
G0-dynamic-random,2,9,369
G0-dynamic-random,2,10,368
G0-dynamic-random,2,11,338
G0-dynamic-random,2,12,365
G0-dynamic-random,2,13,375
G0-dynamic-random,2,14,333
G0-dynamic-random,2,15,377
G0-dynamic-random,2,16,365
G0-dynamic-random,3,4,385
G0-dynamic-random,3,5,352
G0-dynamic-random,3,6,359
G0-dynamic-random,3,7,372
G0-dynamic-random,3,8,364
G0-dynamic-random,3,9,360
G0-dynamic-random,3,10,346
G0-dynamic-random,3,11,385
G0-dynamic-random,3,12,327
G0-dynamic-random,3,13,334
G0-dynamic-random,3,14,372
G0-dynamic-random,3,15,394
G0-dynamic-random,3,16,359
G0-dynamic-random,4,5,348
G0-dynamic-random,4,6,364
G0-dynamic-random,4,7,369
G0-dynamic-random,4,8,370
G0-dynamic-random,4,9,372
G0-dynamic-random,4,10,373
G0-dynamic-random,4,11,355
G0-dynamic-random,4,12,373
G0-dynamic-random,4,13,391
G0-dynamic-random,4,14,319
G0-dynamic-random,4,15,354
G0-dynamic-random,4,16,342
G0-dynamic-random,5,6,344
G0-dynamic-random,5,7,343
G0-dynamic-random,5,8,347
G0-dynamic-random,5,9,378
G0-dynamic-random,5,10,333
G0-dynamic-random,5,11,341
G0-dynamic-random,5,12,375
G0-dynamic-random,5,13,345
G0-dynamic-random,5,14,387
G0-dynamic-random,5,15,351
G0-dynamic-random,5,16,346
G0-dynamic-random,6,7,371
G0-dynamic-random,6,8,341
G0-dynamic-random,6,9,365
G0-dynamic-random,6,10,326
G0-dynamic-random,6,11,357
G0-dynamic-random,6,12,335
G0-dynamic-random,6,13,355
G0-dynamic-random,6,14,380
G0-dynamic-random,6,15,337
G0-dynamic-random,6,16,368
G0-dynamic-random,7,8,378
G0-dynamic-random,7,9,319
G0-dynamic-random,7,10,331
G0-dynamic-random,7,11,391
G0-dynamic-random,7,12,359
G0-dynamic-random,7,13,364
G0-dynamic-random,7,14,387
G0-dynamic-random,7,15,377
G0-dynamic-random,7,16,373
G0-dynamic-random,8,9,378
G0-dynamic-random,8,10,367
G0-dynamic-random,8,11,346
G0-dynamic-random,8,12,361
G0-dynamic-random,8,13,365
G0-dynamic-random,8,14,355
G0-dynamic-random,8,15,357
G0-dynamic-random,8,16,342
G0-dynamic-random,9,10,371
G0-dynamic-random,9,11,343
G0-dynamic-random,9,12,366
G0-dynamic-random,9,13,376
G0-dynamic-random,9,14,347
G0-dynamic-random,9,15,332
G0-dynamic-random,9,16,330
G0-dynamic-random,10,11,383
G0-dynamic-random,10,12,358
G0-dynamic-random,10,13,368
G0-dynamic-random,10,14,352
G0-dynamic-random,10,15,384
G0-dynamic-random,10,16,364
G0-dynamic-random,11,12,400
G0-dynamic-random,11,13,375
G0-dynamic-random,11,14,366
G0-dynamic-random,11,15,359
G0-dynamic-random,11,16,346
G0-dynamic-random,12,13,352
G0-dynamic-random,12,14,354
G0-dynamic-random,12,15,359
G0-dynamic-random,12,16,395
G0-dynamic-random,13,14,349
G0-dynamic-random,13,15,337
G0-dynamic-random,13,16,353
G0-dynamic-random,14,15,378
G0-dynamic-random,14,16,374
G0-dynamic-random,15,16,349
G1-round-robin,0,1,290
G1-round-robin,0,2,579
G1-round-robin,0,3,290
G1-round-robin,0,4,290
G1-round-robin,0,5,290
G1-round-robin,0,6,290
G1-round-robin,0,7,579
G1-round-robin,0,8,579
G1-round-robin,0,9,579
G1-round-robin,0,10,290
G1-round-robin,0,11,579
G1-round-robin,0,12,579
G1-round-robin,0,13,290
G1-round-robin,0,14,867
G1-round-robin,0,15,290
G1-round-robin,0,16,289
G1-round-robin,1,2,868
G1-round-robin,1,3,868
G1-round-robin,1,4,290
G1-round-robin,1,5,579
G1-round-robin,1,6,290
G1-round-robin,1,7,579
G1-round-robin,1,8,579
G1-round-robin,1,9,290
G1-round-robin,1,10,290
G1-round-robin,1,11,290
G1-round-robin,1,12,579
G1-round-robin,1,13,289
G1-round-robin,1,14,290
G1-round-robin,1,15,289
G1-round-robin,1,16,290
G1-round-robin,2,3,1158
G1-round-robin,2,4,290
G1-round-robin,2,5,290
G1-round-robin,2,6,290
G1-round-robin,2,7,290
G1-round-robin,2,8,290
G1-round-robin,2,9,290
G1-round-robin,2,10,290
G1-round-robin,2,11,289
G1-round-robin,2,12,290
G1-round-robin,2,13,290
G1-round-robin,2,14,290
G1-round-robin,2,15,289
G1-round-robin,2,16,289
G1-round-robin,3,4,290
G1-round-robin,3,5,290
G1-round-robin,3,6,290
G1-round-robin,3,7,579
G1-round-robin,3,8,290
G1-round-robin,3,9,290
G1-round-robin,3,10,289
G1-round-robin,3,11,290
G1-round-robin,3,12,290
G1-round-robin,3,13,289
G1-round-robin,3,14,289
G1-round-robin,3,15,290
G1-round-robin,3,16,290
G1-round-robin,4,5,869
G1-round-robin,4,6,868
G1-round-robin,4,7,290
G1-round-robin,4,8,290
G1-round-robin,4,9,290
G1-round-robin,4,10,290
G1-round-robin,4,11,289
G1-round-robin,4,12,290
G1-round-robin,4,13,289
G1-round-robin,4,14,289
G1-round-robin,4,15,289
G1-round-robin,4,16,289
G1-round-robin,5,6,579
G1-round-robin,5,7,290
G1-round-robin,5,8,290
G1-round-robin,5,9,290
G1-round-robin,5,10,289
G1-round-robin,5,11,290
G1-round-robin,5,12,290
G1-round-robin,5,13,289
G1-round-robin,5,14,289
G1-round-robin,5,15,289
G1-round-robin,5,16,289
G1-round-robin,6,7,290
G1-round-robin,6,8,579
G1-round-robin,6,9,289
G1-round-robin,6,10,290
G1-round-robin,6,11,290
G1-round-robin,6,12,289
G1-round-robin,6,13,289
G1-round-robin,6,14,289
G1-round-robin,6,15,289
G1-round-robin,6,16,289
G1-round-robin,7,8,868
G1-round-robin,7,9,578
G1-round-robin,7,10,290
G1-round-robin,7,11,290
G1-round-robin,7,12,289
G1-round-robin,7,13,289
G1-round-robin,7,14,289
G1-round-robin,7,15,289
G1-round-robin,7,16,289
G1-round-robin,8,9,578
G1-round-robin,8,10,290
G1-round-robin,8,11,290
G1-round-robin,8,12,289
G1-round-robin,8,13,289
G1-round-robin,8,14,289
G1-round-robin,8,15,289
G1-round-robin,8,16,289
G1-round-robin,9,10,579
G1-round-robin,9,11,290
G1-round-robin,9,12,290
G1-round-robin,9,13,290
G1-round-robin,9,14,289
G1-round-robin,9,15,289
G1-round-robin,9,16,289
G1-round-robin,10,11,579
G1-round-robin,10,12,290
G1-round-robin,10,13,289
G1-round-robin,10,14,289
G1-round-robin,10,15,289
G1-round-robin,10,16,289
G1-round-robin,11,12,290
G1-round-robin,11,13,289
G1-round-robin,11,14,289
G1-round-robin,11,15,289
G1-round-robin,11,16,289
G1-round-robin,12,13,290
G1-round-robin,12,14,289
G1-round-robin,12,15,289
G1-round-robin,12,16,289
G1-round-robin,13,14,290
G1-round-robin,13,15,290
G1-round-robin,13,16,289
G1-round-robin,14,15,289
G1-round-robin,14,16,290
G1-round-robin,15,16,290
G2-low-coverage,0,1,0
G2-low-coverage,0,2,0
G2-low-coverage,0,3,0
G2-low-coverage,0,4,1887
G2-low-coverage,0,5,0
G2-low-coverage,0,6,0
G2-low-coverage,0,7,0
G2-low-coverage,0,8,0
G2-low-coverage,0,9,0
G2-low-coverage,0,10,0
G2-low-coverage,0,11,1887
G2-low-coverage,0,12,0
G2-low-coverage,0,13,0
G2-low-coverage,0,14,0
G2-low-coverage,0,15,0
G2-low-coverage,0,16,0
G2-low-coverage,1,2,0
G2-low-coverage,1,3,0
G2-low-coverage,1,4,0
G2-low-coverage,1,5,0
G2-low-coverage,1,6,0
G2-low-coverage,1,7,1887
G2-low-coverage,1,8,0
G2-low-coverage,1,9,0
G2-low-coverage,1,10,0
G2-low-coverage,1,11,0
G2-low-coverage,1,12,1887
G2-low-coverage,1,13,0
G2-low-coverage,1,14,0
G2-low-coverage,1,15,0
G2-low-coverage,1,16,0
G2-low-coverage,2,3,0
G2-low-coverage,2,4,1886
G2-low-coverage,2,5,0
G2-low-coverage,2,6,0
G2-low-coverage,2,7,0
G2-low-coverage,2,8,1886
G2-low-coverage,2,9,0
G2-low-coverage,2,10,0
G2-low-coverage,2,11,0
G2-low-coverage,2,12,0
G2-low-coverage,2,13,0
G2-low-coverage,2,14,0
G2-low-coverage,2,15,0
G2-low-coverage,2,16,0
G2-low-coverage,3,4,0
G2-low-coverage,3,5,0
G2-low-coverage,3,6,0
G2-low-coverage,3,7,0
G2-low-coverage,3,8,0
G2-low-coverage,3,9,0
G2-low-coverage,3,10,0
G2-low-coverage,3,11,0
G2-low-coverage,3,12,0
G2-low-coverage,3,13,1887
G2-low-coverage,3,14,0
G2-low-coverage,3,15,1887
G2-low-coverage,3,16,0
G2-low-coverage,4,5,0
G2-low-coverage,4,6,0
G2-low-coverage,4,7,0
G2-low-coverage,4,8,1886
G2-low-coverage,4,9,0
G2-low-coverage,4,10,0
G2-low-coverage,4,11,1887
G2-low-coverage,4,12,0
G2-low-coverage,4,13,0
G2-low-coverage,4,14,0
G2-low-coverage,4,15,0
G2-low-coverage,4,16,0
G2-low-coverage,5,6,0
G2-low-coverage,5,7,0
G2-low-coverage,5,8,0
G2-low-coverage,5,9,0
G2-low-coverage,5,10,0
G2-low-coverage,5,11,0
G2-low-coverage,5,12,0
G2-low-coverage,5,13,1886
G2-low-coverage,5,14,0
G2-low-coverage,5,15,0
G2-low-coverage,5,16,1886
G2-low-coverage,6,7,0
G2-low-coverage,6,8,0
G2-low-coverage,6,9,0
G2-low-coverage,6,10,0
G2-low-coverage,6,11,0
G2-low-coverage,6,12,1886
G2-low-coverage,6,13,0
G2-low-coverage,6,14,1886
G2-low-coverage,6,15,0
G2-low-coverage,6,16,0
G2-low-coverage,7,8,0
G2-low-coverage,7,9,0
G2-low-coverage,7,10,1886
G2-low-coverage,7,11,0
G2-low-coverage,7,12,1887
G2-low-coverage,7,13,0
G2-low-coverage,7,14,0
G2-low-coverage,7,15,1886
G2-low-coverage,7,16,0
G2-low-coverage,8,9,0
G2-low-coverage,8,10,1887
G2-low-coverage,8,11,0
G2-low-coverage,8,12,0
G2-low-coverage,8,13,0
G2-low-coverage,8,14,0
G2-low-coverage,8,15,0
G2-low-coverage,8,16,1887
G2-low-coverage,9,10,0
G2-low-coverage,9,11,0
G2-low-coverage,9,12,0
G2-low-coverage,9,13,0
G2-low-coverage,9,14,0
G2-low-coverage,9,15,0
G2-low-coverage,9,16,0
G2-low-coverage,10,11,0
G2-low-coverage,10,12,0
G2-low-coverage,10,13,0
G2-low-coverage,10,14,0
G2-low-coverage,10,15,1886
G2-low-coverage,10,16,1887
G2-low-coverage,11,12,0
G2-low-coverage,11,13,0
G2-low-coverage,11,14,0
G2-low-coverage,11,15,0
G2-low-coverage,11,16,0
G2-low-coverage,12,13,0
G2-low-coverage,12,14,1886
G2-low-coverage,12,15,0
G2-low-coverage,12,16,0
G2-low-coverage,13,14,0
G2-low-coverage,13,15,1887
G2-low-coverage,13,16,1886
G2-low-coverage,14,15,0
G2-low-coverage,14,16,0
G2-low-coverage,15,16,0
G3-no-repeat,0,1,3
G3-no-repeat,0,2,2
G3-no-repeat,0,3,1
G3-no-repeat,0,4,1
G3-no-repeat,0,5,1
G3-no-repeat,0,6,1
G3-no-repeat,0,7,1
G3-no-repeat,0,8,2
G3-no-repeat,0,9,3
G3-no-repeat,0,10,2
G3-no-repeat,0,11,1
G3-no-repeat,0,12,4169
G3-no-repeat,0,13,4
G3-no-repeat,0,14,1
G3-no-repeat,0,15,2
G3-no-repeat,0,16,4168
G3-no-repeat,1,2,2
G3-no-repeat,1,3,2
G3-no-repeat,1,4,1
G3-no-repeat,1,5,2
G3-no-repeat,1,6,1
G3-no-repeat,1,7,3
G3-no-repeat,1,8,4169
G3-no-repeat,1,9,2
G3-no-repeat,1,10,1
G3-no-repeat,1,11,1
G3-no-repeat,1,12,2
G3-no-repeat,1,13,4
G3-no-repeat,1,14,1
G3-no-repeat,1,15,4171
G3-no-repeat,1,16,1
G3-no-repeat,2,3,2
G3-no-repeat,2,4,4
G3-no-repeat,2,5,1
G3-no-repeat,2,6,2
G3-no-repeat,2,7,3
G3-no-repeat,2,8,1
G3-no-repeat,2,9,1
G3-no-repeat,2,10,3
G3-no-repeat,2,11,1
G3-no-repeat,2,12,2
G3-no-repeat,2,13,4
G3-no-repeat,2,14,1
G3-no-repeat,2,15,2
G3-no-repeat,2,16,3
G3-no-repeat,3,4,1
G3-no-repeat,3,5,3
G3-no-repeat,3,6,2
G3-no-repeat,3,7,1
G3-no-repeat,3,8,2
G3-no-repeat,3,9,1
G3-no-repeat,3,10,1
G3-no-repeat,3,11,2
G3-no-repeat,3,12,1
G3-no-repeat,3,13,4170
G3-no-repeat,3,14,4171
G3-no-repeat,3,15,2
G3-no-repeat,3,16,2
G3-no-repeat,4,5,4
G3-no-repeat,4,6,1
G3-no-repeat,4,7,2
G3-no-repeat,4,8,1
G3-no-repeat,4,9,1
G3-no-repeat,4,10,1
G3-no-repeat,4,11,2
G3-no-repeat,4,12,1
G3-no-repeat,4,13,1
G3-no-repeat,4,14,2
G3-no-repeat,4,15,1
G3-no-repeat,4,16,2
G3-no-repeat,5,6,1
G3-no-repeat,5,7,2
G3-no-repeat,5,8,1
G3-no-repeat,5,9,1
G3-no-repeat,5,10,2
G3-no-repeat,5,11,2
G3-no-repeat,5,12,1
G3-no-repeat,5,13,1
G3-no-repeat,5,14,3
G3-no-repeat,5,15,2
G3-no-repeat,5,16,1
G3-no-repeat,6,7,1
G3-no-repeat,6,8,1
G3-no-repeat,6,9,2
G3-no-repeat,6,10,1
G3-no-repeat,6,11,1
G3-no-repeat,6,12,4
G3-no-repeat,6,13,1
G3-no-repeat,6,14,2
G3-no-repeat,6,15,3
G3-no-repeat,6,16,2
G3-no-repeat,7,8,1
G3-no-repeat,7,9,4168
G3-no-repeat,7,10,2
G3-no-repeat,7,11,4168
G3-no-repeat,7,12,1
G3-no-repeat,7,13,1
G3-no-repeat,7,14,1
G3-no-repeat,7,15,2
G3-no-repeat,7,16,1
G3-no-repeat,8,9,1
G3-no-repeat,8,10,2
G3-no-repeat,8,11,2
G3-no-repeat,8,12,1
G3-no-repeat,8,13,2
G3-no-repeat,8,14,1
G3-no-repeat,8,15,4170
G3-no-repeat,8,16,1
G3-no-repeat,9,10,1
G3-no-repeat,9,11,4168
G3-no-repeat,9,12,1
G3-no-repeat,9,13,3
G3-no-repeat,9,14,1
G3-no-repeat,9,15,1
G3-no-repeat,9,16,1
G3-no-repeat,10,11,2
G3-no-repeat,10,12,1
G3-no-repeat,10,13,2
G3-no-repeat,10,14,3
G3-no-repeat,10,15,1
G3-no-repeat,10,16,3
G3-no-repeat,11,12,1
G3-no-repeat,11,13,1
G3-no-repeat,11,14,2
G3-no-repeat,11,15,3
G3-no-repeat,11,16,3
G3-no-repeat,12,13,1
G3-no-repeat,12,14,1
G3-no-repeat,12,15,1
G3-no-repeat,12,16,4168
G3-no-repeat,13,14,4170
G3-no-repeat,13,15,4
G3-no-repeat,13,16,3
G3-no-repeat,14,15,2
G3-no-repeat,14,16,2
G3-no-repeat,15,16,1
G4-forbidden-hot-pairs,0,1,413
G4-forbidden-hot-pairs,0,2,366
G4-forbidden-hot-pairs,0,3,376
G4-forbidden-hot-pairs,0,4,390
G4-forbidden-hot-pairs,0,5,322
G4-forbidden-hot-pairs,0,6,390
G4-forbidden-hot-pairs,0,7,372
G4-forbidden-hot-pairs,0,8,0
G4-forbidden-hot-pairs,0,9,363
G4-forbidden-hot-pairs,0,10,469
G4-forbidden-hot-pairs,0,11,392
G4-forbidden-hot-pairs,0,12,361
G4-forbidden-hot-pairs,0,13,371
G4-forbidden-hot-pairs,0,14,384
G4-forbidden-hot-pairs,0,15,375
G4-forbidden-hot-pairs,0,16,402
G4-forbidden-hot-pairs,1,2,355
G4-forbidden-hot-pairs,1,3,355
G4-forbidden-hot-pairs,1,4,369
G4-forbidden-hot-pairs,1,5,348
G4-forbidden-hot-pairs,1,6,349
G4-forbidden-hot-pairs,1,7,331
G4-forbidden-hot-pairs,1,8,402
G4-forbidden-hot-pairs,1,9,352
G4-forbidden-hot-pairs,1,10,383
G4-forbidden-hot-pairs,1,11,352
G4-forbidden-hot-pairs,1,12,393
G4-forbidden-hot-pairs,1,13,377
G4-forbidden-hot-pairs,1,14,402
G4-forbidden-hot-pairs,1,15,385
G4-forbidden-hot-pairs,1,16,374
G4-forbidden-hot-pairs,2,3,391
G4-forbidden-hot-pairs,2,4,367
G4-forbidden-hot-pairs,2,5,366
G4-forbidden-hot-pairs,2,6,357
G4-forbidden-hot-pairs,2,7,381
G4-forbidden-hot-pairs,2,8,380
G4-forbidden-hot-pairs,2,9,343
G4-forbidden-hot-pairs,2,10,382
G4-forbidden-hot-pairs,2,11,374
G4-forbidden-hot-pairs,2,12,394
G4-forbidden-hot-pairs,2,13,364
G4-forbidden-hot-pairs,2,14,380
G4-forbidden-hot-pairs,2,15,366
G4-forbidden-hot-pairs,2,16,378
G4-forbidden-hot-pairs,3,4,379
G4-forbidden-hot-pairs,3,5,389
G4-forbidden-hot-pairs,3,6,374
G4-forbidden-hot-pairs,3,7,343
G4-forbidden-hot-pairs,3,8,402
G4-forbidden-hot-pairs,3,9,375
