policy,epoch,loss_before,loss_after,accuracy_after,selected_primitives,programs,utility_evaluations
G0-dynamic-random,0,0.70533133,0.68708718,0.50000000,17,7,27005
G0-dynamic-random,1,0.68708718,0.67092687,0.75000000,17,7,32329
G0-dynamic-random,2,0.67092687,0.65996468,0.75000000,17,7,27005
G0-dynamic-random,3,0.65996468,0.65060437,0.50000000,17,7,27005
G0-dynamic-random,4,0.65060437,0.64194924,0.50000000,17,7,27005
G0-dynamic-random,5,0.64194924,0.63264954,0.50000000,17,9,37763
G0-dynamic-random,6,0.63264954,0.62434173,0.50000000,17,7,27005
G0-dynamic-random,7,0.62434173,0.61755860,0.50000000,17,7,27005
G0-dynamic-random,8,0.61755860,0.61003864,0.50000000,17,7,32329
G0-dynamic-random,9,0.61003864,0.59931087,0.75000000,17,7,37653
G0-dynamic-random,10,0.59931087,0.59313571,0.75000000,17,7,27005
G0-dynamic-random,11,0.59313571,0.58515495,0.75000000,17,7,27005
G0-dynamic-random,12,0.58515495,0.57718682,0.75000000,17,7,32329
G0-dynamic-random,13,0.57718682,0.56668657,0.75000000,17,7,37653
G0-dynamic-random,14,0.56668657,0.55907130,0.75000000,17,7,37653
G0-dynamic-random,15,0.55907130,0.55066895,0.75000000,17,7,27005
G0-dynamic-random,16,0.55066895,0.54390407,0.75000000,17,7,27005
G0-dynamic-random,17,0.54390407,0.53436017,0.75000000,17,7,32329
G0-dynamic-random,18,0.53436017,0.52547526,0.75000000,17,9,37763
G0-dynamic-random,19,0.52547526,0.51806116,0.75000000,17,7,32329
G0-dynamic-random,20,0.51806116,0.50667143,0.75000000,17,9,37763
G0-dynamic-random,21,0.50667143,0.49766767,0.75000000,17,7,32329
G0-dynamic-random,22,0.49766767,0.49001580,0.75000000,17,7,27005
G0-dynamic-random,23,0.49001580,0.47975844,0.75000000,17,9,48411
G0-dynamic-random,24,0.47975844,0.47190449,0.75000000,17,7,27005
G0-dynamic-random,25,0.47190449,0.46431655,0.75000000,17,7,27005
G0-dynamic-random,26,0.46431655,0.45475304,0.75000000,17,7,27005
G0-dynamic-random,27,0.45475304,0.44823575,1.00000000,17,7,32329
G0-dynamic-random,28,0.44823575,0.44112614,1.00000000,17,7,27005
G0-dynamic-random,29,0.44112614,0.43442467,1.00000000,15,5,26950
G0-dynamic-random,30,0.43442467,0.42273080,1.00000000,17,7,27005
G0-dynamic-random,31,0.42273080,0.41409671,1.00000000,17,7,27005
G0-dynamic-random,32,0.41409671,0.40643978,1.00000000,16,6,32329
G0-dynamic-random,33,0.40643978,0.39804620,1.00000000,17,7,32329
G0-dynamic-random,34,0.39804620,0.39058334,1.00000000,17,7,27005
G0-dynamic-random,35,0.39058334,0.37948957,1.00000000,17,7,32329
G0-dynamic-random,36,0.37948957,0.37029243,1.00000000,17,7,27005
G0-dynamic-random,37,0.37029243,0.36215472,1.00000000,17,7,27005
G0-dynamic-random,38,0.36215472,0.35374811,1.00000000,16,6,32329
G0-dynamic-random,39,0.35374811,0.34614021,1.00000000,17,7,32329
G0-dynamic-random,40,0.34614021,0.33829278,1.00000000,17,7,32329
G0-dynamic-random,41,0.33829278,0.33042210,1.00000000,16,6,27005
G0-dynamic-random,42,0.33042210,0.32178545,1.00000000,15,5,26950
G0-dynamic-random,43,0.32178545,0.31157538,1.00000000,17,7,27005
G0-dynamic-random,44,0.31157538,0.30461609,1.00000000,15,5,26950
G0-dynamic-random,45,0.30461609,0.29541126,1.00000000,17,7,37653
G0-dynamic-random,46,0.29541126,0.28747168,1.00000000,17,7,27005
G0-dynamic-random,47,0.28747168,0.27918053,1.00000000,17,7,27005
G0-dynamic-random,48,0.27918053,0.26930863,1.00000000,17,7,27005
G0-dynamic-random,49,0.26930863,0.25893852,1.00000000,17,7,32329
G0-dynamic-random,50,0.25893852,0.25036713,1.00000000,17,7,34018
G0-dynamic-random,51,0.25036713,0.24018891,1.00000000,16,8,35928
G0-dynamic-random,52,0.24018891,0.23340711,1.00000000,17,7,28694
G0-dynamic-random,53,0.23340711,0.22622770,1.00000000,17,7,24575
G0-dynamic-random,54,0.22622770,0.22082052,1.00000000,15,7,35873
G0-dynamic-random,55,0.22082052,0.21512434,1.00000000,17,9,32888
G0-dynamic-random,56,0.21512434,0.20898680,1.00000000,17,7,31583
G0-dynamic-random,57,0.20898680,0.20188239,1.00000000,17,7,22745
G0-dynamic-random,58,0.20188239,0.19550809,1.00000000,16,6,26869
G0-dynamic-random,59,0.19550809,0.19118953,1.00000000,17,7,30983
G0-dynamic-random,60,0.19118953,0.18652555,1.00000000,17,7,33058
G0-dynamic-random,61,0.18652555,0.18060727,1.00000000,15,5,24500
G0-dynamic-random,62,0.18060727,0.17647079,1.00000000,17,7,24550
G0-dynamic-random,63,0.17647079,0.17254831,1.00000000,15,5,21500
G0-dynamic-random,64,0.17254831,0.17037928,1.00000000,17,9,31363
G0-dynamic-random,65,0.17037928,0.16386285,1.00000000,17,7,21830
G0-dynamic-random,66,0.16386285,0.15889397,1.00000000,17,7,26869
