mode,width,seed,first,second,joint_evaluations
equal-steps,1,2b7e151628aed2a6,0,1,0
equal-steps,1,2b7e151628aed2a6,0,2,0
equal-steps,1,2b7e151628aed2a6,0,3,0
equal-steps,1,2b7e151628aed2a6,0,4,0
equal-steps,1,2b7e151628aed2a6,0,5,0
equal-steps,1,2b7e151628aed2a6,0,6,0
equal-steps,1,2b7e151628aed2a6,0,7,0
equal-steps,1,2b7e151628aed2a6,0,8,0
equal-steps,1,2b7e151628aed2a6,0,9,0
equal-steps,1,2b7e151628aed2a6,0,10,0
equal-steps,1,2b7e151628aed2a6,0,11,0
equal-steps,1,2b7e151628aed2a6,0,12,0
equal-steps,1,2b7e151628aed2a6,0,13,0
equal-steps,1,2b7e151628aed2a6,0,14,0
equal-steps,1,2b7e151628aed2a6,0,15,0
equal-steps,1,2b7e151628aed2a6,0,16,0
equal-steps,1,2b7e151628aed2a6,1,2,0
equal-steps,1,2b7e151628aed2a6,1,3,0
equal-steps,1,2b7e151628aed2a6,1,4,0
equal-steps,1,2b7e151628aed2a6,1,5,0
equal-steps,1,2b7e151628aed2a6,1,6,0
equal-steps,1,2b7e151628aed2a6,1,7,0
equal-steps,1,2b7e151628aed2a6,1,8,0
equal-steps,1,2b7e151628aed2a6,1,9,0
equal-steps,1,2b7e151628aed2a6,1,10,0
equal-steps,1,2b7e151628aed2a6,1,11,0
equal-steps,1,2b7e151628aed2a6,1,12,0
equal-steps,1,2b7e151628aed2a6,1,13,0
equal-steps,1,2b7e151628aed2a6,1,14,0
equal-steps,1,2b7e151628aed2a6,1,15,0
equal-steps,1,2b7e151628aed2a6,1,16,0
equal-steps,1,2b7e151628aed2a6,2,3,0
equal-steps,1,2b7e151628aed2a6,2,4,0
equal-steps,1,2b7e151628aed2a6,2,5,0
equal-steps,1,2b7e151628aed2a6,2,6,0
equal-steps,1,2b7e151628aed2a6,2,7,0
equal-steps,1,2b7e151628aed2a6,2,8,0
equal-steps,1,2b7e151628aed2a6,2,9,0
equal-steps,1,2b7e151628aed2a6,2,10,0
equal-steps,1,2b7e151628aed2a6,2,11,0
equal-steps,1,2b7e151628aed2a6,2,12,0
equal-steps,1,2b7e151628aed2a6,2,13,0
equal-steps,1,2b7e151628aed2a6,2,14,0
equal-steps,1,2b7e151628aed2a6,2,15,0
equal-steps,1,2b7e151628aed2a6,2,16,0
equal-steps,1,2b7e151628aed2a6,3,4,0
equal-steps,1,2b7e151628aed2a6,3,5,0
equal-steps,1,2b7e151628aed2a6,3,6,0
equal-steps,1,2b7e151628aed2a6,3,7,0
equal-steps,1,2b7e151628aed2a6,3,8,0
equal-steps,1,2b7e151628aed2a6,3,9,0
equal-steps,1,2b7e151628aed2a6,3,10,0
equal-steps,1,2b7e151628aed2a6,3,11,0
equal-steps,1,2b7e151628aed2a6,3,12,0
equal-steps,1,2b7e151628aed2a6,3,13,0
equal-steps,1,2b7e151628aed2a6,3,14,0
equal-steps,1,2b7e151628aed2a6,3,15,0
equal-steps,1,2b7e151628aed2a6,3,16,0
equal-steps,1,2b7e151628aed2a6,4,5,0
equal-steps,1,2b7e151628aed2a6,4,6,0
equal-steps,1,2b7e151628aed2a6,4,7,0
equal-steps,1,2b7e151628aed2a6,4,8,0
equal-steps,1,2b7e151628aed2a6,4,9,0
equal-steps,1,2b7e151628aed2a6,4,10,0
equal-steps,1,2b7e151628aed2a6,4,11,0
equal-steps,1,2b7e151628aed2a6,4,12,0
equal-steps,1,2b7e151628aed2a6,4,13,0
equal-steps,1,2b7e151628aed2a6,4,14,0
equal-steps,1,2b7e151628aed2a6,4,15,0
equal-steps,1,2b7e151628aed2a6,4,16,0
equal-steps,1,2b7e151628aed2a6,5,6,0
equal-steps,1,2b7e151628aed2a6,5,7,0
equal-steps,1,2b7e151628aed2a6,5,8,0
equal-steps,1,2b7e151628aed2a6,5,9,0
equal-steps,1,2b7e151628aed2a6,5,10,0
equal-steps,1,2b7e151628aed2a6,5,11,0
equal-steps,1,2b7e151628aed2a6,5,12,0
equal-steps,1,2b7e151628aed2a6,5,13,0
equal-steps,1,2b7e151628aed2a6,5,14,0
equal-steps,1,2b7e151628aed2a6,5,15,0
equal-steps,1,2b7e151628aed2a6,5,16,0
equal-steps,1,2b7e151628aed2a6,6,7,0
equal-steps,1,2b7e151628aed2a6,6,8,0
equal-steps,1,2b7e151628aed2a6,6,9,0
equal-steps,1,2b7e151628aed2a6,6,10,0
equal-steps,1,2b7e151628aed2a6,6,11,0
equal-steps,1,2b7e151628aed2a6,6,12,0
equal-steps,1,2b7e151628aed2a6,6,13,0
equal-steps,1,2b7e151628aed2a6,6,14,0
equal-steps,1,2b7e151628aed2a6,6,15,0
equal-steps,1,2b7e151628aed2a6,6,16,0
equal-steps,1,2b7e151628aed2a6,7,8,0
