mode,width,seed,final_loss,final_accuracy,final_mse,completed_epochs,budget_exhausted,selected_primitives,programs,utility_evaluations,ever_covered_fraction,min_pair_coverage,max_pair_coverage,planning_steps,pair_events,pair_events_per_step,pair_events_per_evaluation,time_to_full_coverage
equal-steps,1,2b7e151628aed2a6,0.18509553,1.00000000,0.04644489,3000,false,919,919,641990,0.00000000,0,0,3865,0,0.00000000,0.00000000,
equal-steps,1,77a19d3c4e280b51,0.18523766,1.00000000,0.04644684,3000,false,922,922,642623,0.00000000,0,0,3868,0,0.00000000,0.00000000,
equal-steps,1,1111222233334444,0.21021266,1.00000000,0.04527836,3000,false,772,772,647894,0.00000000,0,0,3727,0,0.00000000,0.00000000,
equal-steps,2,2b7e151628aed2a6,0.01338627,1.00000000,0.00056536,3000,false,2584,1330,2598317,1.00000000,185,740,4262,34096,8.00000000,0.01312234,23
equal-steps,2,77a19d3c4e280b51,0.01338627,1.00000000,0.00056536,3000,false,2369,1235,2549292,1.00000000,189,567,4167,33336,8.00000000,0.01307657,22
equal-steps,2,1111222233334444,0.01398539,1.00000000,0.00056681,3000,false,2025,1035,2649594,1.00000000,181,545,4001,32008,8.00000000,0.01208034,22
equal-steps,3,2b7e151628aed2a6,0.34660488,0.50000000,0.12500006,3000,false,2221,792,14491087,1.00000000,265,1060,3710,59360,16.00000000,0.00409631,14
equal-steps,3,77a19d3c4e280b51,0.01338627,1.00000000,0.00056536,3000,false,3167,1119,12585421,1.00000000,288,1155,4039,64624,16.00000000,0.00513483,14
equal-steps,3,1111222233334444,0.04067804,1.00000000,0.00160729,3000,false,2356,818,17120771,1.00000000,287,1152,3742,59872,16.00000000,0.00349704,13
equal-steps,4,2b7e151628aed2a6,0.34660491,0.50000000,0.12500006,3000,false,2368,619,113359152,1.00000000,358,1434,3583,85992,24.00000000,0.00075858,10
equal-steps,4,77a19d3c4e280b51,0.01338624,1.00000000,0.00056536,3000,false,4182,1074,95425337,1.00000000,403,1616,4038,96912,24.00000000,0.00101558,10
equal-steps,4,1111222233334444,0.34660491,0.50000000,0.12500006,3000,false,2331,606,107791832,1.00000000,357,1431,3575,85800,24.00000000,0.00079598,10
equal-evaluations,1,2b7e151628aed2a6,0.18509553,1.00000000,0.04644489,60766,true,919,919,9999920,0.00000000,0,0,61630,0,0.00000000,0.00000000,
equal-evaluations,1,77a19d3c4e280b51,0.18523766,1.00000000,0.04644684,60762,true,922,922,9999905,0.00000000,0,0,61629,0,0.00000000,0.00000000,
equal-evaluations,1,1111222233334444,0.21021266,1.00000000,0.04527836,57373,true,772,772,9999878,0.00000000,0,0,58099,0,0.00000000,0.00000000,
equal-evaluations,2,2b7e151628aed2a6,0.01338627,1.00000000,0.00056536,18332,true,2584,1330,9999138,1.00000000,851,3407,19593,156744,8.00000000,0.01567575,23
equal-evaluations,2,77a19d3c4e280b51,0.01338627,1.00000000,0.00056536,19018,true,2369,1235,9999377,1.00000000,917,2752,20184,161472,8.00000000,0.01614821,22
equal-evaluations,2,1111222233334444,0.01398539,1.00000000,0.00056681,15128,true,2025,1035,9999122,1.00000000,733,2199,16128,129024,8.00000000,0.01290353,22
equal-evaluations,3,2b7e151628aed2a6,0.34660488,0.50000000,0.12500006,1705,true,2221,792,9995030,1.00000000,172,690,2414,38624,16.00000000,0.00386432,14
equal-evaluations,3,77a19d3c4e280b51,0.01338627,1.00000000,0.00056536,1780,true,3167,1119,9994685,1.00000000,201,805,2818,45088,16.00000000,0.00451120,14
equal-evaluations,3,1111222233334444,0.04067804,1.00000000,0.00160729,1366,true,2356,818,9996726,1.00000000,162,648,2107,33712,16.00000000,0.00337230,13
equal-evaluations,4,2b7e151628aed2a6,0.42239493,0.75000000,0.13560477,42,true,666,171,9958157,1.00000000,20,84,207,4968,24.00000000,0.00049889,10
equal-evaluations,4,77a19d3c4e280b51,0.44908488,0.75000000,0.13973193,42,true,683,185,9958157,1.00000000,20,84,207,4968,24.00000000,0.00049889,10
equal-evaluations,4,1111222233334444,0.41444704,0.75000000,0.13433102,43,true,683,173,9958212,1.00000000,21,85,212,5088,24.00000000,0.00051094,10
equal-pair-events,2,2b7e151628aed2a6,0.23049986,1.00000000,0.04453130,57,true,940,489,445229,1.00000000,22,88,512,4096,8.00000000,0.00919976,23
equal-pair-events,2,77a19d3c4e280b51,0.18946266,1.00000000,0.03894664,57,true,940,487,445373,1.00000000,23,69,512,4096,8.00000000,0.00919679,22
equal-pair-events,2,1111222233334444,0.17464219,1.00000000,0.03160292,57,true,938,482,441862,1.00000000,23,70,512,4096,8.00000000,0.00926986,22
equal-pair-events,3,2b7e151628aed2a6,0.39685041,0.75000000,0.13018662,42,true,701,250,1607727,1.00000000,18,73,256,4096,16.00000000,0.00254770,14
equal-pair-events,3,77a19d3c4e280b51,0.37905794,1.00000000,0.10506139,40,true,660,240,1546743,1.00000000,18,73,256,4096,16.00000000,0.00264815,14
equal-pair-events,3,1111222233334444,0.37614083,1.00000000,0.10832974,43,true,716,254,1581591,1.00000000,19,78,256,4096,16.00000000,0.00258980,13
equal-pair-events,4,2b7e151628aed2a6,0.45716745,0.75000000,0.14518997,35,true,551,140,8142277,1.00000000,17,69,171,4104,24.00000000,0.00050404,10
equal-pair-events,4,77a19d3c4e280b51,0.48656797,0.75000000,0.15467808,35,true,566,155,8259405,1.00000000,17,69,171,4104,24.00000000,0.00049689,10
equal-pair-events,4,1111222233334444,0.45220459,0.75000000,0.14411309,35,true,551,140,8025149,1.00000000,17,69,171,4104,24.00000000,0.00051139,10
