arm,seed,groups,top_choice_agreement,improving_fraction,mean_exact_regret,max_exact_regret,utility_evaluations
I0-exact,2b7e151628aed2a6,64,1.00000000,0.28125000,0.00000000,0.00000000,7744
I1-additive,2b7e151628aed2a6,64,0.98437500,0.28125000,0.00000000,0.00000011,1408
I2-anchor-cross-term,2b7e151628aed2a6,64,0.98437500,0.28125000,0.00000000,0.00000011,1472
I3-conditional-beam,2b7e151628aed2a6,64,1.00000000,0.28125000,0.00000000,0.00000000,5056
I4-cartesian-beam,2b7e151628aed2a6,64,1.00000000,0.28125000,0.00000000,0.00000000,1984
I5-sampled,2b7e151628aed2a6,64,1.00000000,0.28125000,0.00000000,0.00000000,2805
I0-exact,77a19d3c4e280b51,64,1.00000000,0.31250000,0.00000000,0.00000000,7744
I1-additive,77a19d3c4e280b51,64,1.00000000,0.31250000,0.00000000,0.00000000,1408
I2-anchor-cross-term,77a19d3c4e280b51,64,1.00000000,0.31250000,0.00000000,0.00000000,1472
I3-conditional-beam,77a19d3c4e280b51,64,1.00000000,0.31250000,0.00000000,0.00000000,5056
I4-cartesian-beam,77a19d3c4e280b51,64,1.00000000,0.31250000,0.00000000,0.00000000,1984
I5-sampled,77a19d3c4e280b51,64,1.00000000,0.31250000,0.00000000,0.00000000,2814
I0-exact,1111222233334444,64,1.00000000,0.32812500,0.00000000,0.00000000,7744
I1-additive,1111222233334444,64,0.95312500,0.31250000,0.00006056,0.00196438,1408
I2-anchor-cross-term,1111222233334444,64,0.95312500,0.31250000,0.00006056,0.00196438,1472
I3-conditional-beam,1111222233334444,64,1.00000000,0.32812500,0.00000000,0.00000000,5056
I4-cartesian-beam,1111222233334444,64,0.96875000,0.32812500,0.00003357,0.00183980,1984
I5-sampled,1111222233334444,64,0.96875000,0.32812500,0.00003357,0.00183980,2811
