arm,seed,epoch,loss_before,loss_after,accuracy_after,selected_primitives,programs,proposal_evaluations,compound_evaluations,utility_evaluations
K0-exact-11x11,2b7e151628aed2a6,0,0.70533133,0.68444049,0.50000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,1,0.68444049,0.66762280,0.75000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,2,0.66762280,0.65585065,0.75000000,17,9,99,8712,8811
K0-exact-11x11,2b7e151628aed2a6,3,0.65585065,0.64429116,0.75000000,17,9,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,4,0.64429116,0.63456726,0.50000000,17,9,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,5,0.63456726,0.62459219,0.50000000,17,9,99,8712,8811
K0-exact-11x11,2b7e151628aed2a6,6,0.62459219,0.61559403,0.50000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,7,0.61559403,0.60832804,0.50000000,17,9,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,8,0.60832804,0.59746456,0.50000000,17,9,99,8712,8811
K0-exact-11x11,2b7e151628aed2a6,9,0.59746456,0.58809233,0.50000000,17,9,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,10,0.58809233,0.57937813,0.50000000,17,9,99,8712,8811
K0-exact-11x11,2b7e151628aed2a6,11,0.57937813,0.56875592,0.50000000,17,9,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,12,0.56875592,0.55753750,0.50000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,13,0.55753750,0.54862314,0.75000000,17,9,99,8712,8811
K0-exact-11x11,2b7e151628aed2a6,14,0.54862314,0.53912115,0.75000000,17,9,99,8712,8811
K0-exact-11x11,2b7e151628aed2a6,15,0.53912115,0.53160053,0.75000000,17,9,99,8712,8811
K0-exact-11x11,2b7e151628aed2a6,16,0.53160053,0.52167296,0.75000000,17,9,99,8712,8811
K0-exact-11x11,2b7e151628aed2a6,17,0.52167296,0.51528692,0.75000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,18,0.51528692,0.50743443,0.75000000,17,9,99,8712,8811
K0-exact-11x11,2b7e151628aed2a6,19,0.50743443,0.49886084,0.75000000,17,9,99,8712,8811
K0-exact-11x11,2b7e151628aed2a6,20,0.49886084,0.49068463,0.75000000,17,9,99,8712,8811
K0-exact-11x11,2b7e151628aed2a6,21,0.49068463,0.48264340,0.75000000,17,9,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,22,0.48264340,0.47741529,0.75000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,23,0.47741529,0.47130585,0.75000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,24,0.47130585,0.46337742,0.75000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,25,0.46337742,0.45802212,0.75000000,17,10,110,8712,8822
K0-exact-11x11,2b7e151628aed2a6,26,0.45802212,0.45120144,0.75000000,17,9,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,27,0.45120144,0.44669744,0.75000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,28,0.44669744,0.44021857,0.75000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,29,0.44021857,0.43279570,0.75000000,17,9,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,30,0.43279570,0.42542747,0.75000000,17,9,99,8712,8811
K0-exact-11x11,2b7e151628aed2a6,31,0.42542747,0.41724014,0.75000000,17,9,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,32,0.41724014,0.41143399,0.75000000,17,9,99,8712,8811
K0-exact-11x11,2b7e151628aed2a6,33,0.41143399,0.40648514,0.75000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,34,0.40648514,0.40160465,0.75000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,35,0.40160465,0.39635488,0.75000000,17,9,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,36,0.39635488,0.38860685,0.75000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,37,0.38860685,0.38226753,0.75000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,38,0.38226753,0.37187514,0.75000000,17,9,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,39,0.37187514,0.35846543,1.00000000,17,9,99,8712,8811
K0-exact-11x11,2b7e151628aed2a6,40,0.35846543,0.34982672,1.00000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,41,0.34982672,0.33980751,1.00000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,42,0.33980751,0.33177352,1.00000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,43,0.33177352,0.32287246,1.00000000,17,10,110,8712,8822
K0-exact-11x11,2b7e151628aed2a6,44,0.32287246,0.31207976,1.00000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,45,0.31207976,0.30610520,1.00000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,46,0.30610520,0.29756767,1.00000000,17,9,99,8712,8811
K0-exact-11x11,2b7e151628aed2a6,47,0.29756767,0.29086861,1.00000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,48,0.29086861,0.28455085,1.00000000,17,9,99,8712,8811
K0-exact-11x11,2b7e151628aed2a6,49,0.28455085,0.27751729,1.00000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,50,0.27751729,0.26924837,1.00000000,17,9,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,51,0.26924837,0.26250952,1.00000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,52,0.26250952,0.25527114,1.00000000,17,9,99,8712,8811
K0-exact-11x11,2b7e151628aed2a6,53,0.25527114,0.25112063,1.00000000,17,9,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,54,0.25112063,0.24345089,1.00000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,55,0.24345089,0.23509061,1.00000000,17,9,99,8712,8811
K0-exact-11x11,2b7e151628aed2a6,56,0.23509061,0.22965240,1.00000000,17,9,99,8712,8811
K0-exact-11x11,2b7e151628aed2a6,57,0.22965240,0.22371514,1.00000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,58,0.22371514,0.21808109,1.00000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,59,0.21808109,0.21325710,1.00000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,60,0.21325710,0.20511441,1.00000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,61,0.20511441,0.19637442,1.00000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,62,0.19637442,0.18686900,1.00000000,17,9,99,8712,8811
K0-exact-11x11,2b7e151628aed2a6,63,0.18686900,0.18067610,1.00000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,64,0.18067610,0.17490610,1.00000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,65,0.17490610,0.17082374,1.00000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,66,0.17082374,0.16399716,1.00000000,17,9,99,8712,8811
K0-exact-11x11,2b7e151628aed2a6,67,0.16399716,0.16072893,1.00000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,68,0.16072893,0.15709253,1.00000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,69,0.15709253,0.15146258,1.00000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,70,0.15146258,0.14575496,1.00000000,17,9,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,71,0.14575496,0.13991323,1.00000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,72,0.13991323,0.13469794,1.00000000,17,9,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,73,0.13469794,0.12980947,1.00000000,17,9,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,74,0.12980947,0.12483724,1.00000000,17,9,99,8712,8811
K0-exact-11x11,2b7e151628aed2a6,75,0.12483724,0.12060857,1.00000000,16,8,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,76,0.12060857,0.11460476,1.00000000,17,9,99,8712,8811
K0-exact-11x11,2b7e151628aed2a6,77,0.11460476,0.11274122,1.00000000,17,9,99,7744,7843
K0-exact-11x11,2b7e151628aed2a6,78,0.11274122,0.10748114,1.00000000,17,9,99,8712,8811
K0-exact-11x11,2b7e151628aed2a6,79,0.10748114,0.10440303,1.00000000,17,9,99,8712,8811
K0-exact-11x11,2b7e151628aed2a6,80,0.10440303,0.09987818,1.00000000,17,9,99,8712,8811
