arm,seed,final_train_loss,final_validation_loss,final_train_accuracy,final_validation_accuracy,final_mse,proposal_evaluations,compound_evaluations,committed_programs,committed_primitives,ever_pairs,possible_pairs,rounds,shortlist_misses,verification_noise,scheduler_misorders,mean_reference_regret,max_reference_regret
A0-adamw,2b7e151628aed2a6,0.00114375,0.00235689,1.00000000,1.00000000,0.00000000,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
A0-adamw,77a19d3c4e280b51,0.00095828,0.00659730,1.00000000,1.00000000,0.00000000,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
A0-adamw,1111222233334444,0.00055473,0.00223807,1.00000000,1.00000000,0.00000000,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
A1-sign,2b7e151628aed2a6,0.30025575,0.38019106,0.94791669,0.95833331,0.04166667,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
A1-sign,77a19d3c4e280b51,0.15926921,0.20752941,0.96875000,0.97916669,0.02083333,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
A1-sign,1111222233334444,0.31934914,0.42308164,0.94791669,0.91666669,0.14583333,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
A2-k2-same-batch,2b7e151628aed2a6,0.73977679,0.76268607,0.58333331,0.56250000,0.93750000,2583000,735000,3000,5985,7503,7503,3000,25,34,21,0.00081305,0.00380921
A2-k2-same-batch,77a19d3c4e280b51,0.76131320,0.78392678,0.55208331,0.52083331,0.97916669,2583000,735000,3000,5986,7503,7503,3000,28,38,14,0.00081946,0.00330323
A2-k2-same-batch,1111222233334444,0.72896194,0.75310564,0.59375000,0.58333331,0.91666669,2583000,735000,3000,5983,7503,7503,3000,25,37,15,0.00086091,0.00330418
A3-k5-same-batch,2b7e151628aed2a6,0.73472685,0.75734800,0.58333331,0.56250000,0.93750000,2583000,4578000,3000,5983,7503,7503,3000,28,34,21,0.00078254,0.00386143
A3-k5-same-batch,77a19d3c4e280b51,0.75362664,0.77845114,0.55208331,0.54166669,0.95833331,2583000,4578000,3000,5985,7503,7503,3000,22,36,19,0.00079678,0.00378740
A3-k5-same-batch,1111222233334444,0.71967810,0.74427938,0.59375000,0.58333331,0.91666669,2583000,4578000,3000,5985,7503,7503,3000,31,34,20,0.00092819,0.00378442
A4-k2-independent-verify,2b7e151628aed2a6,0.59904879,0.62673455,0.65625000,0.62500000,0.87500000,2583000,735000,3000,5980,7503,7503,3000,29,38,18,0.00096309,0.00476706
A4-k2-independent-verify,77a19d3c4e280b51,0.62611455,0.65520048,0.67708331,0.64583331,0.85416669,2583000,735000,3000,5982,7503,7503,3000,30,35,20,0.00077426,0.00237125
A4-k2-independent-verify,1111222233334444,0.60925156,0.63519561,0.65625000,0.62500000,0.62500000,2583000,735000,3000,5977,7503,7503,3000,31,39,14,0.00088924,0.00305289
