arm,seed,step,train_loss,validation_loss,train_accuracy,validation_accuracy
B0-minibatch-minibatch,2b7e151628aed2a6,0,1.11105275,1.11080134,0.33333334,0.33333334
B0-minibatch-minibatch,2b7e151628aed2a6,10,1.11363924,1.11344874,0.33333334,0.33333334
B0-minibatch-minibatch,2b7e151628aed2a6,20,1.10689914,1.10675430,0.33333334,0.33333334
B0-minibatch-minibatch,2b7e151628aed2a6,30,1.10207772,1.10194540,0.33333334,0.33333334
B0-minibatch-minibatch,2b7e151628aed2a6,40,1.10058606,1.10050023,0.33333334,0.33333334
B0-minibatch-minibatch,2b7e151628aed2a6,50,1.09917665,1.09914935,0.33333334,0.33333334
B0-minibatch-minibatch,2b7e151628aed2a6,60,1.09813106,1.09812319,0.33333334,0.33333334
B0-minibatch-minibatch,2b7e151628aed2a6,70,1.09625232,1.09625804,0.33333334,0.33333334
B0-minibatch-minibatch,2b7e151628aed2a6,80,1.09593308,1.09601665,0.33333334,0.33333334
B0-minibatch-minibatch,2b7e151628aed2a6,90,1.09514809,1.09530854,0.33333334,0.33333334
B0-minibatch-minibatch,2b7e151628aed2a6,100,1.09416449,1.09432685,0.33333334,0.33333334
B0-minibatch-minibatch,2b7e151628aed2a6,110,1.09248698,1.09268236,0.33333334,0.33333334
B0-minibatch-minibatch,2b7e151628aed2a6,120,1.09124482,1.09142864,0.33333334,0.33333334
B0-minibatch-minibatch,2b7e151628aed2a6,130,1.08917844,1.08946645,0.33333334,0.33333334
B0-minibatch-minibatch,2b7e151628aed2a6,140,1.08838320,1.08866894,0.33333334,0.33333334
B0-minibatch-minibatch,2b7e151628aed2a6,150,1.08711755,1.08743083,0.33333334,0.33333334
B0-minibatch-minibatch,2b7e151628aed2a6,160,1.08549500,1.08586538,0.48958334,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,170,1.08441317,1.08481121,0.50000000,0.50000000
B0-minibatch-minibatch,2b7e151628aed2a6,180,1.08402157,1.08443999,0.53125000,0.54166669
B0-minibatch-minibatch,2b7e151628aed2a6,190,1.08135247,1.08186400,0.52083331,0.50000000
B0-minibatch-minibatch,2b7e151628aed2a6,200,1.08069313,1.08119452,0.47916666,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,210,1.07889736,1.07948697,0.50000000,0.50000000
B0-minibatch-minibatch,2b7e151628aed2a6,220,1.07749832,1.07810843,0.47916666,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,230,1.07610619,1.07676160,0.48958334,0.50000000
B0-minibatch-minibatch,2b7e151628aed2a6,240,1.07471061,1.07547605,0.50000000,0.50000000
B0-minibatch-minibatch,2b7e151628aed2a6,250,1.07216895,1.07306957,0.45833334,0.45833334
B0-minibatch-minibatch,2b7e151628aed2a6,260,1.06945848,1.07045782,0.48958334,0.50000000
B0-minibatch-minibatch,2b7e151628aed2a6,270,1.06812549,1.06920063,0.47916666,0.45833334
B0-minibatch-minibatch,2b7e151628aed2a6,280,1.06506121,1.06621492,0.45833334,0.43750000
B0-minibatch-minibatch,2b7e151628aed2a6,290,1.06364202,1.06483483,0.50000000,0.50000000
B0-minibatch-minibatch,2b7e151628aed2a6,300,1.06357157,1.06480026,0.57291669,0.58333331
B0-minibatch-minibatch,2b7e151628aed2a6,310,1.05888200,1.06033194,0.65625000,0.64583331
B0-minibatch-minibatch,2b7e151628aed2a6,320,1.05628550,1.05780768,0.53125000,0.52083331
B0-minibatch-minibatch,2b7e151628aed2a6,330,1.05415320,1.05566609,0.54166669,0.54166669
B0-minibatch-minibatch,2b7e151628aed2a6,340,1.05345547,1.05494261,0.57291669,0.54166669
B0-minibatch-minibatch,2b7e151628aed2a6,350,1.04986238,1.05156815,0.64583331,0.64583331
B0-minibatch-minibatch,2b7e151628aed2a6,360,1.04746974,1.04930735,0.64583331,0.64583331
B0-minibatch-minibatch,2b7e151628aed2a6,370,1.04477942,1.04669821,0.54166669,0.52083331
B0-minibatch-minibatch,2b7e151628aed2a6,380,1.04154634,1.04363894,0.60416669,0.60416669
B0-minibatch-minibatch,2b7e151628aed2a6,390,1.03923285,1.04154527,0.60416669,0.56250000
B0-minibatch-minibatch,2b7e151628aed2a6,400,1.03635049,1.03885961,0.53125000,0.50000000
B0-minibatch-minibatch,2b7e151628aed2a6,410,1.03313541,1.03591263,0.47916666,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,420,1.02930605,1.03227925,0.52083331,0.50000000
B0-minibatch-minibatch,2b7e151628aed2a6,430,1.02593970,1.02910745,0.46875000,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,440,1.02381742,1.02698147,0.50000000,0.45833334
B0-minibatch-minibatch,2b7e151628aed2a6,450,1.02265060,1.02585351,0.47916666,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,460,1.02223384,1.02558470,0.46875000,0.45833334
B0-minibatch-minibatch,2b7e151628aed2a6,470,1.02339947,1.02684748,0.51041669,0.52083331
B0-minibatch-minibatch,2b7e151628aed2a6,480,1.01681650,1.02051246,0.46875000,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,490,1.01245201,1.01637268,0.44791666,0.43750000
B0-minibatch-minibatch,2b7e151628aed2a6,500,1.00861323,1.01270592,0.47916666,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,510,1.00602150,1.01045120,0.48958334,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,520,1.00190198,1.00664532,0.47916666,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,530,0.99923629,1.00404227,0.45833334,0.45833334
B0-minibatch-minibatch,2b7e151628aed2a6,540,0.99461192,0.99958968,0.47916666,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,550,0.99380881,0.99879950,0.45833334,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,560,0.98933172,0.99471003,0.46875000,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,570,0.98598093,0.99160999,0.47916666,0.45833334
B0-minibatch-minibatch,2b7e151628aed2a6,580,0.98131841,0.98723179,0.47916666,0.45833334
B0-minibatch-minibatch,2b7e151628aed2a6,590,0.98033518,0.98633671,0.47916666,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,600,0.97463626,0.98097485,0.47916666,0.45833334
B0-minibatch-minibatch,2b7e151628aed2a6,610,0.97097272,0.97731477,0.48958334,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,620,0.96557230,0.97256786,0.47916666,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,630,0.96387869,0.97042292,0.48958334,0.45833334
B0-minibatch-minibatch,2b7e151628aed2a6,640,0.95973355,0.96654445,0.48958334,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,650,0.95738769,0.96430296,0.48958334,0.50000000
B0-minibatch-minibatch,2b7e151628aed2a6,660,0.95318919,0.96020174,0.48958334,0.45833334
B0-minibatch-minibatch,2b7e151628aed2a6,670,0.94767618,0.95500463,0.47916666,0.45833334
B0-minibatch-minibatch,2b7e151628aed2a6,680,0.94179869,0.94979638,0.47916666,0.45833334
B0-minibatch-minibatch,2b7e151628aed2a6,690,0.93819094,0.94656783,0.47916666,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,700,0.93500191,0.94324487,0.47916666,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,710,0.93171501,0.93996572,0.46875000,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,720,0.92924577,0.93739676,0.46875000,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,730,0.92761087,0.93564939,0.47916666,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,740,0.92596602,0.93430430,0.47916666,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,750,0.91991574,0.92866302,0.47916666,0.45833334
B0-minibatch-minibatch,2b7e151628aed2a6,760,0.91649336,0.92538881,0.47916666,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,770,0.91512853,0.92429405,0.47916666,0.45833334
B0-minibatch-minibatch,2b7e151628aed2a6,780,0.91187674,0.92153698,0.47916666,0.45833334
B0-minibatch-minibatch,2b7e151628aed2a6,790,0.90889859,0.91814119,0.46875000,0.45833334
B0-minibatch-minibatch,2b7e151628aed2a6,800,0.90536803,0.91438860,0.46875000,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,810,0.90283269,0.91231853,0.46875000,0.47916666
B0-minibatch-minibatch,2b7e151628aed2a6,820,0.89907771,0.90845937,0.48958334,0.45833334
B0-minibatch-minibatch,2b7e151628aed2a6,830,0.89551544,0.90512401,0.48958334,0.47916666
