arm,seed,final_train_loss,final_validation_loss,final_train_accuracy,final_validation_accuracy,final_mse,proposal_evaluations,compound_evaluations,committed_programs,committed_primitives,ever_pairs,possible_pairs,rounds,shortlist_misses,verification_noise,scheduler_misorders,shortlist_regret,verification_regret,scheduler_regret,mean_reference_regret,max_reference_regret
B0-minibatch-minibatch,2b7e151628aed2a6,0.59904879,0.62673455,0.65625000,0.62500000,0.87500000,2583000,735000,3000,5980,7503,7503,3000,29,38,18,0.03236371,0.05001187,0.00710642,0.00096309,0.00476706
B0-minibatch-minibatch,77a19d3c4e280b51,0.62611455,0.65520048,0.67708331,0.64583331,0.85416669,2583000,735000,3000,5982,7503,7503,3000,30,35,20,0.03136820,0.03884465,0.00761086,0.00077426,0.00237125
B0-minibatch-minibatch,1111222233334444,0.60925156,0.63519561,0.65625000,0.62500000,0.62500000,2583000,735000,3000,5977,7503,7503,3000,31,39,14,0.03417104,0.04622900,0.00663716,0.00088924,0.00305289
B1-minibatch-full,2b7e151628aed2a6,0.02671236,0.04246464,1.00000000,1.00000000,0.00000000,2583000,735000,3000,5988,7503,7503,3000,35,2,33,0.00295605,0.00007901,0.00287704,0.00004927,0.00031909
B1-minibatch-full,77a19d3c4e280b51,0.03200069,0.04914047,1.00000000,1.00000000,0.00000000,2583000,735000,3000,5993,7503,7503,3000,37,10,27,0.00325106,0.00117231,0.00207875,0.00005418,0.00027192
B1-minibatch-full,1111222233334444,0.00776190,0.01363175,1.00000000,1.00000000,0.00000000,2583000,735000,3000,5983,7503,7503,3000,43,5,38,0.00415130,0.00023209,0.00391920,0.00006919,0.00042152
B2-full-minibatch,2b7e151628aed2a6,0.31401238,0.33380571,0.92708331,0.91666669,0.08333334,2583000,735000,3000,5988,7503,7503,3000,1,29,29,0.00054067,0.01630068,0.01546651,0.00052945,0.00110322
B2-full-minibatch,77a19d3c4e280b51,0.19810277,0.21745951,0.94791669,0.91666669,0.14583333,2583000,735000,3000,5977,7503,7503,3000,1,25,34,0.00024164,0.01606612,0.01890093,0.00058278,0.00150168
B2-full-minibatch,1111222233334444,0.24643664,0.26593646,0.92708331,0.93750000,0.12500000,2583000,735000,3000,5981,7503,7503,3000,0,27,29,0.00000000,0.01308250,0.01259810,0.00042929,0.00139499
B3-full-full,2b7e151628aed2a6,0.03053205,0.04216041,1.00000000,1.00000000,0.00000000,2583000,735000,3000,5990,7503,7503,3000,4,3,1,0.00013977,0.00012953,0.00001024,0.00000233,0.00011325
B3-full-full,77a19d3c4e280b51,0.03053205,0.04216041,1.00000000,1.00000000,0.00000000,2583000,735000,3000,5990,7503,7503,3000,4,3,1,0.00013977,0.00012953,0.00001024,0.00000233,0.00011325
B3-full-full,1111222233334444,0.03053205,0.04216041,1.00000000,1.00000000,0.00000000,2583000,735000,3000,5990,7503,7503,3000,4,3,1,0.00013977,0.00012953,0.00001024,0.00000233,0.00011325
B4-adamw,2b7e151628aed2a6,0.00114375,0.00235689,1.00000000,1.00000000,0.00000000,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
B4-adamw,77a19d3c4e280b51,0.00095828,0.00659730,1.00000000,1.00000000,0.00000000,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
B4-adamw,1111222233334444,0.00055473,0.00223807,1.00000000,1.00000000,0.00000000,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
B5-sign,2b7e151628aed2a6,0.30025575,0.38019106,0.94791669,0.95833331,0.04166667,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
B5-sign,77a19d3c4e280b51,0.15926921,0.20752941,0.96875000,0.97916669,0.02083333,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
B5-sign,1111222233334444,0.31934914,0.42308164,0.94791669,0.91666669,0.14583333,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
