arm,seed,step,train_loss,validation_loss,train_accuracy,validation_accuracy
C0-one-commit,2b7e151628aed2a6,0,1.11032951,1.11006391,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,10,1.10826635,1.10801828,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,20,1.10658801,1.10636771,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,30,1.10428214,1.10406804,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,40,1.10347283,1.10326576,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,50,1.10359228,1.10336888,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,60,1.10330522,1.10308754,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,70,1.10138333,1.10119307,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,80,1.10047412,1.10035658,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,90,1.10134816,1.10123944,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,100,1.10175991,1.10165513,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,110,1.10541236,1.10530734,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,120,1.10456991,1.10446441,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,130,1.10087407,1.10080111,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,140,1.09767044,1.09759605,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,150,1.09738863,1.09734261,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,160,1.09714520,1.09710371,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,170,1.09673262,1.09669065,0.29166666,0.27083334
C0-one-commit,2b7e151628aed2a6,180,1.09724998,1.09720623,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,190,1.09625351,1.09621418,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,200,1.09692776,1.09689927,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,210,1.09530318,1.09527874,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,220,1.09590793,1.09589231,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,230,1.09507287,1.09504879,0.36458334,0.35416666
C0-one-commit,2b7e151628aed2a6,240,1.09453452,1.09451365,0.41666666,0.41666666
C0-one-commit,2b7e151628aed2a6,250,1.09450424,1.09454024,0.38541666,0.37500000
C0-one-commit,2b7e151628aed2a6,260,1.09369361,1.09372783,0.46875000,0.50000000
C0-one-commit,2b7e151628aed2a6,270,1.09345233,1.09349048,0.46875000,0.47916666
C0-one-commit,2b7e151628aed2a6,280,1.09384453,1.09389019,0.45833334,0.45833334
C0-one-commit,2b7e151628aed2a6,290,1.09350669,1.09355080,0.51041669,0.52083331
C0-one-commit,2b7e151628aed2a6,300,1.09326375,1.09331238,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,310,1.09356487,1.09362411,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,320,1.09233594,1.09240687,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,330,1.09210193,1.09217608,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,340,1.09166646,1.09178221,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,350,1.09142661,1.09155118,0.48958334,0.50000000
C0-one-commit,2b7e151628aed2a6,360,1.09053671,1.09065270,0.50000000,0.50000000
C0-one-commit,2b7e151628aed2a6,370,1.09216416,1.09228337,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,380,1.09098220,1.09113014,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,390,1.09051073,1.09066617,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,400,1.09111202,1.09127128,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,410,1.09156609,1.09171081,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,420,1.09233487,1.09248722,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,430,1.09071243,1.09084880,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,440,1.08935547,1.08958566,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,450,1.08927023,1.08951318,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,460,1.08749068,1.08773553,0.42708334,0.41666666
C0-one-commit,2b7e151628aed2a6,470,1.08754671,1.08779716,0.51041669,0.50000000
C0-one-commit,2b7e151628aed2a6,480,1.08808780,1.08834445,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,490,1.08736181,1.08762252,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,500,1.08620787,1.08647311,0.36458334,0.35416666
C0-one-commit,2b7e151628aed2a6,510,1.08582854,1.08609736,0.39583334,0.39583334
C0-one-commit,2b7e151628aed2a6,520,1.08586216,1.08613181,0.43750000,0.41666666
C0-one-commit,2b7e151628aed2a6,530,1.08553827,1.08581698,0.41666666,0.39583334
C0-one-commit,2b7e151628aed2a6,540,1.08561528,1.08588994,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,550,1.08500564,1.08527398,0.47916666,0.50000000
C0-one-commit,2b7e151628aed2a6,560,1.08311951,1.08338571,0.42708334,0.39583334
C0-one-commit,2b7e151628aed2a6,570,1.08190525,1.08225381,0.43750000,0.45833334
C0-one-commit,2b7e151628aed2a6,580,1.08191812,1.08226192,0.33333334,0.33333334
C0-one-commit,2b7e151628aed2a6,590,1.08049142,1.08083296,0.68750000,0.68750000
C0-one-commit,2b7e151628aed2a6,599,1.08116782,1.08151495,0.45833334,0.47916666
C0-one-commit,77a19d3c4e280b51,0,1.11032951,1.11006391,0.33333334,0.33333334
C0-one-commit,77a19d3c4e280b51,10,1.10787714,1.10770392,0.33333334,0.33333334
C0-one-commit,77a19d3c4e280b51,20,1.10586238,1.10568464,0.33333334,0.33333334
C0-one-commit,77a19d3c4e280b51,30,1.10772622,1.10755324,0.42708334,0.41666666
C0-one-commit,77a19d3c4e280b51,40,1.10611844,1.10595715,0.33333334,0.33333334
C0-one-commit,77a19d3c4e280b51,50,1.10591829,1.10575497,0.44791666,0.45833334
C0-one-commit,77a19d3c4e280b51,60,1.10804224,1.10787165,0.33333334,0.33333334
C0-one-commit,77a19d3c4e280b51,70,1.10616302,1.10605490,0.33333334,0.33333334
C0-one-commit,77a19d3c4e280b51,80,1.10556912,1.10545719,0.33333334,0.33333334
C0-one-commit,77a19d3c4e280b51,90,1.10373127,1.10362232,0.33333334,0.33333334
C0-one-commit,77a19d3c4e280b51,100,1.10265851,1.10255897,0.33333334,0.33333334
C0-one-commit,77a19d3c4e280b51,110,1.10250032,1.10239851,0.33333334,0.33333334
C0-one-commit,77a19d3c4e280b51,120,1.10349011,1.10337508,0.33333334,0.33333334
C0-one-commit,77a19d3c4e280b51,130,1.10072792,1.10061371,0.33333334,0.33333334
C0-one-commit,77a19d3c4e280b51,140,1.09912419,1.09906626,0.33333334,0.33333334
C0-one-commit,77a19d3c4e280b51,150,1.09984863,1.09978449,0.33333334,0.33333334
C0-one-commit,77a19d3c4e280b51,160,1.09851062,1.09845197,0.33333334,0.33333334
C0-one-commit,77a19d3c4e280b51,170,1.09909308,1.09903371,0.33333334,0.33333334
C0-one-commit,77a19d3c4e280b51,180,1.09766400,1.09761775,0.56250000,0.54166669
C0-one-commit,77a19d3c4e280b51,190,1.09744275,1.09741414,0.50000000,0.50000000
C0-one-commit,77a19d3c4e280b51,200,1.09650433,1.09650528,0.33333334,0.33333334
C0-one-commit,77a19d3c4e280b51,210,1.09649336,1.09649646,0.33333334,0.33333334
C0-one-commit,77a19d3c4e280b51,220,1.09725058,1.09725630,0.33333334,0.33333334
C0-one-commit,77a19d3c4e280b51,230,1.09936094,1.09937227,0.33333334,0.33333334
C0-one-commit,77a19d3c4e280b51,240,1.09847033,1.09850204,0.33333334,0.33333334
C0-one-commit,77a19d3c4e280b51,250,1.09885728,1.09883797,0.33333334,0.33333334
C0-one-commit,77a19d3c4e280b51,260,1.09886229,1.09884775,0.33333334,0.33333334
C0-one-commit,77a19d3c4e280b51,270,1.09558475,1.09558368,0.33333334,0.33333334
