arm,seed,final_train_loss,final_validation_loss,final_train_accuracy,final_validation_accuracy,final_mse,proposal_evaluations,compound_evaluations,committed_programs,committed_primitives,ever_pairs,possible_pairs,rounds,shortlist_misses,verification_noise,scheduler_misorders,mean_reference_regret,max_reference_regret
C0-one-commit,2b7e151628aed2a6,1.08116782,1.08151495,0.45833334,0.47916666,0.52083331,516600,147000,600,1199,7503,7503,600,7,6,5,0.00057890,0.00124502
C0-one-commit,77a19d3c4e280b51,1.08070266,1.08115351,0.45833334,0.45833334,1.16666663,516600,147000,600,1196,7503,7503,600,6,9,2,0.00058823,0.00109720
C0-one-commit,1111222233334444,1.07625663,1.07690954,0.55208331,0.54166669,0.89583331,516600,147000,600,1194,7503,7503,600,4,6,5,0.00038723,0.00102246
C1-two-commits,2b7e151628aed2a6,0.99658984,0.99949288,0.52083331,0.50000000,1.00000000,1033200,294000,1200,2396,7503,7503,600,6,5,6,0.00065030,0.00136471
C1-two-commits,77a19d3c4e280b51,0.95725411,0.96326303,0.50000000,0.50000000,1.06250000,1033200,294000,1200,2392,7503,7503,600,3,7,3,0.00076003,0.00239486
C1-two-commits,1111222233334444,0.97326726,0.97821897,0.45833334,0.45833334,0.97916669,1033200,294000,1200,2391,7503,7503,600,6,7,4,0.00064773,0.00157654
C2-four-commits,2b7e151628aed2a6,0.77593565,0.79644006,0.56250000,0.54166669,0.95833331,2066400,588000,2400,4788,7503,7503,600,7,7,3,0.00120411,0.00664544
C2-four-commits,77a19d3c4e280b51,0.80006862,0.82250828,0.56250000,0.54166669,0.95833331,2066400,588000,2400,4793,7503,7503,600,3,3,2,0.00058329,0.00212973
C2-four-commits,1111222233334444,0.78806382,0.80815768,0.55208331,0.52083331,0.97916669,2066400,588000,2400,4790,7503,7503,600,7,6,4,0.00081116,0.00206089
C3-eight-commits,2b7e151628aed2a6,0.63171756,0.66431946,0.64583331,0.62500000,0.75000000,4132800,1176000,4800,9593,7503,7503,600,6,6,3,0.00239279,0.01233268
C3-eight-commits,77a19d3c4e280b51,0.70658952,0.73284751,0.64583331,0.66666669,0.83333331,4132800,1176000,4800,9575,7503,7503,600,5,5,3,0.00091736,0.00380808
C3-eight-commits,1111222233334444,0.59331346,0.61734390,0.70833331,0.70833331,0.66666669,4132800,1176000,4800,9585,7503,7503,600,6,5,5,0.00177167,0.00755084
C4-adamw,2b7e151628aed2a6,0.16830194,0.18482949,0.97916669,0.97916669,0.08333334,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
C4-adamw,77a19d3c4e280b51,0.13494803,0.14927836,0.98958331,0.97916669,0.08333334,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
C4-adamw,1111222233334444,0.04692503,0.05857893,1.00000000,1.00000000,0.00000000,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
C5-sign,2b7e151628aed2a6,0.37331721,0.43089461,0.91666669,0.87500000,0.37500000,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
C5-sign,77a19d3c4e280b51,0.22552980,0.26939365,0.93750000,0.93750000,0.18750000,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
C5-sign,1111222233334444,0.13059568,0.18624501,0.97916669,0.95833331,0.04166667,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
