arm,seed,final_train_loss,final_validation_loss,final_train_accuracy,final_validation_accuracy,final_mse,proposal_evaluations,compound_evaluations,committed_programs,committed_primitives,ever_pairs,possible_pairs,rounds,shortlist_misses,verification_noise,scheduler_misorders,mean_reference_regret,max_reference_regret
E0-same-m1,2b7e151628aed2a6,0.67581058,0.70344228,0.62500000,0.58333331,0.91666669,4132800,1176000,4800,9578,7503,7503,4800,44,56,30,0.00088302,0.00385970
E0-same-m1,77a19d3c4e280b51,0.72384286,0.74532956,0.58333331,0.56250000,0.93750000,4132800,1176000,4800,9576,7503,7503,4800,52,68,19,0.00096273,0.00451750
E0-same-m1,1111222233334444,0.66438437,0.69230980,0.64583331,0.64583331,0.79166669,4132800,1176000,4800,9573,7503,7503,4800,45,65,21,0.00113515,0.00602800
E1-same-m2,2b7e151628aed2a6,0.62281024,0.64572293,0.63541669,0.64583331,0.72916669,4132800,1176000,4800,9574,7503,7503,4800,43,53,35,0.00092620,0.00273645
E1-same-m2,77a19d3c4e280b51,0.66795516,0.69390720,0.66666669,0.62500000,0.87500000,4132800,1176000,4800,9578,7503,7503,4800,53,64,21,0.00117207,0.00557131
E1-same-m2,1111222233334444,0.67984223,0.70140785,0.63541669,0.58333331,0.91666669,4132800,1176000,4800,9585,7503,7503,4800,56,75,19,0.00115153,0.00721365
E2-same-m4,2b7e151628aed2a6,0.69160086,0.72117883,0.61458331,0.62500000,0.62500000,4132800,1176000,4800,9577,7503,7503,4800,51,60,22,0.00148668,0.01233673
E2-same-m4,77a19d3c4e280b51,0.65311950,0.68089920,0.67708331,0.66666669,0.77083331,4132800,1176000,4800,9569,7503,7503,4800,50,52,28,0.00202152,0.01460981
E2-same-m4,1111222233334444,0.63639134,0.66813755,0.64583331,0.64583331,0.79166669,4132800,1176000,4800,9583,7503,7503,4800,50,60,25,0.00142020,0.00767112
E3-same-m8,2b7e151628aed2a6,0.65791231,0.68404907,0.63541669,0.60416669,0.77083331,4132800,1176000,4800,9573,7503,7503,4800,49,58,22,0.00225270,0.01750952
E3-same-m8,77a19d3c4e280b51,0.71088451,0.73531342,0.62500000,0.60416669,0.89583331,4132800,1176000,4800,9579,7503,7503,4800,55,64,22,0.00200657,0.01901674
E3-same-m8,1111222233334444,0.65850872,0.68399495,0.63541669,0.62500000,0.62500000,4132800,1176000,4800,9575,7503,7503,4800,53,63,21,0.00225162,0.01621997
E4-independent-m1,2b7e151628aed2a6,0.53784686,0.56436992,0.71875000,0.66666669,0.58333331,4132800,1176000,4800,9573,7503,7503,4800,48,67,20,0.00076579,0.00356096
E4-independent-m1,77a19d3c4e280b51,0.40436113,0.42893672,0.84375000,0.83333331,0.35416666,4132800,1176000,4800,9563,7503,7503,4800,57,64,29,0.00114894,0.00444388
E4-independent-m1,1111222233334444,0.41194770,0.44006327,0.82291669,0.81250000,0.37500000,4132800,1176000,4800,9569,7503,7503,4800,53,68,22,0.00103788,0.00361943
