arm,seed,step,train_loss,validation_loss,train_accuracy,validation_accuracy
F0-verifier-16,2b7e151628aed2a6,39,1.11745143,1.11748838,0.33333334,0.33333334
F0-verifier-16,2b7e151628aed2a6,79,1.09675658,1.09704280,0.33333334,0.33333334
F0-verifier-16,2b7e151628aed2a6,119,1.09055865,1.09097898,0.33333334,0.33333334
F0-verifier-16,2b7e151628aed2a6,159,1.08526933,1.08580065,0.33333334,0.33333334
F0-verifier-16,2b7e151628aed2a6,199,1.08306980,1.08365107,0.45833334,0.47916666
F0-verifier-16,2b7e151628aed2a6,239,1.07350075,1.07420576,0.50000000,0.45833334
F0-verifier-16,2b7e151628aed2a6,279,1.06524169,1.06629443,0.50000000,0.47916666
F0-verifier-16,2b7e151628aed2a6,319,1.06257212,1.06357503,0.46875000,0.45833334
F0-verifier-16,2b7e151628aed2a6,359,1.06141663,1.06274402,0.38541666,0.37500000
F0-verifier-16,2b7e151628aed2a6,399,1.04635847,1.04812086,0.47916666,0.45833334
F0-verifier-16,2b7e151628aed2a6,439,1.03467238,1.03685331,0.47916666,0.45833334
F0-verifier-16,2b7e151628aed2a6,479,1.03312993,1.03581309,0.47916666,0.45833334
F0-verifier-16,2b7e151628aed2a6,519,1.01010275,1.01306903,0.48958334,0.50000000
F0-verifier-16,2b7e151628aed2a6,559,0.98690897,0.99105138,0.50000000,0.50000000
F0-verifier-16,2b7e151628aed2a6,599,0.97562903,0.98239279,0.42708334,0.43750000
F0-verifier-16,2b7e151628aed2a6,639,0.96758026,0.97648901,0.45833334,0.43750000
F0-verifier-16,2b7e151628aed2a6,679,0.95082456,0.95814991,0.46875000,0.50000000
F0-verifier-16,2b7e151628aed2a6,719,0.94583011,0.95267749,0.46875000,0.45833334
F0-verifier-16,2b7e151628aed2a6,759,0.95160174,0.96197218,0.43750000,0.41666666
F0-verifier-16,2b7e151628aed2a6,799,0.92197984,0.93265420,0.46875000,0.45833334
F0-verifier-16,2b7e151628aed2a6,839,0.90529794,0.91680342,0.45833334,0.47916666
F0-verifier-16,2b7e151628aed2a6,879,0.89890915,0.91070676,0.52083331,0.47916666
F0-verifier-16,2b7e151628aed2a6,919,0.88735503,0.90160459,0.48958334,0.50000000
F0-verifier-16,2b7e151628aed2a6,959,0.86734349,0.88209528,0.50000000,0.50000000
F0-verifier-16,2b7e151628aed2a6,999,0.86331105,0.87861282,0.57291669,0.58333331
F0-verifier-16,2b7e151628aed2a6,1039,0.84689093,0.86419469,0.53125000,0.52083331
F0-verifier-16,2b7e151628aed2a6,1079,0.83729213,0.85348481,0.53125000,0.47916666
F0-verifier-16,2b7e151628aed2a6,1119,0.83100653,0.84872180,0.52083331,0.50000000
F0-verifier-16,2b7e151628aed2a6,1159,0.82303578,0.84316915,0.53125000,0.52083331
F0-verifier-16,2b7e151628aed2a6,1199,0.81025594,0.83238095,0.54166669,0.54166669
