arm,seed,final_train_loss,final_validation_loss,final_train_accuracy,final_validation_accuracy,final_mse,proposal_evaluations,compound_evaluations,committed_programs,committed_primitives,ever_pairs,possible_pairs,rounds,shortlist_misses,verification_noise,scheduler_misorders,mean_reference_regret,max_reference_regret
F0-verifier-16,2b7e151628aed2a6,0.49212262,0.51795143,0.80208331,0.79166669,0.58333331,4132800,1176000,4800,9572,7503,7503,4800,60,64,27,0.00190536,0.00994122
F0-verifier-16,77a19d3c4e280b51,0.26429287,0.28963372,0.94791669,0.93750000,0.18750000,4132800,1176000,4800,9572,7503,7503,4800,56,64,27,0.00176054,0.01032370
F0-verifier-16,1111222233334444,0.31226641,0.33250520,0.89583331,0.87500000,0.25000000,4132800,1176000,4800,9574,7503,7503,4800,53,55,33,0.00210583,0.00816828
F1-verifier-24,2b7e151628aed2a6,0.19737993,0.21284012,0.95833331,0.95833331,0.10416666,4132800,1176000,4800,9572,7503,7503,4800,54,59,27,0.00178111,0.01057726
F1-verifier-24,77a19d3c4e280b51,0.23719059,0.25706494,0.96875000,0.97916669,0.08333334,4132800,1176000,4800,9568,7503,7503,4800,59,57,31,0.00180144,0.00904962
F1-verifier-24,1111222233334444,0.23340680,0.25221401,0.93750000,0.89583331,0.22916667,4132800,1176000,4800,9573,7503,7503,4800,62,61,29,0.00204719,0.01619458
F2-verifier-32,2b7e151628aed2a6,0.19697042,0.21552618,0.95833331,0.93750000,0.18750000,4132800,1176000,4800,9562,7503,7503,4800,63,51,36,0.00124991,0.00603849
F2-verifier-32,77a19d3c4e280b51,0.14596364,0.16001080,0.98958331,0.97916669,0.08333334,4132800,1176000,4800,9578,7503,7503,4800,57,57,33,0.00129741,0.00547352
F2-verifier-32,1111222233334444,0.19428425,0.21172816,0.94791669,0.93750000,0.18750000,4132800,1176000,4800,9572,7503,7503,4800,58,60,26,0.00177407,0.00869253
F3-verifier-48,2b7e151628aed2a6,0.15785553,0.17126839,0.97916669,0.95833331,0.10416666,4132800,1176000,4800,9564,7503,7503,4800,58,62,26,0.00145108,0.00746968
F3-verifier-48,77a19d3c4e280b51,0.17199944,0.19008832,0.95833331,0.97916669,0.08333334,4132800,1176000,4800,9556,7503,7503,4800,51,51,36,0.00170804,0.01268816
F3-verifier-48,1111222233334444,0.20166977,0.21990664,0.96875000,0.95833331,0.16666667,4132800,1176000,4800,9570,7503,7503,4800,60,61,32,0.00189667,0.00832257
F4-verifier-64,2b7e151628aed2a6,0.13876818,0.15283988,0.96875000,0.97916669,0.08333334,4132800,1176000,4800,9554,7503,7503,4800,53,67,20,0.00142474,0.00811034
F4-verifier-64,77a19d3c4e280b51,0.11112372,0.12626417,1.00000000,1.00000000,0.00000000,4132800,1176000,4800,9572,7503,7503,4800,51,55,32,0.00132123,0.00605312
F4-verifier-64,1111222233334444,0.13202733,0.14880948,0.96875000,0.95833331,0.10416666,4132800,1176000,4800,9571,7503,7503,4800,68,56,35,0.00141474,0.01235543
F5-verifier-96,2b7e151628aed2a6,0.00299656,0.00521668,1.00000000,1.00000000,0.00000000,4132800,1176000,4791,9552,7503,7503,4800,71,22,49,0.00008356,0.00073004
F5-verifier-96,77a19d3c4e280b51,0.00250648,0.00522485,1.00000000,1.00000000,0.00000000,4132800,1176000,4800,9570,7503,7503,4800,75,15,59,0.00007635,0.00039369
F5-verifier-96,1111222233334444,0.00282008,0.00591528,1.00000000,1.00000000,0.00000000,4132800,1176000,4799,9566,7503,7503,4800,79,21,57,0.00007939,0.00055921
F6-adamw,2b7e151628aed2a6,0.00026558,0.00071143,1.00000000,1.00000000,0.00000000,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
F6-adamw,77a19d3c4e280b51,0.00019948,0.00435707,1.00000000,1.00000000,0.00000000,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
F6-adamw,1111222233334444,0.00013360,0.00098291,1.00000000,1.00000000,0.00000000,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
F7-sign,2b7e151628aed2a6,0.15240337,0.19579625,0.95833331,0.93750000,0.12500000,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
F7-sign,77a19d3c4e280b51,0.19102831,0.24640729,0.96875000,0.95833331,0.04166667,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
F7-sign,1111222233334444,0.09160417,0.10434081,0.97916669,0.95833331,0.10416666,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
