arm,seed,final_train_loss,final_validation_loss,final_train_accuracy,final_validation_accuracy,final_mse,proposal_evaluations,compound_evaluations,committed_programs,committed_primitives,ever_pairs,possible_pairs,rounds,shortlist_misses,verification_noise,scheduler_misorders,mean_reference_regret,max_reference_regret
G0-full-96,2b7e151628aed2a6,0.00374085,0.00646452,1.00000000,1.00000000,0.00000000,4132800,1176000,4800,9576,7503,7503,4800,65,9,55,0.00005758,0.00053477
G0-full-96,77a19d3c4e280b51,0.00744008,0.01458311,1.00000000,1.00000000,0.00000000,4132800,1176000,4799,9567,7503,7503,4800,71,16,55,0.00006173,0.00048289
G0-full-96,1111222233334444,0.00339942,0.00619198,1.00000000,1.00000000,0.00000000,4132800,1176000,4798,9563,7503,7503,4800,72,13,59,0.00004837,0.00032577
G1-random-64,2b7e151628aed2a6,0.16567479,0.18855323,0.97916669,0.93750000,0.18750000,4132800,1176000,4800,9569,7503,7503,4800,58,59,29,0.00120261,0.00592285
G1-random-64,77a19d3c4e280b51,0.21573277,0.23411375,0.93750000,0.93750000,0.18750000,4132800,1176000,4800,9569,7503,7503,4800,56,52,33,0.00113821,0.00617397
G1-random-64,1111222233334444,0.19891660,0.21719457,0.94791669,0.91666669,0.20833333,4132800,1176000,4800,9568,7503,7503,4800,51,58,27,0.00107999,0.00679004
G2-balanced-64,2b7e151628aed2a6,0.19264139,0.21419270,0.96875000,0.93750000,0.06250000,4132800,1176000,4800,9572,7503,7503,4800,60,51,35,0.00100694,0.00307582
G2-balanced-64,77a19d3c4e280b51,0.12273832,0.14083052,0.98958331,0.95833331,0.10416666,4132800,1176000,4800,9567,7503,7503,4800,61,59,26,0.00094216,0.00491208
G2-balanced-64,1111222233334444,0.06979596,0.08214436,0.97916669,0.97916669,0.08333334,4132800,1176000,4800,9561,7503,7503,4800,65,62,27,0.00118629,0.00509694
G3-stratified-64,2b7e151628aed2a6,0.03429621,0.04683727,1.00000000,1.00000000,0.00000000,4132800,1176000,4800,9570,7503,7503,4800,54,48,36,0.00087687,0.00340713
G3-stratified-64,77a19d3c4e280b51,0.05449949,0.06588054,1.00000000,1.00000000,0.00000000,4132800,1176000,4800,9567,7503,7503,4800,62,59,27,0.00091590,0.00305860
G3-stratified-64,1111222233334444,0.09037589,0.11164889,0.97916669,0.95833331,0.04166667,4132800,1176000,4800,9570,7503,7503,4800,64,51,34,0.00080889,0.00301886
G4-fixed-full-96,2b7e151628aed2a6,0.00374085,0.00646452,1.00000000,1.00000000,0.00000000,4132800,1176000,4800,9576,7503,7503,4800,65,9,55,0.00005758,0.00053477
G4-fixed-full-96,77a19d3c4e280b51,0.00744008,0.01458311,1.00000000,1.00000000,0.00000000,4132800,1176000,4799,9567,7503,7503,4800,71,16,55,0.00006173,0.00048289
G4-fixed-full-96,1111222233334444,0.00339942,0.00619198,1.00000000,1.00000000,0.00000000,4132800,1176000,4798,9563,7503,7503,4800,72,13,59,0.00004837,0.00032577
G5-aggregate-3x32,2b7e151628aed2a6,0.12829058,0.14470975,0.98958331,0.97916669,0.08333334,4132800,1176000,4800,9574,7503,7503,4800,60,47,44,0.00099791,0.00340626
G5-aggregate-3x32,77a19d3c4e280b51,0.09886095,0.11276374,1.00000000,0.95833331,0.04166667,4132800,1176000,4800,9572,7503,7503,4800,63,54,35,0.00078764,0.00338721
G5-aggregate-3x32,1111222233334444,0.19885950,0.21643598,0.94791669,0.93750000,0.18750000,4132800,1176000,4800,9572,7503,7503,4800,60,64,23,0.00105294,0.00468624
G6-aggregate-2x48,2b7e151628aed2a6,0.11719175,0.13226250,0.98958331,0.97916669,0.08333334,4132800,1176000,4800,9576,7503,7503,4800,66,63,27,0.00103178,0.00507823
G6-aggregate-2x48,77a19d3c4e280b51,0.11435614,0.13501666,1.00000000,0.97916669,0.02083333,4132800,1176000,4800,9574,7503,7503,4800,62,64,25,0.00085136,0.00359970
G6-aggregate-2x48,1111222233334444,0.12792584,0.14598718,0.98958331,0.97916669,0.02083333,4132800,1176000,4800,9577,7503,7503,4800,54,46,35,0.00082678,0.00333601
G7-aggregate-6x16,2b7e151628aed2a6,0.11800792,0.13154246,0.97916669,0.97916669,0.08333334,4132800,1176000,4800,9584,7503,7503,4800,64,51,41,0.00104620,0.00421649
G7-aggregate-6x16,77a19d3c4e280b51,0.14041646,0.15954991,0.96875000,0.97916669,0.08333334,4132800,1176000,4800,9572,7503,7503,4800,62,60,29,0.00080820,0.00349411
G7-aggregate-6x16,1111222233334444,0.11190537,0.13096978,0.96875000,0.97916669,0.02083333,4132800,1176000,4800,9574,7503,7503,4800,57,49,37,0.00079477,0.00375772
G8-adamw,2b7e151628aed2a6,0.00026558,0.00071143,1.00000000,1.00000000,0.00000000,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
G8-adamw,77a19d3c4e280b51,0.00019948,0.00435707,1.00000000,1.00000000,0.00000000,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
G8-adamw,1111222233334444,0.00013360,0.00098291,1.00000000,1.00000000,0.00000000,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
G9-sign,2b7e151628aed2a6,0.15240337,0.19579625,0.95833331,0.93750000,0.12500000,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
G9-sign,77a19d3c4e280b51,0.19102831,0.24640729,0.96875000,0.95833331,0.04166667,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
G9-sign,1111222233334444,0.09160417,0.10434081,0.97916669,0.95833331,0.10416666,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
