seed,final_train_loss,final_validation_loss,final_train_accuracy,final_validation_accuracy,horizon,snapshots,initial_inferior,mean_delta_train_loss,g3_better_rate,reversal_rate,mean_delta_best_opportunity,g3_opportunity_better_rate,mean_g3_train_loss,mean_greedy_train_loss,mean_g3_validation_loss,mean_greedy_validation_loss,mean_g3_best_opportunity,mean_greedy_best_opportunity,mean_g3_positive_blocks,mean_greedy_positive_blocks,mean_g3_harmful_blocks,mean_greedy_harmful_blocks,mean_g3_positive_utility,mean_greedy_positive_utility,mean_g3_median_positive_utility,mean_greedy_median_positive_utility
2b7e151628aed2a6,0.03429621,0.04683727,1.00000000,1.00000000,1,96,74,0.00061253,0.00000000,0.00000000,0.00012251,0.60416667,0.31512196,0.31450944,0.33628673,0.33530469,0.00086706,0.00074455,29.30208333,28.93750000,24.37500000,24.53125000,0.00020436,0.00018797,0.00014219,0.00013572
2b7e151628aed2a6,0.03429621,0.04683727,1.00000000,1.00000000,2,96,74,0.00058201,0.04166667,0.05405405,0.00010409,0.60416667,0.31491749,0.31433548,0.33605690,0.33509802,0.00084783,0.00074375,30.93750000,30.62500000,22.13541667,22.39583333,0.00021267,0.00019597,0.00014820,0.00014152
2b7e151628aed2a6,0.03429621,0.04683727,1.00000000,1.00000000,4,96,74,0.00049749,0.11458333,0.14864865,0.00006333,0.57291667,0.31442421,0.31392671,0.33561623,0.33478799,0.00083395,0.00077062,31.22916667,31.10416667,22.51041667,22.22916667,0.00019851,0.00019179,0.00013658,0.00013745
2b7e151628aed2a6,0.03429621,0.04683727,1.00000000,1.00000000,8,96,74,0.00029516,0.29166667,0.37837838,0.00002588,0.43750000,0.31358503,0.31328987,0.33491584,0.33443751,0.00084910,0.00082322,30.00000000,30.15625000,23.80208333,23.71875000,0.00020399,0.00019922,0.00013740,0.00013640
2b7e151628aed2a6,0.03429621,0.04683727,1.00000000,1.00000000,16,96,74,0.00005994,0.37500000,0.48648649,-0.00000258,0.46875000,0.31195186,0.31189192,0.33365442,0.33349493,0.00082849,0.00083107,31.53125000,31.48958333,22.66666667,22.65625000,0.00019689,0.00019740,0.00013497,0.00013400
2b7e151628aed2a6,0.03429621,0.04683727,1.00000000,1.00000000,32,96,74,0.00004189,0.38541667,0.50000000,0.00001392,0.38541667,0.30880069,0.30875880,0.33094865,0.33077261,0.00091010,0.00089617,31.07291667,30.63541667,22.31250000,22.53125000,0.00020910,0.00020759,0.00014156,0.00014164
2b7e151628aed2a6,0.03429621,0.04683727,1.00000000,1.00000000,64,96,74,-0.00003987,0.32291667,0.41891892,-0.00002511,0.36458333,0.30123020,0.30127007,0.32298516,0.32299135,0.00084247,0.00086758,29.53125000,29.27083333,23.98958333,24.35416667,0.00019529,0.00019530,0.00013204,0.00012885
77a19d3c4e280b51,0.05449949,0.06588054,1.00000000,1.00000000,1,96,83,0.00065745,0.00000000,0.00000000,0.00015003,0.78125000,0.35204353,0.35138608,0.37439335,0.37341297,0.00083014,0.00068011,30.97916667,30.12500000,23.63541667,24.05208333,0.00020758,0.00017966,0.00015232,0.00013518
77a19d3c4e280b51,0.05449949,0.06588054,1.00000000,1.00000000,2,96,83,0.00064927,0.08333333,0.09638554,0.00011472,0.75000000,0.35194502,0.35129576,0.37439451,0.37334962,0.00090902,0.00079431,31.83333333,30.78125000,22.05208333,22.59375000,0.00022177,0.00019976,0.00015997,0.00014759
77a19d3c4e280b51,0.05449949,0.06588054,1.00000000,1.00000000,4,96,83,0.00044746,0.17708333,0.20481928,0.00007114,0.62500000,0.35139227,0.35094481,0.37378263,0.37303757,0.00090545,0.00083431,32.93750000,32.18750000,21.73958333,22.26041667,0.00021787,0.00020457,0.00015452,0.00014472
77a19d3c4e280b51,0.05449949,0.06588054,1.00000000,1.00000000,8,96,83,0.00034803,0.25000000,0.28915663,0.00006066,0.57291667,0.35023867,0.34989063,0.37247747,0.37201418,0.00087467,0.00081402,33.48958333,32.19791667,21.34375000,22.44791667,0.00021028,0.00020158,0.00014569,0.00014539
