seed,control_slot,final_train_loss,final_validation_loss,final_train_accuracy,final_validation_accuracy,matched_snapshots,initial_control_better,initial_g3_better,mean_regret_gap,persistent_reversal,transient_reversal,no_reversal,horizon,matched,horizon_initial_control_better,mean_delta,g3_better_rate,reversal_rate,mean_parameter_distance,mean_g3_train_loss,mean_control_train_loss,mean_g3_validation_loss,mean_control_validation_loss
2b7e151628aed2a6,control_a,0.03429621,0.04683727,1.00000000,1.00000000,78,26,39,0.00000978,7,18,1,1,78,26,-0.00000419,0.50000000,0.00000000,0.02619402,0.32060650,0.32061069,0.34186696,0.34176799
2b7e151628aed2a6,control_a,0.03429621,0.04683727,1.00000000,1.00000000,78,26,39,0.00000978,7,18,1,2,78,26,0.00005833,0.34615385,0.26923077,0.02902206,0.32041971,0.32036138,0.34170782,0.34152090
2b7e151628aed2a6,control_a,0.03429621,0.04683727,1.00000000,1.00000000,78,26,39,0.00000978,7,18,1,4,78,26,0.00005636,0.42307692,0.34615385,0.03413862,0.31989007,0.31983371,0.34110666,0.34091513
2b7e151628aed2a6,control_a,0.03429621,0.04683727,1.00000000,1.00000000,78,26,39,0.00000978,7,18,1,8,78,26,-0.00000167,0.47435897,0.57692308,0.04093339,0.31899326,0.31899493,0.34041197,0.34036517
2b7e151628aed2a6,control_a,0.03429621,0.04683727,1.00000000,1.00000000,78,26,39,0.00000978,7,18,1,16,78,26,-0.00009994,0.51282051,0.50000000,0.05410546,0.31728487,0.31738482,0.33899287,0.33909816
2b7e151628aed2a6,control_a,0.03429621,0.04683727,1.00000000,1.00000000,78,26,39,0.00000978,7,18,1,32,78,26,-0.00015915,0.47435897,0.53846154,0.07444275,0.31397688,0.31413603,0.33605264,0.33634241
2b7e151628aed2a6,control_a,0.03429621,0.04683727,1.00000000,1.00000000,78,26,39,0.00000978,7,18,1,64,78,26,-0.00006863,0.43589744,0.46153846,0.10903497,0.30626934,0.30633797,0.32810432,0.32819231
2b7e151628aed2a6,control_b,0.03429621,0.04683727,1.00000000,1.00000000,62,33,29,0.00001484,7,23,3,1,62,33,-0.00000305,0.46774194,0.00000000,0.03146258,0.33515875,0.33516180,0.35724758,0.35714800
2b7e151628aed2a6,control_b,0.03429621,0.04683727,1.00000000,1.00000000,62,33,29,0.00001484,7,23,3,2,62,33,0.00011590,0.35483871,0.24242424,0.03477657,0.33500167,0.33488578,0.35714438,0.35687804
2b7e151628aed2a6,control_b,0.03429621,0.04683727,1.00000000,1.00000000,62,33,29,0.00001484,7,23,3,4,62,33,0.00006139,0.51612903,0.39393939,0.04137909,0.33451792,0.33445653,0.35664161,0.35644700
2b7e151628aed2a6,control_b,0.03429621,0.04683727,1.00000000,1.00000000,62,33,29,0.00001484,7,23,3,8,62,33,-0.00006972,0.58064516,0.54545455,0.05241969,0.33337356,0.33344328,0.35541249,0.35552060
2b7e151628aed2a6,control_b,0.03429621,0.04683727,1.00000000,1.00000000,62,33,29,0.00001484,7,23,3,16,62,33,-0.00022270,0.62903226,0.57575758,0.06901043,0.33153407,0.33175677,0.35365332,0.35399064
2b7e151628aed2a6,control_b,0.03429621,0.04683727,1.00000000,1.00000000,62,33,29,0.00001484,7,23,3,32,62,33,-0.00025122,0.62903226,0.63636364,0.09499035,0.32804686,0.32829807,0.35079577,0.35118052
2b7e151628aed2a6,control_b,0.03429621,0.04683727,1.00000000,1.00000000,62,33,29,0.00001484,7,23,3,64,62,33,-0.00017926,0.54838710,0.48484848,0.13632705,0.31989265,0.32007191,0.34260717,0.34269603
77a19d3c4e280b51,control_a,0.05449949,0.06588054,1.00000000,1.00000000,87,37,35,0.00000678,15,21,1,1,87,37,0.00000011,0.40229885,0.00000000,0.02845195,0.33366802,0.33366790,0.35639911,0.35635131
