seed,global_commit,control_slot,matched,g3_stratum,g3_utility,g3_regret,control_utility,control_regret,regret_gap,initial_control_better,first_reversal_horizon,persistent_reversal,transient_reversal,no_reversal,horizon,g3_train_loss,control_train_loss,g3_vs_control_train_delta,g3_validation_loss,control_validation_loss,g3_control_parameter_distance,g3_vs_greedy_train_delta
2b7e151628aed2a6,0,control_a,true,1,0.00096989,0.00007677,0.00099599,0.00005066,0.00002611,true,8,false,true,false,1,1.11040628,1.11038017,0.00002611,1.11015093,1.11012053,0.03000000,0.00007677
2b7e151628aed2a6,0,control_a,true,1,0.00096989,0.00007677,0.00099599,0.00005066,0.00002611,true,8,false,true,false,2,1.10941851,1.10935688,0.00006163,1.10915256,1.10908484,0.03000000,0.00011158
2b7e151628aed2a6,0,control_a,true,1,0.00096989,0.00007677,0.00099599,0.00005066,0.00002611,true,8,false,true,false,4,1.10763991,1.10759127,0.00004864,1.10737765,1.10732293,0.03000000,0.00009704
2b7e151628aed2a6,0,control_a,true,1,0.00096989,0.00007677,0.00099599,0.00005066,0.00002611,true,8,false,true,false,8,1.10467064,1.10469496,-0.00002432,1.10445356,1.10447657,0.03041381,0.00001299
2b7e151628aed2a6,0,control_a,true,1,0.00096989,0.00007677,0.00099599,0.00005066,0.00002611,true,8,false,true,false,16,1.10093760,1.10094821,-0.00001061,1.10079420,1.10080194,0.03041381,-0.00001061
2b7e151628aed2a6,0,control_a,true,1,0.00096989,0.00007677,0.00099599,0.00005066,0.00002611,true,8,false,true,false,32,1.09636557,1.09633577,0.00002980,1.09633768,1.09630156,0.03041381,0.00003326
2b7e151628aed2a6,0,control_a,true,1,0.00096989,0.00007677,0.00099599,0.00005066,0.00002611,true,8,false,true,false,64,1.08638334,1.08616602,0.00021732,1.08672130,1.08649600,0.06422615,0.00007594
2b7e151628aed2a6,0,control_b,false,1,0.00096989,0.00007677,0.00000000,0.00000000,0.00000000,false,0,false,false,false,1,1.11040628,1.11137617,-0.00096989,1.11015093,1.11112082,0.02000000,0.00007677
2b7e151628aed2a6,0,control_b,false,1,0.00096989,0.00007677,0.00000000,0.00000000,0.00000000,false,0,false,false,false,2,1.10941851,1.11030364,-0.00088513,1.10915256,1.11003816,0.02000000,0.00011158
2b7e151628aed2a6,0,control_b,false,1,0.00096989,0.00007677,0.00000000,0.00000000,0.00000000,false,0,false,false,false,4,1.10763991,1.10839832,-0.00075841,1.10737765,1.10813642,0.02000000,0.00009704
2b7e151628aed2a6,0,control_b,false,1,0.00096989,0.00007677,0.00000000,0.00000000,0.00000000,false,0,false,false,false,8,1.10467064,1.10532653,-0.00065589,1.10445356,1.10510993,0.02000000,0.00001299
2b7e151628aed2a6,0,control_b,false,1,0.00096989,0.00007677,0.00000000,0.00000000,0.00000000,false,0,false,false,false,16,1.10093760,1.10135853,-0.00042093,1.10079420,1.10121512,0.02000000,-0.00001061
2b7e151628aed2a6,0,control_b,false,1,0.00096989,0.00007677,0.00000000,0.00000000,0.00000000,false,0,false,false,false,32,1.09636557,1.09660721,-0.00024164,1.09633768,1.09657669,0.02828427,0.00003326
2b7e151628aed2a6,0,control_b,false,1,0.00096989,0.00007677,0.00000000,0.00000000,0.00000000,false,0,false,false,false,64,1.08638334,1.08816183,-0.00177848,1.08672130,1.08848464,0.21977262,0.00007594
2b7e151628aed2a6,50,control_a,true,1,0.00032341,0.00011647,0.00032699,0.00011289,0.00000358,true,2,false,true,false,1,1.09102809,1.09102452,0.00000358,1.09116483,1.09116161,0.00500000,0.00011647
2b7e151628aed2a6,50,control_a,true,1,0.00032341,0.00011647,0.00032699,0.00011289,0.00000358,true,2,false,true,false,2,1.09058368,1.09058475,-0.00000107,1.09073889,1.09073651,0.00500000,0.00011075
2b7e151628aed2a6,50,control_a,true,1,0.00032341,0.00011647,0.00032699,0.00011289,0.00000358,true,2,false,true,false,4,1.08998334,1.08995283,0.00003052,1.09013069,1.09011054,0.00500000,0.00012732
2b7e151628aed2a6,50,control_a,true,1,0.00032341,0.00011647,0.00032699,0.00011289,0.00000358,true,2,false,true,false,8,1.08849680,1.08849907,-0.00000226,1.08869517,1.08869898,0.00500000,0.00012314
2b7e151628aed2a6,50,control_a,true,1,0.00032341,0.00011647,0.00032699,0.00011289,0.00000358,true,2,false,true,false,16,1.08553100,1.08592474,-0.00039375,1.08587992,1.08632016,0.05024937,-0.00025523
2b7e151628aed2a6,50,control_a,true,1,0.00032341,0.00011647,0.00032699,0.00011289,0.00000358,true,2,false,true,false,32,1.07938898,1.07985699,-0.00046802,1.08013356,1.08060992,0.09962430,-0.00066352
2b7e151628aed2a6,50,control_a,true,1,0.00032341,0.00011647,0.00032699,0.00011289,0.00000358,true,2,false,true,false,64,1.06285429,1.06414449,-0.00129020,1.06436408,1.06571925,0.14008927,-0.00166833
2b7e151628aed2a6,50,control_b,true,1,0.00032341,0.00011647,0.00029695,0.00014293,0.00002646,false,0,false,false,false,1,1.09102809,1.09105456,-0.00002646,1.09116483,1.09118032,0.02872281,0.00011647
