family,control_slot,horizon,rows,matched,initial_control_better,mean_delta,g3_better_rate,reversal_rate,mean_parameter_distance,persistent_reversal,transient_reversal,no_reversal
L0-original,control_a,1,288,250,94,-0.00000197,0.45200000,0.00000000,0.02713094,29,60,5
L0-original,control_a,2,288,250,94,0.00003920,0.36000000,0.31914894,0.02952375,29,60,5
L0-original,control_a,4,288,250,94,0.00003631,0.44800000,0.45744681,0.03407783,29,60,5
L0-original,control_a,8,288,250,94,-0.00003066,0.48000000,0.53191489,0.04116092,29,60,5
L0-original,control_a,16,288,250,94,-0.00009105,0.46400000,0.48936170,0.05422450,29,60,5
L0-original,control_a,32,288,250,94,-0.00010745,0.47200000,0.54255319,0.07427591,29,60,5
L0-original,control_a,64,288,250,94,-0.00023465,0.50800000,0.60638298,0.10952228,29,60,5
L0-original,control_b,1,288,202,100,-0.00000187,0.50000000,0.00000000,0.03179485,35,55,10
L0-original,control_b,2,288,202,100,0.00006268,0.37623762,0.25000000,0.03558093,35,55,10
L0-original,control_b,4,288,202,100,0.00000293,0.50990099,0.45000000,0.04138289,35,55,10
L0-original,control_b,8,288,202,100,-0.00008968,0.56930693,0.51000000,0.05128200,35,55,10
L0-original,control_b,16,288,202,100,-0.00014363,0.56930693,0.50000000,0.06793971,35,55,10
L0-original,control_b,32,288,202,100,-0.00015006,0.55940594,0.54000000,0.09598332,35,55,10
L0-original,control_b,64,288,202,100,-0.00040258,0.62376238,0.63000000,0.13761603,35,55,10
L1-new-evidence,control_a,1,576,500,188,-0.00000197,0.45200000,0.00000000,0.02713094,52,122,14
L1-new-evidence,control_a,2,576,500,188,-0.00001202,0.51200000,0.50000000,0.02939768,52,122,14
L1-new-evidence,control_a,4,576,500,188,0.00000794,0.47600000,0.46808511,0.03428594,52,122,14
L1-new-evidence,control_a,8,576,500,188,-0.00001458,0.49800000,0.57446809,0.04215387,52,122,14
L1-new-evidence,control_a,16,576,500,188,-0.00003874,0.46800000,0.49468085,0.05554169,52,122,14
L1-new-evidence,control_a,32,576,500,188,-0.00005061,0.48600000,0.51063830,0.07836239,52,122,14
L1-new-evidence,control_a,64,576,500,188,-0.00018355,0.50600000,0.56914894,0.11254173,52,122,14
L1-new-evidence,control_b,1,576,404,200,-0.00000187,0.50000000,0.00000000,0.03179485,51,136,13
L1-new-evidence,control_b,2,576,404,200,-0.00002192,0.55940594,0.52000000,0.03474441,51,136,13
L1-new-evidence,control_b,4,576,404,200,0.00002004,0.52722772,0.52500000,0.04127768,51,136,13
L1-new-evidence,control_b,8,576,404,200,0.00001712,0.56435644,0.56000000,0.05190334,51,136,13
L1-new-evidence,control_b,16,576,404,200,-0.00000862,0.52475248,0.45500000,0.07007809,51,136,13
L1-new-evidence,control_b,32,576,404,200,-0.00008721,0.54207921,0.52000000,0.10002928,51,136,13
L1-new-evidence,control_b,64,576,404,200,-0.00008729,0.56188119,0.57000000,0.14232192,51,136,13
L2-shifted-schedule,control_a,1,576,500,188,-0.00000197,0.45200000,0.00000000,0.02713094,56,110,22
L2-shifted-schedule,control_a,2,576,500,188,0.00003513,0.38800000,0.35106383,0.02966419,56,110,22
L2-shifted-schedule,control_a,4,576,500,188,0.00002659,0.42400000,0.41489362,0.03440731,56,110,22
L2-shifted-schedule,control_a,8,576,500,188,-0.00001299,0.47400000,0.45744681,0.04223423,56,110,22
L2-shifted-schedule,control_a,16,576,500,188,-0.00000452,0.43000000,0.50000000,0.05447239,56,110,22
L2-shifted-schedule,control_a,32,576,500,188,-0.00005617,0.45200000,0.50531915,0.07622379,56,110,22
L2-shifted-schedule,control_a,64,576,500,188,-0.00005699,0.45400000,0.54255319,0.11031266,56,110,22
L2-shifted-schedule,control_b,1,576,404,200,-0.00000187,0.50000000,0.00000000,0.03179485,57,113,30
L2-shifted-schedule,control_b,2,576,404,200,0.00005073,0.40099010,0.34000000,0.03572968,57,113,30
L2-shifted-schedule,control_b,4,576,404,200,0.00001554,0.48762376,0.45500000,0.04191474,57,113,30
L2-shifted-schedule,control_b,8,576,404,200,-0.00004151,0.53465347,0.47500000,0.05085617,57,113,30
L2-shifted-schedule,control_b,16,576,404,200,-0.00000057,0.51237624,0.46500000,0.06727088,57,113,30
L2-shifted-schedule,control_b,32,576,404,200,-0.00003897,0.50990099,0.46000000,0.09661177,57,113,30
L2-shifted-schedule,control_b,64,576,404,200,-0.00008209,0.55940594,0.52500000,0.13752383,57,113,30
L3-new-evidence-and-schedule,control_a,1,576,500,188,-0.00000197,0.45200000,0.00000000,0.02713094,55,113,20
L3-new-evidence-and-schedule,control_a,2,576,500,188,0.00001683,0.47400000,0.39361702,0.02929047,55,113,20
L3-new-evidence-and-schedule,control_a,4,576,500,188,-0.00000570,0.48400000,0.48936170,0.03412195,55,113,20
L3-new-evidence-and-schedule,control_a,8,576,500,188,-0.00003525,0.48200000,0.48936170,0.04148245,55,113,20
L3-new-evidence-and-schedule,control_a,16,576,500,188,-0.00010294,0.51600000,0.56914894,0.05474731,55,113,20
L3-new-evidence-and-schedule,control_a,32,576,500,188,-0.00005527,0.46800000,0.54255319,0.07693105,55,113,20
L3-new-evidence-and-schedule,control_a,64,576,500,188,-0.00001009,0.44800000,0.51595745,0.11260930,55,113,20
