seed,family,replicate,global_commit,control_slot,matched,g3_utility,g3_regret,control_utility,regret_gap,initial_control_better,first_reversal_horizon,persistent_reversal,transient_reversal,no_reversal,horizon,g3_train_loss,control_train_loss,g3_vs_control_train_delta,g3_validation_loss,control_validation_loss,g3_control_parameter_distance
2b7e151628aed2a6,L0-original,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,8,false,true,false,1,1.11040628,1.11038017,0.00002611,1.11015093,1.11012053,0.03000000
2b7e151628aed2a6,L0-original,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,8,false,true,false,2,1.10941851,1.10935688,0.00006163,1.10915256,1.10908484,0.03000000
2b7e151628aed2a6,L0-original,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,8,false,true,false,4,1.10763991,1.10759127,0.00004864,1.10737765,1.10732293,0.03000000
2b7e151628aed2a6,L0-original,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,8,false,true,false,8,1.10467064,1.10469496,-0.00002432,1.10445356,1.10447657,0.03041381
2b7e151628aed2a6,L0-original,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,8,false,true,false,16,1.10093760,1.10094821,-0.00001061,1.10079420,1.10080194,0.03041381
2b7e151628aed2a6,L0-original,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,8,false,true,false,32,1.09636557,1.09633577,0.00002980,1.09633768,1.09630156,0.03041381
2b7e151628aed2a6,L0-original,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,8,false,true,false,64,1.08638334,1.08616602,0.00021732,1.08672130,1.08649600,0.06422615
2b7e151628aed2a6,L0-original,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,1,1.11040628,1.11137617,-0.00096989,1.11015093,1.11112082,0.02000000
2b7e151628aed2a6,L0-original,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,2,1.10941851,1.11030364,-0.00088513,1.10915256,1.11003816,0.02000000
2b7e151628aed2a6,L0-original,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,4,1.10763991,1.10839832,-0.00075841,1.10737765,1.10813642,0.02000000
2b7e151628aed2a6,L0-original,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,8,1.10467064,1.10532653,-0.00065589,1.10445356,1.10510993,0.02000000
2b7e151628aed2a6,L0-original,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,16,1.10093760,1.10135853,-0.00042093,1.10079420,1.10121512,0.02000000
2b7e151628aed2a6,L0-original,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,32,1.09636557,1.09660721,-0.00024164,1.09633768,1.09657669,0.02828427
