domain,family,control_slot,horizon,rows,matched,initial_control_better,mean_delta,g3_better_rate,reversal_rate,mean_parameter_distance,mean_utility_gap,max_utility_gap,persistent_reversal,transient_reversal,no_reversal
N1-k2-shortlist,L0-original,control_a,1,288,161,48,-0.00000446,0.46583851,0.00000000,0.01255209,0.00001370,0.00004964,17,25,6
N1-k2-shortlist,L0-original,control_a,2,288,161,48,0.00000390,0.43478261,0.20833333,0.01314213,0.00001370,0.00004964,17,25,6
N1-k2-shortlist,L0-original,control_a,4,288,161,48,0.00001193,0.42236025,0.25000000,0.01555234,0.00001370,0.00004964,17,25,6
N1-k2-shortlist,L0-original,control_a,8,288,161,48,-0.00002538,0.47826087,0.41666667,0.01949979,0.00001370,0.00004964,17,25,6
N1-k2-shortlist,L0-original,control_a,16,288,161,48,-0.00008955,0.50310559,0.58333333,0.02847459,0.00001370,0.00004964,17,25,6
N1-k2-shortlist,L0-original,control_a,32,288,161,48,-0.00004205,0.45962733,0.58333333,0.04519458,0.00001370,0.00004964,17,25,6
N1-k2-shortlist,L0-original,control_a,64,288,161,48,-0.00007626,0.44099379,0.50000000,0.07197475,0.00001370,0.00004964,17,25,6
N1-k2-shortlist,L0-original,control_b,1,288,26,7,-0.00000702,0.73076923,0.00000000,0.01136530,0.00002866,0.00004989,1,5,1
N1-k2-shortlist,L0-original,control_b,2,288,26,7,0.00004374,0.50000000,0.00000000,0.01399860,0.00002866,0.00004989,1,5,1
N1-k2-shortlist,L0-original,control_b,4,288,26,7,0.00000493,0.57692308,0.14285714,0.01937534,0.00002866,0.00004989,1,5,1
N1-k2-shortlist,L0-original,control_b,8,288,26,7,-0.00013469,0.65384615,0.42857143,0.02595297,0.00002866,0.00004989,1,5,1
N1-k2-shortlist,L0-original,control_b,16,288,26,7,-0.00015449,0.61538462,0.28571429,0.04053382,0.00002866,0.00004989,1,5,1
N1-k2-shortlist,L0-original,control_b,32,288,26,7,-0.00007719,0.57692308,0.14285714,0.06544422,0.00002866,0.00004989,1,5,1
N1-k2-shortlist,L0-original,control_b,64,288,26,7,-0.00029301,0.61538462,0.57142857,0.10998697,0.00002866,0.00004989,1,5,1
N1-k2-shortlist,L2-shifted-17,control_a,1,288,161,48,-0.00000446,0.46583851,0.00000000,0.01255209,0.00001370,0.00004964,13,24,11
N1-k2-shortlist,L2-shifted-17,control_a,2,288,161,48,-0.00000789,0.44720497,0.12500000,0.01383756,0.00001370,0.00004964,13,24,11
N1-k2-shortlist,L2-shifted-17,control_a,4,288,161,48,-0.00001015,0.46583851,0.31250000,0.01653137,0.00001370,0.00004964,13,24,11
N1-k2-shortlist,L2-shifted-17,control_a,8,288,161,48,-0.00005822,0.49068323,0.35416667,0.02047174,0.00001370,0.00004964,13,24,11
N1-k2-shortlist,L2-shifted-17,control_a,16,288,161,48,-0.00004385,0.42857143,0.41666667,0.02812511,0.00001370,0.00004964,13,24,11
N1-k2-shortlist,L2-shifted-17,control_a,32,288,161,48,-0.00003793,0.44720497,0.45833333,0.04775245,0.00001370,0.00004964,13,24,11
N1-k2-shortlist,L2-shifted-17,control_a,64,288,161,48,0.00010142,0.37888199,0.41666667,0.07702945,0.00001370,0.00004964,13,24,11
N1-k2-shortlist,L2-shifted-17,control_b,1,288,26,7,-0.00000702,0.73076923,0.00000000,0.01136530,0.00002866,0.00004989,1,5,1
N1-k2-shortlist,L2-shifted-17,control_b,2,288,26,7,-0.00004671,0.57692308,0.14285714,0.01477654,0.00002866,0.00004989,1,5,1
N1-k2-shortlist,L2-shifted-17,control_b,4,288,26,7,-0.00011842,0.69230769,0.42857143,0.02215604,0.00002866,0.00004989,1,5,1
N1-k2-shortlist,L2-shifted-17,control_b,8,288,26,7,-0.00014988,0.61538462,0.14285714,0.02539720,0.00002866,0.00004989,1,5,1
N1-k2-shortlist,L2-shifted-17,control_b,16,288,26,7,0.00001983,0.53846154,0.42857143,0.04352793,0.00002866,0.00004989,1,5,1
N1-k2-shortlist,L2-shifted-17,control_b,32,288,26,7,0.00006623,0.53846154,0.28571429,0.06746808,0.00002866,0.00004989,1,5,1
N1-k2-shortlist,L2-shifted-17,control_b,64,288,26,7,0.00039229,0.42307692,0.42857143,0.10010251,0.00002866,0.00004989,1,5,1
N1-k2-shortlist,L2-shifted-36,control_a,1,288,161,48,-0.00000446,0.46583851,0.00000000,0.01255209,0.00001370,0.00004964,10,31,7
N1-k2-shortlist,L2-shifted-36,control_a,2,288,161,48,0.00000698,0.42857143,0.12500000,0.01397731,0.00001370,0.00004964,10,31,7
N1-k2-shortlist,L2-shifted-36,control_a,4,288,161,48,0.00000137,0.44720497,0.31250000,0.01579654,0.00001370,0.00004964,10,31,7
N1-k2-shortlist,L2-shifted-36,control_a,8,288,161,48,-0.00001004,0.48447205,0.43750000,0.02056995,0.00001370,0.00004964,10,31,7
N1-k2-shortlist,L2-shifted-36,control_a,16,288,161,48,0.00001462,0.42236025,0.43750000,0.02965268,0.00001370,0.00004964,10,31,7
N1-k2-shortlist,L2-shifted-36,control_a,32,288,161,48,-0.00001053,0.44099379,0.39583333,0.04607851,0.00001370,0.00004964,10,31,7
N1-k2-shortlist,L2-shifted-36,control_a,64,288,161,48,-0.00001378,0.42236025,0.45833333,0.07564447,0.00001370,0.00004964,10,31,7
N1-k2-shortlist,L2-shifted-36,control_b,1,288,26,7,-0.00000702,0.73076923,0.00000000,0.01136530,0.00002866,0.00004989,3,3,1
N1-k2-shortlist,L2-shifted-36,control_b,2,288,26,7,0.00000352,0.53846154,0.00000000,0.01366203,0.00002866,0.00004989,3,3,1
N1-k2-shortlist,L2-shifted-36,control_b,4,288,26,7,0.00003991,0.57692308,0.28571429,0.02124142,0.00002866,0.00004989,3,3,1
N1-k2-shortlist,L2-shifted-36,control_b,8,288,26,7,-0.00004040,0.61538462,0.28571429,0.02797857,0.00002866,0.00004989,3,3,1
N1-k2-shortlist,L2-shifted-36,control_b,16,288,26,7,0.00001603,0.50000000,0.28571429,0.04989466,0.00002866,0.00004989,3,3,1
N1-k2-shortlist,L2-shifted-36,control_b,32,288,26,7,-0.00007294,0.65384615,0.57142857,0.07238133,0.00002866,0.00004989,3,3,1
N1-k2-shortlist,L2-shifted-36,control_b,64,288,26,7,0.00004409,0.65384615,0.71428571,0.10925209,0.00002866,0.00004989,3,3,1
N2-full-7x7,L0-original,control_a,1,288,210,74,-0.00000173,0.45238095,0.00000000,0.01454777,0.00001256,0.00004926,24,40,10
N2-full-7x7,L0-original,control_a,2,288,210,74,0.00002905,0.38571429,0.14864865,0.01603261,0.00001256,0.00004926,24,40,10
N2-full-7x7,L0-original,control_a,4,288,210,74,0.00001456,0.42380952,0.33783784,0.01965497,0.00001256,0.00004926,24,40,10
N2-full-7x7,L0-original,control_a,8,288,210,74,-0.00005123,0.50000000,0.43243243,0.02577376,0.00001256,0.00004926,24,40,10
N2-full-7x7,L0-original,control_a,16,288,210,74,-0.00009090,0.50952381,0.52702703,0.03596133,0.00001256,0.00004926,24,40,10
N2-full-7x7,L0-original,control_a,32,288,210,74,0.00000622,0.44761905,0.44594595,0.05632694,0.00001256,0.00004926,24,40,10
N2-full-7x7,L0-original,control_a,64,288,210,74,-0.00012387,0.45714286,0.48648649,0.08751194,0.00001256,0.00004926,24,40,10
N2-full-7x7,L0-original,control_b,1,288,179,69,-0.00000206,0.40223464,0.00000000,0.01595996,0.00001506,0.00004971,23,37,9
N2-full-7x7,L0-original,control_b,2,288,179,69,0.00002763,0.34636872,0.18840580,0.01774393,0.00001506,0.00004971,23,37,9
N2-full-7x7,L0-original,control_b,4,288,179,69,-0.00001753,0.41340782,0.28985507,0.02112439,0.00001506,0.00004971,23,37,9
N2-full-7x7,L0-original,control_b,8,288,179,69,-0.00003731,0.43575419,0.39130435,0.02683112,0.00001506,0.00004971,23,37,9
N2-full-7x7,L0-original,control_b,16,288,179,69,-0.00006532,0.45810056,0.53623188,0.03764833,0.00001506,0.00004971,23,37,9
N2-full-7x7,L0-original,control_b,32,288,179,69,-0.00011552,0.44692737,0.60869565,0.05390472,0.00001506,0.00004971,23,37,9
N2-full-7x7,L0-original,control_b,64,288,179,69,-0.00016708,0.46927374,0.49275362,0.08380658,0.00001506,0.00004971,23,37,9
N2-full-7x7,L2-shifted-17,control_a,1,288,210,74,-0.00000173,0.45238095,0.00000000,0.01454777,0.00001256,0.00004926,20,42,12
N2-full-7x7,L2-shifted-17,control_a,2,288,210,74,0.00003078,0.38571429,0.17567568,0.01644016,0.00001256,0.00004926,20,42,12
