id,seed,stream,control_slot,snapshot_commit,pair_left,pair_right,g3_delta_left,g3_delta_right,control_delta_left,control_delta_right,g3_immediate_utility,control_immediate_utility,utility_gap,initial_gap,final_gap,cumulative_j,positive_j,negative_j,max_abs_j,top1_favorable_share,top5_favorable_share,top10_favorable_share,reversal_horizon,valid_future_commits,invalid_future_step,invalid_parameter,telescoping_residual,max_event_decomposition_residual
1,2b7e151628aed2a6,L0-original-frozen,0,50,94,4,0.005000,-0.020000,0.000000,-0.020000,3.234148025513e-4,3.269910812378e-4,3.576278686523e-6,3.576278686523e-6,-1.280307769775e-4,-1.316070556641e-4,1.991987228394e-4,-3.308057785034e-4,4.553794860840e-5,0.09729730,0.43711712,0.67819820,2,63,0,-1,0.000000000000e0,6.444752216339e-7
2,2b7e151628aed2a6,L2-phase17-frozen,0,50,94,4,0.005000,-0.020000,0.000000,-0.020000,3.234148025513e-4,3.269910812378e-4,3.576278686523e-6,3.576278686523e-6,-1.279115676880e-4,-1.314878463745e-4,2.740621566772e-4,-4.055500030518e-4,5.149841308594e-5,0.12698413,0.48089359,0.65196943,10,63,0,-1,0.000000000000e0,8.177012205124e-7
3,2b7e151628aed2a6,L0-original-frozen,1,50,94,4,0.005000,-0.020000,0.010000,-0.020000,3.234148025513e-4,2.868175506592e-4,3.659725189209e-5,-3.659725189209e-5,1.138448715210e-4,1.504421234131e-4,3.236532211304e-4,-1.732110977173e-4,6.580352783203e-5,0.37990365,0.79490709,0.91878871,22,63,0,-1,0.000000000000e0,7.543712854385e-7
4,2b7e151628aed2a6,L2-phase17-frozen,1,50,94,4,0.005000,-0.020000,0.010000,-0.020000,3.234148025513e-4,2.868175506592e-4,3.659725189209e-5,-3.659725189209e-5,4.816055297852e-5,8.475780487061e-5,3.134012222290e-4,-2.286434173584e-4,4.267692565918e-5,0.13190824,0.57299270,0.80865485,24,63,0,-1,0.000000000000e0,8.294979731242e-7
5,2b7e151628aed2a6,L0-original-frozen,0,300,88,18,-0.010000,0.020000,-0.020000,0.010000,-3.460049629211e-4,-3.371238708496e-4,8.881092071533e-6,8.881092071533e-6,1.019239425659e-5,1.311302185059e-6,9.490847587585e-4,-9.477734565735e-4,1.924633979797e-4,0.15061946,0.48657317,0.66505251,6,63,0,-1,0.000000000000e0,6.078432003657e-7
6,2b7e151628aed2a6,L2-phase17-frozen,0,300,88,18,-0.010000,0.020000,-0.020000,0.010000,-3.460049629211e-4,-3.371238708496e-4,8.881092071533e-6,8.881092071533e-6,4.267692565918e-5,3.379583358765e-5,8.818507194519e-4,-8.480548858643e-4,3.066062927246e-4,0.09565645,0.38571830,0.60226314,2,63,0,-1,0.000000000000e0,1.251697540283e-6
7,2b7e151628aed2a6,L0-original-frozen,1,300,88,18,-0.010000,0.020000,0.020000,-0.020000,-3.460049629211e-4,-3.634691238403e-4,1.746416091919e-5,-1.746416091919e-5,-3.329515457153e-4,-3.154873847961e-4,5.808889865875e-3,-6.124377250671e-3,9.342432022095e-4,0.15254501,0.40294891,0.60387348,2,63,0,-1,0.000000000000e0,4.619359970093e-7
8,2b7e151628aed2a6,L2-phase17-frozen,1,300,88,18,-0.010000,0.020000,0.020000,-0.020000,-3.460049629211e-4,-3.634691238403e-4,1.746416091919e-5,-1.746416091919e-5,-7.575750350952e-4,-7.401108741760e-4,5.891263484955e-3,-6.631374359131e-3,1.371383666992e-3,0.07529482,0.31439203,0.54362012,3,63,0,-1,0.000000000000e0,8.580585320791e-7
9,2b7e151628aed2a6,L0-original-frozen,0,400,59,1,0.020000,0.020000,0.010000,0.020000,6.657242774963e-4,6.397366523743e-4,2.598762512207e-5,-2.598762512207e-5,-1.436471939087e-5,1.162290573120e-5,7.891654968262e-5,-6.729364395142e-5,1.341104507446e-5,0.19929141,0.57307352,0.77945084,0,63,0,-1,0.000000000000e0,4.277875026067e-7
10,2b7e151628aed2a6,L2-phase17-frozen,0,400,59,1,0.020000,0.020000,0.010000,0.020000,6.657242774963e-4,6.397366523743e-4,2.598762512207e-5,-2.598762512207e-5,-2.896785736084e-5,-2.980232238770e-6,9.185075759888e-5,-9.483098983765e-5,1.752376556396e-5,0.18478944,0.64047769,0.82463859,0,63,0,-1,0.000000000000e0,4.743536313375e-7
