seed,stream,control_slot,axis,bin,events,sum_event_mean_j,mean_event_mean_j,sum_abs_event_mean_j
1111222233334444,L0-original-frozen,0,class,class_0,4410,-2.440449781716e-3,-5.533899731782e-7,1.545737171546e-1
1111222233334444,L0-original-frozen,0,class,class_1,4410,-7.189677096903e-3,-1.630312266872e-6,1.291997497901e-1
1111222233334444,L0-original-frozen,0,class,class_2,4410,-5.197595804930e-3,-1.178593153045e-6,2.211899869144e-1
1111222233334444,L0-original-frozen,0,geometry_stratum,stratum_0,4410,-1.593182484309e-3,-3.612658694578e-7,2.617866595586e-1
1111222233334444,L0-original-frozen,0,geometry_stratum,stratum_1,4410,-8.906210462252e-3,-2.019548857654e-6,1.589207897584e-1
1111222233334444,L0-original-frozen,0,geometry_stratum,stratum_2,4410,-3.176480531693e-3,-7.202903699983e-7,1.054682830969e-1
1111222233334444,L0-original-frozen,0,geometry_stratum,stratum_3,4410,-6.451865037282e-3,-1.463007944962e-6,1.435950646798e-1
1111222233334444,L0-original-frozen,0,geometry_stratum,stratum_4,4410,-4.777227838834e-3,-1.083271618783e-6,2.025923679272e-1
1111222233334444,L0-original-frozen,0,geometry_stratum,stratum_5,4410,-2.064555883408e-3,-4.681532615437e-7,1.180259684722e-1
1111222233334444,L0-original-frozen,0,geometry_stratum,stratum_6,4410,-4.078273971876e-3,-9.247786784298e-7,4.476965963840e-2
1111222233334444,L0-original-frozen,0,geometry_stratum,stratum_7,4410,-8.492797613144e-3,-1.925804447425e-6,4.196511308352e-1
1111222233334444,L0-original-frozen,1,class,class_0,3843,-1.734866760671e-3,-4.514355349131e-7,1.488630427048e-1
1111222233334444,L0-original-frozen,1,class,class_1,3843,-4.037810489535e-3,-1.050692294961e-6,1.277032475919e-1
1111222233334444,L0-original-frozen,1,class,class_2,3843,-4.766207188368e-3,-1.240230858279e-6,2.053089551628e-1
1111222233334444,L0-original-frozen,1,geometry_stratum,stratum_0,3843,-1.699760556221e-3,-4.423004309709e-7,2.681051939726e-1
1111222233334444,L0-original-frozen,1,geometry_stratum,stratum_1,3843,-4.897410670916e-3,-1.274371759281e-6,1.313746124506e-1
1111222233334444,L0-original-frozen,1,geometry_stratum,stratum_2,3843,-3.935779134432e-3,-1.024142371697e-6,1.022303203742e-1
1111222233334444,L0-original-frozen,1,geometry_stratum,stratum_3,3843,-5.854335923990e-3,-1.523376508975e-6,1.375203008453e-1
1111222233334444,L0-original-frozen,1,geometry_stratum,stratum_4,3843,-1.599987347921e-3,-4.163381077077e-7,1.501491963863e-1
1111222233334444,L0-original-frozen,1,geometry_stratum,stratum_5,3843,-4.004140694936e-4,-1.041930964074e-7,1.212966243426e-1
1111222233334444,L0-original-frozen,1,geometry_stratum,stratum_6,3843,-2.905766169230e-3,-7.561192217617e-7,4.562163352966e-2
1111222233334444,L0-original-frozen,1,geometry_stratum,stratum_7,3843,-6.810237963994e-3,-1.772115004943e-6,3.886050184568e-1
1111222233334444,L2-phase17-frozen,0,class,class_0,4410,-5.404371768236e-5,-1.225481126584e-8,1.584354611114e-1
1111222233334444,L2-phase17-frozen,0,class,class_1,4410,-1.046560797840e-2,-2.373153736599e-6,1.270399885252e-1
1111222233334444,L2-phase17-frozen,0,class,class_2,4410,-3.341181203723e-3,-7.576374611617e-7,2.233076039702e-1
1111222233334444,L2-phase17-frozen,0,geometry_stratum,stratum_0,4410,-1.678610841433e-3,-3.806373790098e-7,2.615819225709e-1
1111222233334444,L2-phase17-frozen,0,geometry_stratum,stratum_1,4410,-3.020455439885e-3,-6.849105305863e-7,1.499783098698e-1
1111222233334444,L2-phase17-frozen,0,geometry_stratum,stratum_2,4410,-2.709659437339e-3,-6.144352465620e-7,1.113447969158e-1
1111222233334444,L2-phase17-frozen,0,geometry_stratum,stratum_3,4410,-5.839419861635e-3,-1.324131487899e-6,1.413409536084e-1
