seed,comparison_id,stream,control_slot,snapshot_commit,horizon,pair_left,pair_right,action_left,action_right,action_delta_left,action_delta_right,d_before,d_after,j_exact,j_per_example_mean,event_decomposition_residual,class0_mean_j,class1_mean_j,class2_mean_j,stratum0_mean_j,stratum1_mean_j,stratum2_mean_j,stratum3_mean_j,stratum4_mean_j,stratum5_mean_j,stratum6_mean_j,stratum7_mean_j,relu_diff_before,relu_diff_after,relu_newly_different,relu_resolved,action_relation,relu_transition
2b7e151628aed2a6,1,L0-original-frozen,0,50,2,94,4,96,4,-0.020000,-0.020000,3.576278686523e-6,-1.072883605957e-6,-4.649162292480e-6,-4.863987366358e-6,2.148250738780e-7,-8.717179298401e-7,-1.020729541779e-6,-1.269951462746e-5,-1.490116119385e-6,-1.549720764160e-6,-3.082553545634e-5,-1.003344853719e-6,-1.132488250732e-6,-1.182158788045e-6,-8.940696716309e-7,-8.344650268555e-7,9,8,0,1,adjacent-layer-coarse,contracting
2b7e151628aed2a6,1,L0-original-frozen,0,50,3,94,4,84,18,0.000000,0.020000,-1.072883605957e-6,2.300739288330e-5,2.408027648926e-5,2.414236466090e-5,-6.208817164103e-8,2.007931470871e-6,2.231448888779e-6,6.818771362305e-5,2.016623814901e-6,2.066294352214e-6,1.506308714549e-4,3.092487653097e-5,1.400709152222e-6,3.467003504435e-6,1.301368077596e-6,1.331170399984e-6,8,8,2,2,adjacent-layer-coarse,turnover
2b7e151628aed2a6,1,L0-original-frozen,0,50,4,94,4,97,7,0.020000,-0.020000,2.300739288330e-5,3.051757812500e-5,7.510185241699e-6,7.422020037969e-6,8.816520373027e-8,1.136213541031e-6,8.910894393921e-6,1.221895217896e-5,7.847944895426e-7,7.053216298421e-7,1.825888951619e-5,1.409649848938e-5,7.351239522298e-7,8.145968119303e-7,2.313653628031e-5,8.443991343180e-7,8,7,0,1,adjacent-layer-coarse,contracting
2b7e151628aed2a6,1,L0-original-frozen,0,50,5,94,4,102,4,0.020000,-0.020000,3.051757812500e-5,2.241134643555e-5,-8.106231689453e-6,-8.267660935720e-6,1.614292462667e-7,-6.309151649475e-5,3.477931022644e-5,3.509223461151e-6,2.195437749227e-6,2.334515253703e-6,-5.015730857849e-5,-2.881884574890e-5,2.731879552205e-6,2.413988113403e-6,9.934107462565e-9,3.149112065633e-6,7,7,0,0,same-hidden-unit,stable-difference
2b7e151628aed2a6,1,L0-original-frozen,0,50,6,94,4,104,4,-0.020000,-0.020000,2.241134643555e-5,1.657009124756e-5,-5.841255187988e-6,-5.749985575676e-6,-9.126961231232e-8,1.018866896629e-6,7.599592208862e-7,-1.902878284454e-5,4.072984059652e-7,3.874301910400e-7,-5.090236663818e-5,6.059805552165e-7,9.238719940186e-7,7.251898447673e-7,7.599592208862e-7,1.092751820882e-6,7,7,0,0,adjacent-layer-coarse,stable-difference
2b7e151628aed2a6,1,L0-original-frozen,0,50,7,94,4,96,14,-0.020000,-0.020000,1.657009124756e-5,-9.536743164062e-7,-1.752376556396e-5,-1.771810154120e-5,1.943359772364e-7,-1.421198248863e-6,-8.299946784973e-6,-4.343315958977e-5,-1.579523086548e-6,-1.609325408936e-6,-2.333521842957e-5,-9.042024612427e-5,-1.609325408936e-6,-1.683831214905e-6,-5.225340525309e-6,-1.628200213114e-5,7,6,2,3,adjacent-layer-coarse,contracting
2b7e151628aed2a6,1,L0-original-frozen,0,50,8,94,4,112,0,0.020000,0.020000,-9.536743164062e-7,-2.264976501465e-6,-1.311302185059e-6,-1.029421885808e-6,-2.818802992503e-7,-8.456408977509e-7,-1.039355993271e-6,-1.203268766403e-6,-1.102685928345e-6,-1.182158788045e-6,-1.003344853719e-6,-8.940696716309e-7,-9.636084238688e-7,-1.008311907450e-6,-1.062949498494e-6,-1.018246014913e-6,6,6,0,0,adjacent-layer-coarse,stable-difference
2b7e151628aed2a6,1,L0-original-frozen,0,50,9,94,4,100,14,-0.020000,-0.020000,-2.264976501465e-6,-2.694129943848e-5,-2.467632293701e-5,-2.453910807769e-5,-1.372148593267e-7,-5.792826414108e-7,-1.359730958939e-5,-5.944073200226e-5,-8.145968119303e-7,-7.351239522298e-7,-7.351239522298e-7,-1.166760921478e-4,-6.059805552165e-6,-3.530085086823e-5,-8.245309193929e-7,-3.516674041748e-5,6,10,6,2,adjacent-layer-coarse,expanding
2b7e151628aed2a6,1,L0-original-frozen,0,50,10,94,4,112,4,0.020000,-0.020000,-2.694129943848e-5,-3.564357757568e-5,-8.702278137207e-6,-8.913377920787e-6,2.110997835795e-7,-4.135072231293e-7,-5.625188350677e-7,-2.576410770416e-5,-1.152356465658e-6,-1.112620035807e-6,-1.657009124756e-5,-3.874301910400e-7,-6.357828776042e-7,-3.134707609812e-5,-1.989305019379e-5,-2.086162567139e-7,10,12,2,0,adjacent-layer-coarse,expanding
2b7e151628aed2a6,1,L0-original-frozen,0,50,11,94,4,113,5,-0.020000,0.020000,-3.564357757568e-5,-3.099441528320e-5,4.649162292480e-6,4.778926571210e-6,-1.297642787298e-7,1.212581992149e-6,9.685754776001e-8,1.302734017372e-5,6.059805552165e-7,6.059805552165e-7,-2.450744311015e-5,6.755193074544e-7,5.265076955160e-7,3.899633884430e-5,2.039968967438e-5,9.288390477498e-7,12,11,0,1,adjacent-layer-coarse,contracting
