seed,stream,control_slot,action_relation,events,sum_j,mean_j,sum_abs_j,positive_j,negative_j
1111222233334444,L0-original-frozen,0,direct-overlap,124,-1.498669385910e-3,-1.208604343476e-5,2.629035711288e-2,1.239584386349e-2,-1.389451324940e-2
1111222233334444,L0-original-frozen,0,same-hidden-unit,957,1.108027994633e-3,1.157813996481e-6,4.737818986177e-2,2.424310892820e-2,-2.313508093357e-2
1111222233334444,L0-original-frozen,0,adjacent-layer-coarse,2549,-3.335125744343e-3,-1.308405548977e-6,5.941235274076e-2,2.803861349821e-2,-3.137373924255e-2
1111222233334444,L0-original-frozen,0,same-layer-unrelated,637,-1.070939004421e-3,-1.681222926878e-6,1.568385213614e-2,7.306456565857e-3,-8.377395570278e-3
1111222233334444,L0-original-frozen,0,structural-remote,143,-1.456215977669e-4,-1.018332851517e-6,1.362420618534e-3,6.083995103836e-4,-7.540211081505e-4
1111222233334444,L0-original-frozen,1,direct-overlap,111,1.559041440487e-3,1.404541838276e-5,2.781436592340e-2,1.468670368195e-2,-1.312766224146e-2
1111222233334444,L0-original-frozen,1,same-hidden-unit,854,2.101808786392e-3,2.461134410295e-6,4.030975699425e-2,2.120578289032e-2,-1.910397410393e-2
1111222233334444,L0-original-frozen,1,adjacent-layer-coarse,2216,-4.215240478516e-3,-1.902184331460e-6,5.659058690071e-2,2.618767321110e-2,-3.040291368961e-2
1111222233334444,L0-original-frozen,1,same-layer-unrelated,527,-2.654656767845e-3,-5.037299369725e-6,1.788793504238e-2,7.616639137268e-3,-1.027129590511e-2
1111222233334444,L0-original-frozen,1,structural-remote,135,-3.042444586754e-4,-2.253662656855e-6,1.986272633076e-3,8.410140872002e-4,-1.145258545876e-3
1111222233334444,L2-phase17-frozen,0,direct-overlap,127,2.822488546371e-3,2.222431926277e-5,2.553577721119e-2,1.417913287878e-2,-1.135664433241e-2
1111222233334444,L2-phase17-frozen,0,same-hidden-unit,966,-9.455680847168e-4,-9.788489489822e-7,4.762987792492e-2,2.334215492010e-2,-2.428772300482e-2
1111222233334444,L2-phase17-frozen,0,adjacent-layer-coarse,2512,-3.860004246235e-3,-1.536625894202e-6,5.984241515398e-2,2.799120545387e-2,-3.185120970011e-2
1111222233334444,L2-phase17-frozen,0,same-layer-unrelated,658,-2.263307571411e-3,-3.439677160199e-6,1.658521592617e-2,7.160954177380e-3,-9.424261748791e-3
1111222233334444,L2-phase17-frozen,0,structural-remote,147,-3.741160035133e-4,-2.545006826621e-6,1.119546592236e-3,3.727152943611e-4,-7.468312978745e-4
1111222233334444,L2-phase17-frozen,1,direct-overlap,112,4.798650741577e-3,4.284509590694e-5,2.666501700878e-2,1.573183387518e-2,-1.093318313360e-2
1111222233334444,L2-phase17-frozen,1,same-hidden-unit,863,-1.971900463104e-3,-2.284936805451e-6,4.055398702621e-2,1.929104328156e-2,-2.126294374466e-2
1111222233334444,L2-phase17-frozen,1,adjacent-layer-coarse,2193,-4.461303353310e-3,-2.034338054405e-6,5.564245581627e-2,2.559057623148e-2,-3.005187958479e-2
1111222233334444,L2-phase17-frozen,1,same-layer-unrelated,546,-1.555874943733e-3,-2.849587809035e-6,1.747073233128e-2,7.957428693771e-3,-9.513303637505e-3
1111222233334444,L2-phase17-frozen,1,structural-remote,129,-6.813853979111e-4,-5.282057348148e-6,1.332625746727e-3,3.256201744080e-4,-1.007005572319e-3
