comparison_id,seed,control_slot,snapshot_commit,pair_left,pair_right,g3_program_left,g3_program_right,g3_delta_left,g3_delta_right,control_program_left,control_program_right,control_delta_left,control_delta_right,g3_utility,control_utility,utility_match_gap,initial_loss_gap,delta_under_PG_h64,delta_under_PC_h64,source_interaction_h64,j_sum_PG_observed,j_sum_PC_observed,parameter_distance_initial,parameter_distance_PG_h64,parameter_distance_PC_h64,PG_generated_commits,PC_generated_commits,PG_replayed_commits,PC_replayed_commits,PG_complete,PC_complete,PG_invalid_source_step,PC_invalid_source_step,PG_invalid_replay_step,PC_invalid_replay_step,PG_telescoping_residual,PC_telescoping_residual
1,2b7e151628aed2a6,0,50,94,4,94,4,0.00500000,-0.02000000,94,4,0.00000000,-0.02000000,3.234148025513e-4,3.269910812378e-4,3.576278686523e-6,3.576278686523e-6,-1.280307769775e-4,-7.581710815430e-5,-5.221366882324e-5,-1.316070556641e-4,-7.939338684082e-5,4.999998956919e-3,4.999998956919e-3,4.999998956919e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
2,2b7e151628aed2a6,1,50,94,4,94,4,0.00500000,-0.02000000,94,4,0.01000000,-0.02000000,3.234148025513e-4,2.868175506592e-4,3.659725189209e-5,-3.659725189209e-5,1.138448715210e-4,1.312494277954e-4,-1.740455627441e-5,1.504421234131e-4,1.678466796875e-4,5.000000819564e-3,5.000000819564e-3,5.000000819564e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
3,2b7e151628aed2a6,0,300,88,18,88,18,-0.01000000,0.02000000,88,18,-0.02000000,0.01000000,-3.460049629211e-4,-3.371238708496e-4,8.881092071533e-6,8.881092071533e-6,1.019239425659e-5,1.544952392578e-4,-1.443028450012e-4,1.311302185059e-6,1.456141471863e-4,1.414214354008e-2,1.414214354008e-2,1.414212211967e-2,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
4,2b7e151628aed2a6,1,300,88,18,88,18,-0.01000000,0.02000000,88,18,0.02000000,-0.02000000,-3.460049629211e-4,-3.634691238403e-4,1.746416091919e-5,-1.746416091919e-5,-3.329515457153e-4,2.984881401062e-3,-3.317832946777e-3,-3.154873847961e-4,3.002345561981e-3,5.000000074506e-2,5.000000074506e-2,4.999997466803e-2,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
5,2b7e151628aed2a6,0,400,59,1,59,1,0.02000000,0.02000000,59,1,0.01000000,0.02000000,6.657242774963e-4,6.397366523743e-4,2.598762512207e-5,-2.598762512207e-5,-1.436471939087e-5,-9.357929229736e-6,-5.006790161133e-6,1.162290573120e-5,1.662969589233e-5,9.999990463257e-3,9.999990463257e-3,9.999990463257e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
6,2b7e151628aed2a6,1,400,59,1,59,1,0.02000000,0.02000000,59,1,0.00500000,0.02000000,6.657242774963e-4,6.266236305237e-4,3.910064697266e-5,-3.910064697266e-5,-2.181529998779e-5,-2.372264862061e-5,1.907348632812e-6,1.728534698486e-5,1.537799835205e-5,1.500000059605e-2,1.500000059605e-2,1.500000059605e-2,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
7,2b7e151628aed2a6,0,500,33,104,33,104,0.00000000,-0.02000000,33,104,-0.01000000,-0.02000000,4.628896713257e-4,4.628896713257e-4,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.000000536442e-2,1.000000536442e-2,1.000000536442e-2,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
8,2b7e151628aed2a6,1,500,33,104,33,104,0.00000000,-0.02000000,33,104,0.00500000,-0.02000000,4.628896713257e-4,4.628896713257e-4,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,4.999995231628e-3,4.999995231628e-3,4.999995231628e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
9,2b7e151628aed2a6,0,550,104,10,104,10,-0.02000000,0.02000000,104,10,-0.02000000,0.01000000,5.083084106445e-4,4.813671112061e-4,2.694129943848e-5,-2.694129943848e-5,1.215934753418e-5,1.394748687744e-5,-1.788139343262e-6,3.910064697266e-5,4.088878631592e-5,1.000002026558e-2,1.000002026558e-2,1.000002026558e-2,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
10,2b7e151628aed2a6,1,550,104,10,104,10,-0.02000000,0.02000000,104,10,-0.02000000,0.00500000,5.083084106445e-4,4.665255546570e-4,4.178285598755e-5,-4.178285598755e-5,1.621246337891e-5,2.437829971313e-5,-8.165836334229e-6,5.799531936646e-5,6.616115570068e-5,1.500001549721e-2,1.500001549721e-2,1.500001549721e-2,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
11,2b7e151628aed2a6,0,600,27,64,27,64,-0.02000000,0.02000000,27,64,-0.02000000,0.01000000,1.195371150970e-3,1.190006732941e-3,5.364418029785e-6,-5.364418029785e-6,1.907348632812e-6,1.907348632812e-6,0.000000000000e0,7.271766662598e-6,7.271766662598e-6,1.000000536442e-2,1.000000536442e-2,1.000000536442e-2,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
12,2b7e151628aed2a6,1,600,27,64,27,64,-0.02000000,0.02000000,27,64,-0.02000000,0.00500000,1.195371150970e-3,1.187384128571e-3,7.987022399902e-6,-7.987022399902e-6,2.682209014893e-6,3.039836883545e-6,-3.576278686523e-7,1.066923141479e-5,1.102685928345e-5,1.500000059605e-2,1.500000059605e-2,1.500000059605e-2,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
13,2b7e151628aed2a6,0,650,50,18,50,18,0.00000000,-0.02000000,50,18,0.01000000,-0.02000000,-7.998943328857e-5,-7.998943328857e-5,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.000000536442e-2,1.000000536442e-2,1.000000536442e-2,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
14,2b7e151628aed2a6,1,650,50,18,50,18,0.00000000,-0.02000000,50,18,-0.00500000,-0.02000000,-7.998943328857e-5,-7.998943328857e-5,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,4.999995231628e-3,4.999995231628e-3,4.999995231628e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
15,2b7e151628aed2a6,0,700,104,64,104,64,-0.02000000,0.02000000,104,64,-0.02000000,0.01000000,5.637407302856e-4,5.667805671692e-4,3.039836883545e-6,3.039836883545e-6,6.437301635742e-6,6.198883056641e-6,2.384185791016e-7,3.397464752197e-6,3.159046173096e-6,9.999997913837e-3,9.999997913837e-3,9.999997913837e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
16,2b7e151628aed2a6,1,700,104,64,104,64,-0.02000000,0.02000000,104,64,-0.02000000,0.00500000,5.637407302856e-4,5.682706832886e-4,4.529953002930e-6,4.529953002930e-6,9.477138519287e-6,9.477138519287e-6,0.000000000000e0,4.947185516357e-6,4.947185516357e-6,1.499999314547e-2,1.499999314547e-2,1.499999314547e-2,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
17,2b7e151628aed2a6,0,750,41,104,41,104,0.00000000,-0.02000000,41,104,-0.01000000,-0.02000000,4.783272743225e-4,4.783272743225e-4,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,9.999997913837e-3,9.999997913837e-3,9.999997913837e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
18,2b7e151628aed2a6,1,750,41,104,41,104,0.00000000,-0.02000000,41,104,-0.02000000,-0.02000000,4.783272743225e-4,4.783272743225e-4,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.999999582767e-2,1.999999582767e-2,1.999999582767e-2,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
19,2b7e151628aed2a6,0,900,87,112,87,112,0.00000000,0.02000000,87,112,0.00500000,0.02000000,9.612441062927e-4,9.612441062927e-4,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,4.999999888241e-3,4.999999888241e-3,4.999999888241e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
20,2b7e151628aed2a6,1,900,87,112,87,112,0.00000000,0.02000000,87,112,-0.00500000,0.02000000,9.612441062927e-4,9.612441062927e-4,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,5.000000819564e-3,5.000000819564e-3,5.000000819564e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
21,2b7e151628aed2a6,0,950,4,49,4,49,0.02000000,0.00000000,4,49,0.02000000,0.00500000,-2.028346061707e-4,-2.028346061707e-4,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,4.999995231628e-3,4.999995231628e-3,4.999995231628e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
22,2b7e151628aed2a6,1,950,4,49,4,49,0.02000000,0.00000000,4,49,0.02000000,-0.00500000,-2.028346061707e-4,-2.028346061707e-4,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,4.999995231628e-3,4.999995231628e-3,4.999995231628e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
23,2b7e151628aed2a6,0,1100,13,94,13,94,-0.02000000,-0.02000000,13,94,-0.02000000,0.01000000,4.462599754333e-4,4.720687866211e-4,2.580881118774e-5,2.580881118774e-5,-2.170205116272e-4,1.587867736816e-4,-3.758072853088e-4,-2.428293228149e-4,1.329779624939e-4,3.000000119209e-2,3.000000119209e-2,3.000000119209e-2,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
24,2b7e151628aed2a6,0,1150,79,5,79,5,-0.01000000,0.02000000,79,5,-0.00500000,0.02000000,-1.169145107269e-3,-1.213610172272e-3,4.446506500244e-5,-4.446506500244e-5,1.034140586853e-5,1.034140586853e-5,0.000000000000e0,5.480647087097e-5,5.480647087097e-5,4.999995231628e-3,4.999995231628e-3,4.999995231628e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
25,2b7e151628aed2a6,0,1200,4,57,4,57,0.02000000,0.00000000,4,57,0.02000000,0.01000000,-2.083182334900e-4,-2.083182334900e-4,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,9.999997913837e-3,9.999997913837e-3,9.999997913837e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
