comparison_id,seed,path_source,control_slot,snapshot_commit,pair_left,pair_right,future_step,horizon,program_left,program_right,delta_left,delta_right,gap_before,gap_after,j_exact,cumulative_j,parameter_distance,valid_event,invalid_parameter,source_invalid_step
1,2b7e151628aed2a6,P_G,0,50,94,4,0,1,-1,-1,0.00000000,0.00000000,3.576278686523e-6,3.576278686523e-6,0.000000000000e0,0.000000000000e0,4.999998956919e-3,1,-1,-1
1,2b7e151628aed2a6,P_G,0,50,94,4,1,2,96,4,-0.02000000,-0.02000000,3.576278686523e-6,-1.072883605957e-6,-4.649162292480e-6,-4.649162292480e-6,4.999998956919e-3,1,-1,-1
1,2b7e151628aed2a6,P_G,0,50,94,4,2,3,84,18,0.00000000,0.02000000,-1.072883605957e-6,2.300739288330e-5,2.408027648926e-5,1.943111419678e-5,4.999998956919e-3,1,-1,-1
1,2b7e151628aed2a6,P_G,0,50,94,4,3,4,97,7,0.02000000,-0.02000000,2.300739288330e-5,3.051757812500e-5,7.510185241699e-6,2.694129943848e-5,4.999998956919e-3,1,-1,-1
1,2b7e151628aed2a6,P_G,0,50,94,4,4,5,102,4,0.02000000,-0.02000000,3.051757812500e-5,2.241134643555e-5,-8.106231689453e-6,1.883506774902e-5,4.999998956919e-3,1,-1,-1
1,2b7e151628aed2a6,P_G,0,50,94,4,5,6,104,4,-0.02000000,-0.02000000,2.241134643555e-5,1.657009124756e-5,-5.841255187988e-6,1.299381256104e-5,4.999998956919e-3,1,-1,-1
1,2b7e151628aed2a6,P_G,0,50,94,4,6,7,96,14,-0.02000000,-0.02000000,1.657009124756e-5,-9.536743164062e-7,-1.752376556396e-5,-4.529953002930e-6,4.999998956919e-3,1,-1,-1
1,2b7e151628aed2a6,P_G,0,50,94,4,7,8,112,0,0.02000000,0.02000000,-9.536743164062e-7,-2.264976501465e-6,-1.311302185059e-6,-5.841255187988e-6,4.999998956919e-3,1,-1,-1
1,2b7e151628aed2a6,P_G,0,50,94,4,8,9,100,14,-0.02000000,-0.02000000,-2.264976501465e-6,-2.694129943848e-5,-2.467632293701e-5,-3.051757812500e-5,4.999998956919e-3,1,-1,-1
1,2b7e151628aed2a6,P_G,0,50,94,4,9,10,112,4,0.02000000,-0.02000000,-2.694129943848e-5,-3.564357757568e-5,-8.702278137207e-6,-3.921985626221e-5,4.999998956919e-3,1,-1,-1
1,2b7e151628aed2a6,P_G,0,50,94,4,10,11,113,5,-0.02000000,0.02000000,-3.564357757568e-5,-3.099441528320e-5,4.649162292480e-6,-3.457069396973e-5,4.999998956919e-3,1,-1,-1
1,2b7e151628aed2a6,P_G,0,50,94,4,11,12,102,18,0.02000000,0.02000000,-3.099441528320e-5,-1.895427703857e-5,1.204013824463e-5,-2.253055572510e-5,4.999998956919e-3,1,-1,-1
1,2b7e151628aed2a6,P_G,0,50,94,4,12,13,118,4,-0.02000000,-0.02000000,-1.895427703857e-5,-2.157688140869e-5,-2.622604370117e-6,-2.515316009521e-5,4.999998956919e-3,1,-1,-1
