seed,horizon,paired_comparisons,mean_delta_under_PG,mean_delta_under_PC,mean_source_interaction,mean_cumulative_J_PG,mean_cumulative_J_PC,mean_parameter_distance_PG,mean_parameter_distance_PC
all,1,389,-1.881290753887e-6,-1.881290753887e-6,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.519759340992e-2,1.519759340992e-2
all,2,386,4.080362579365e-5,9.318082134958e-5,-5.237719555593e-5,4.275883379069e-5,9.513602934662e-5,1.503911329472e-2,1.503911329472e-2
all,4,386,3.184497819663e-5,1.337407108570e-4,-1.018957326604e-4,3.380018619367e-5,1.356959188540e-4,1.503911326577e-2,1.503911326577e-2
all,8,386,-1.633012850668e-5,9.726562146387e-5,-1.135957499705e-4,-1.437492050964e-5,9.922082946091e-5,1.503911330437e-2,1.503911330437e-2
all,16,384,-5.906098522246e-5,7.776686106808e-5,-1.368278462905e-4,-5.727068249447e-5,7.955716379608e-5,1.504619020367e-2,1.504619032736e-2
all,32,381,-8.573666645160e-5,5.687467186783e-5,-1.426113383194e-4,-8.388107099871e-5,5.873026732072e-5,1.494619171098e-2,1.494619173054e-2
all,64,373,-7.802904171535e-5,7.541674431463e-5,-1.534457860300e-4,-7.612985276665e-5,7.731593326333e-5,1.476415204778e-2,1.476415216264e-2
2b7e151628aed2a6,1,121,-6.056583124744e-6,-6.056583124744e-6,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.345630272576e-2,1.345630272576e-2
2b7e151628aed2a6,2,119,4.530143963189e-5,1.103694261122e-4,-6.506798648033e-5,5.159091924419e-5,1.166589057245e-4,1.308825226235e-2,1.308825226235e-2
2b7e151628aed2a6,4,119,5.680037771954e-5,1.676075097893e-4,-1.108071320698e-4,6.308985733184e-5,1.738969894016e-4,1.308825226235e-2,1.308825226235e-2
2b7e151628aed2a6,8,119,4.366603719086e-6,1.408360397615e-4,-1.364694360424e-4,1.065608333139e-5,1.471255193738e-4,1.308825226235e-2,1.308825226235e-2
2b7e151628aed2a6,16,117,-2.458567420642e-5,1.160375710227e-4,-1.406232452291e-4,-1.876333203071e-5,1.218599131984e-4,1.307813133089e-2,1.307813133089e-2
2b7e151628aed2a6,32,117,-8.016614577709e-5,6.389980896925e-5,-1.440659547463e-4,-7.434380360139e-5,6.972215114496e-5,1.307813139457e-2,1.307813105229e-2
2b7e151628aed2a6,64,116,-6.623476229865e-5,9.209829671630e-5,-1.583330590149e-4,-6.003851263688e-5,9.829454637807e-5,1.314777062788e-2,1.314777028265e-2
77a19d3c4e280b51,1,137,2.275390999161e-6,2.275390999161e-6,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.661909345782e-2,1.661909345782e-2
77a19d3c4e280b51,2,136,5.537005798782e-5,1.039393520092e-4,-4.856929402141e-5,5.313151461237e-5,1.017008086338e-4,1.647617874722e-2,1.647617874722e-2
77a19d3c4e280b51,4,136,2.029935336288e-5,1.457527772907e-4,-1.254534239278e-4,1.806080998743e-5,1.435142339152e-4,1.647617869243e-2,1.647617869243e-2
77a19d3c4e280b51,8,136,-2.750354435514e-5,1.027093214147e-4,-1.302128657699e-4,-2.974208773059e-5,1.004707780393e-4,1.647617869243e-2,1.647617869243e-2
77a19d3c4e280b51,16,136,-9.426110259750e-5,8.132305982358e-5,-1.755841624211e-4,-9.649964597295e-5,7.908451644813e-5,1.647617869243e-2,1.647617869243e-2
77a19d3c4e280b51,32,134,-1.133172147310e-4,7.326053038462e-5,-1.865777451156e-4,-1.155437985018e-4,7.103394661377e-5,1.636998344268e-2,1.636998338708e-2
77a19d3c4e280b51,64,131,-9.521287474923e-5,1.185350120068e-4,-2.137478867560e-4,-9.802552579923e-5,1.157223609568e-4,1.617235005016e-2,1.617235058336e-2
1111222233334444,1,131,-2.371787114908e-6,-2.371787114908e-6,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.531935422077e-2,1.531935422077e-2
1111222233334444,2,131,2.159542254819e-5,6.639758366665e-5,-4.480216111846e-5,2.396720966310e-5,6.876937078156e-5,1.531935422077e-2,1.531935422077e-2
1111222233334444,4,131,2.116186700704e-5,9.050567186516e-5,-6.934380485811e-5,2.353365412195e-5,9.287745898007e-5,1.531935419233e-2,1.531935419233e-2
1111222233334444,8,131,-2.353109476221e-5,5.203491176358e-5,-7.556600652578e-5,-2.115930764730e-5,5.440669887848e-5,1.531935430608e-2,1.531935430608e-2
1111222233334444,16,131,-5.330827854972e-5,3.989421911822e-5,-9.320249766794e-5,-5.093649143481e-5,4.226600623313e-5,1.531935397194e-2,1.531935433452e-2
1111222233334444,32,130,-6.232095452455e-5,3.366200969769e-5,-9.598296422225e-5,-5.982764638387e-5,3.615531783838e-5,1.515984528770e-2,1.515984571037e-2
1111222233334444,64,126,-7.102153603993e-5,1.522981458240e-5,-8.625135062233e-5,-6.817955346335e-5,1.807179715898e-5,1.478817035252e-2,1.478817045600e-2
