spec,seed,commit,train_loss,validation_loss,train_accuracy,validation_accuracy
p16_v16_random,2b7e151628aed2a6,50,1.103006721,1.103297353,0.333333,0.333333
p16_v16_random,2b7e151628aed2a6,100,1.097590446,1.098698020,0.354167,0.312500
p16_v16_random,2b7e151628aed2a6,150,1.099909663,1.101358056,0.333333,0.333333
p16_v16_random,2b7e151628aed2a6,200,1.092485547,1.095198631,0.333333,0.333333
p16_v16_random,2b7e151628aed2a6,250,1.092541337,1.095456481,0.333333,0.333333
p16_v16_random,2b7e151628aed2a6,300,1.082835793,1.086606860,0.447917,0.416667
p16_v16_random,2b7e151628aed2a6,350,1.079438329,1.083144307,0.479167,0.479167
p16_v16_random,2b7e151628aed2a6,400,1.078914523,1.082650304,0.333333,0.354167
p16_v16_random,2b7e151628aed2a6,450,1.072577596,1.076819777,0.458333,0.437500
p16_v16_random,2b7e151628aed2a6,500,1.071359992,1.075901270,0.458333,0.437500
p16_v16_random,2b7e151628aed2a6,550,1.066271186,1.073104262,0.427083,0.416667
p16_v16_random,2b7e151628aed2a6,600,1.063739300,1.070192814,0.447917,0.416667
p16_v16_random,2b7e151628aed2a6,650,1.058924913,1.065942407,0.479167,0.479167
p16_v16_random,2b7e151628aed2a6,700,1.054834127,1.062358737,0.479167,0.479167
p16_v16_random,2b7e151628aed2a6,750,1.055883288,1.066671371,0.447917,0.416667
p16_v16_random,2b7e151628aed2a6,800,1.047476411,1.058841348,0.479167,0.479167
p16_v16_random,2b7e151628aed2a6,850,1.042878151,1.053375125,0.479167,0.479167
p16_v16_random,2b7e151628aed2a6,900,1.038289905,1.048485875,0.479167,0.458333
p16_v16_random,2b7e151628aed2a6,950,1.036609411,1.047756314,0.479167,0.437500
p16_v16_random,2b7e151628aed2a6,1000,1.034282088,1.044480324,0.479167,0.437500
p16_v16_random,2b7e151628aed2a6,1050,1.032802105,1.042080045,0.479167,0.500000
p16_v16_random,2b7e151628aed2a6,1100,1.030049682,1.039314628,0.468750,0.458333
p16_v16_random,2b7e151628aed2a6,1150,1.022794366,1.033907413,0.479167,0.437500
p16_v16_random,2b7e151628aed2a6,1200,1.015898228,1.031848073,0.489583,0.500000
p16_v16_random,2b7e151628aed2a6,1250,1.018664718,1.031533122,0.458333,0.458333
p16_v16_random,2b7e151628aed2a6,1300,1.009637356,1.021985292,0.500000,0.458333
p16_v16_random,2b7e151628aed2a6,1350,0.998676538,1.012376666,0.489583,0.500000
p16_v16_random,2b7e151628aed2a6,1400,0.995452166,1.004320145,0.500000,0.520833
p16_v16_random,2b7e151628aed2a6,1450,0.982230246,0.994781554,0.489583,0.479167
p16_v16_random,2b7e151628aed2a6,1500,0.979060411,0.993369758,0.479167,0.458333
p16_v16_random,2b7e151628aed2a6,1550,0.963197470,0.981268167,0.489583,0.520833
p16_v16_random,2b7e151628aed2a6,1600,0.952088654,0.972459853,0.531250,0.479167
p16_v16_random,2b7e151628aed2a6,1650,0.938499928,0.961640179,0.541667,0.562500
p16_v16_random,2b7e151628aed2a6,1700,0.920653999,0.940553188,0.531250,0.541667
p16_v16_random,2b7e151628aed2a6,1750,0.911635697,0.929744005,0.552083,0.604167
p16_v16_random,2b7e151628aed2a6,1800,0.898060083,0.918465853,0.510417,0.583333
p16_v16_random,2b7e151628aed2a6,1850,0.879676878,0.900432169,0.583333,0.562500
p16_v16_random,2b7e151628aed2a6,1900,0.859468639,0.884897470,0.593750,0.666667
p16_v16_random,2b7e151628aed2a6,1950,0.845806062,0.870846450,0.614583,0.583333
p16_v16_random,2b7e151628aed2a6,2000,0.843229532,0.867057383,0.562500,0.583333
p16_v16_random,2b7e151628aed2a6,2050,0.824695170,0.849686623,0.614583,0.687500
p16_v16_random,2b7e151628aed2a6,2100,0.807968616,0.831139028,0.645833,0.645833
p16_v16_random,2b7e151628aed2a6,2150,0.793814838,0.812270939,0.697917,0.770833
p16_v16_random,2b7e151628aed2a6,2200,0.778486073,0.798656225,0.625000,0.666667
p16_v16_random,2b7e151628aed2a6,2250,0.761017740,0.782120466,0.729167,0.687500
p16_v16_random,2b7e151628aed2a6,2300,0.748011053,0.789598703,0.677083,0.729167
p16_v16_random,2b7e151628aed2a6,2350,0.738008201,0.770654738,0.635417,0.687500
p16_v16_random,2b7e151628aed2a6,2400,0.721673071,0.752003610,0.697917,0.729167
p16_v16_random,2b7e151628aed2a6,2450,0.711187661,0.748508215,0.697917,0.729167
p16_v16_random,2b7e151628aed2a6,2500,0.696842611,0.728296101,0.750000,0.770833
p16_v16_random,2b7e151628aed2a6,2550,0.687472522,0.731130421,0.708333,0.687500
p16_v16_random,2b7e151628aed2a6,2600,0.679401636,0.722187221,0.697917,0.708333
p16_v16_random,2b7e151628aed2a6,2650,0.660176039,0.694224417,0.739583,0.770833
p16_v16_random,2b7e151628aed2a6,2700,0.648325145,0.688370526,0.729167,0.791667
p16_v16_random,2b7e151628aed2a6,2750,0.638448536,0.681534231,0.781250,0.791667
p16_v16_random,2b7e151628aed2a6,2800,0.631589055,0.670378923,0.760417,0.833333
p16_v16_random,2b7e151628aed2a6,2850,0.611253023,0.651957989,0.802083,0.812500
p16_v16_random,2b7e151628aed2a6,2900,0.604393601,0.631635010,0.802083,0.854167
p16_v16_random,2b7e151628aed2a6,2950,0.593736947,0.640726984,0.812500,0.812500
p16_v16_random,2b7e151628aed2a6,3000,0.594540417,0.610214889,0.802083,0.812500
p16_v16_random,2b7e151628aed2a6,3050,0.583196342,0.622449160,0.802083,0.812500
p16_v16_random,2b7e151628aed2a6,3100,0.572514474,0.592666447,0.822917,0.833333
p16_v16_random,2b7e151628aed2a6,3150,0.573867977,0.609479845,0.843750,0.770833
p16_v16_random,2b7e151628aed2a6,3200,0.568101048,0.583705485,0.854167,0.812500
p16_v16_random,2b7e151628aed2a6,3250,0.560256541,0.580527902,0.854167,0.833333
p16_v16_random,2b7e151628aed2a6,3300,0.554823339,0.592272162,0.843750,0.833333
p16_v16_random,2b7e151628aed2a6,3350,0.544208825,0.576896250,0.854167,0.854167
p16_v16_random,2b7e151628aed2a6,3400,0.545876682,0.584175408,0.843750,0.833333
p16_v16_random,2b7e151628aed2a6,3450,0.533922255,0.564146340,0.854167,0.833333
p16_v16_random,2b7e151628aed2a6,3500,0.537388146,0.575002074,0.854167,0.854167
p16_v16_random,2b7e151628aed2a6,3550,0.522064626,0.547656238,0.833333,0.854167
p16_v16_random,2b7e151628aed2a6,3600,0.528817296,0.551837802,0.843750,0.833333
