spec,proposal_size,verifier_size,verifier,seed,train_loss,validation_loss,train_accuracy,validation_accuracy,optimizer_steps,committed_programs,committed_primitives,proposal_evaluations,proposal_sample_evaluations,compound_evaluations,compound_sample_evaluations,schedule_pair_events,full_train_utility_sum,full_train_positive_commits,harmful_commits,mean_harmful_magnitude,p90_harmful_magnitude,p95_harmful_magnitude,p99_harmful_magnitude,max_harmful_magnitude,regret_audits,full_reference_candidate_evaluations,mean_sampled_reference_regret,cumulative_sampled_reference_regret,p90_sampled_reference_regret,p95_sampled_reference_regret,p99_sampled_reference_regret,max_sampled_reference_regret,pairs_seen,pairs_possible,elapsed_seconds
p16_v16_random,16,16,random,2b7e151628aed2a6,0.434733897,0.440790534,0.843750,0.875000,4800,4800,9574,4132800,66124800,1176000,18816000,292800,0.674029916525,2863,1937,0.000915414535,0.002252578735,0.003102123737,0.004693895578,0.007680594921,96,287616,0.001482449162,0.142315119505,0.002929806709,0.004141598940,0.007476925850,0.007476925850,7503,7503,7.174920
p16_v16_random,16,16,random,77a19d3c4e280b51,0.377204806,0.448801994,0.906250,0.937500,4800,4800,9562,4132800,66124800,1176000,18816000,292800,0.731559008360,2900,1900,0.000711060606,0.001660227776,0.002371996641,0.003949165344,0.006911337376,96,287616,0.001257026568,0.120674550533,0.002734780312,0.003652453423,0.007910907269,0.007910907269,7503,7503,7.380078
p16_v16_random,16,16,random,1111222233334444,0.445644140,0.498625726,0.822917,0.875000,4800,4800,9572,4132800,66124800,1176000,18816000,292800,0.663119673729,2954,1846,0.000581434511,0.001299858093,0.001713991165,0.002883195877,0.004811167717,96,287616,0.001084835269,0.104144185781,0.002351820469,0.002517759800,0.004429101944,0.004429101944,7503,7503,7.390857
p16_v16_class_weighted,16,16,class_weighted,2b7e151628aed2a6,0.356609374,0.426375866,0.864583,0.875000,4800,4800,9580,4132800,66124800,1176000,18816000,292800,0.752154439688,3033,1767,0.000895086914,0.002112120390,0.002818375826,0.004505157471,0.009743243456,96,287616,0.001605075474,0.154087245464,0.004050076008,0.005028665066,0.006788462400,0.006788462400,7503,7503,7.176062
p16_v16_class_weighted,16,16,class_weighted,77a19d3c4e280b51,0.390831947,0.514607489,0.895833,0.791667,4800,4800,9568,4132800,66124800,1176000,18816000,292800,0.717931866646,2988,1812,0.000808918022,0.001915633678,0.002547919750,0.003894001245,0.007114052773,96,287616,0.001528793946,0.146764218807,0.003632217646,0.004740893841,0.008297443390,0.008297443390,7503,7503,7.356344
p16_v16_class_weighted,16,16,class_weighted,1111222233334444,0.471993953,0.516653776,0.833333,0.833333,4800,4800,9578,4132800,66124800,1176000,18816000,292800,0.636769860983,2917,1883,0.001046526309,0.002523422241,0.003344178200,0.005733489990,0.009619116783,96,287616,0.001778264840,0.170713424683,0.004452824593,0.005217552185,0.011311411858,0.011311411858,7503,7503,7.307259
p16_v16_cell_weighted,16,16,cell_population_weighted,2b7e151628aed2a6,0.381884694,0.441642553,0.864583,0.854167,4800,4800,9570,4132800,66124800,1176000,18816000,292800,0.726879119873,2969,1830,0.000906718836,0.002146929502,0.002701818943,0.003899633884,0.005517870188,96,287616,0.001412867258,0.135635256767,0.003003060818,0.003785908222,0.005821138620,0.005821138620,7503,7503,7.120615
p16_v16_cell_weighted,16,16,cell_population_weighted,77a19d3c4e280b51,0.301420301,0.455103010,0.927083,0.833333,4800,4800,9576,4132800,66124800,1176000,18816000,292800,0.807343512774,3064,1736,0.000709226261,0.001648724079,0.002126991749,0.003056198359,0.005299448967,96,287616,0.001310544088,0.125812232494,0.002791047096,0.003797858953,0.004200875759,0.004200875759,7503,7503,7.281944
p16_v16_cell_weighted,16,16,cell_population_weighted,1111222233334444,0.331603050,0.442302585,0.895833,0.854167,4800,4799,9562,4132800,66124800,1176000,18816000,292800,0.777160763741,3036,1763,0.000964622486,0.002391755581,0.003098398447,0.004549473524,0.008281916380,96,287616,0.001671820879,0.160494804382,0.003762364388,0.005538582802,0.007001996040,0.007001996040,7503,7503,7.182508
p16_v16_margin_weighted,16,16,class_bayes_margin_weighted,2b7e151628aed2a6,0.419581652,0.422954082,0.822917,0.812500,4800,4800,9566,4132800,66124800,1176000,18816000,292800,0.689182162285,2981,1818,0.000851698097,0.002070397139,0.002699732780,0.004522383213,0.010361820459,96,287616,0.001402904590,0.134678840637,0.003287523985,0.003908634186,0.006640911102,0.006640911102,7503,7503,7.317442
p16_v16_margin_weighted,16,16,class_bayes_margin_weighted,77a19d3c4e280b51,0.391324431,0.474886745,0.875000,0.875000,4800,4800,9576,4132800,66124800,1176000,18816000,292800,0.717439383268,2984,1816,0.001025044314,0.002436459064,0.003046900034,0.004516631365,0.009387671947,96,287616,0.001346309359,0.129245698452,0.003031849861,0.003851234913,0.009531915188,0.009531915188,7503,7503,7.254356
