train_index,class,latent_cell,bayes_margin,margin_stratum,class_conditional_bin
0,0,0,3.741127014,1,1
1,0,0,1.869396329,1,1
2,0,0,4.573406219,1,1
3,0,0,5.583111763,2,2
4,0,0,4.953652382,2,2
5,0,0,2.924592018,1,1
6,0,0,4.435523510,1,1
7,0,0,6.920697689,2,2
8,1,1,5.690885544,5,1
9,1,1,3.296484232,5,1
10,1,1,2.087964773,4,0
11,1,1,3.476050377,5,1
12,1,1,1.096349955,4,0
13,1,1,11.032809258,7,3
14,1,1,3.211980104,5,1
15,1,1,0.230103374,4,0
16,2,2,6.969766617,9,1
17,2,2,15.756739616,10,2
18,2,2,2.167353392,8,0
19,2,2,17.359014511,11,3
20,2,2,11.672829628,10,2
21,2,2,5.069565773,9,1
22,2,2,21.852720261,11,3
23,2,2,-0.493008614,8,0
24,1,3,7.360560417,6,2
25,1,3,10.930418015,7,3
26,1,3,9.425912857,6,2
27,1,3,4.474858284,5,1
28,1,3,0.577617168,4,0
29,1,3,14.183680534,7,3
30,1,3,15.203985214,7,3
31,1,3,5.743148327,5,1
32,2,4,8.112094879,10,2
33,2,4,10.792868614,10,2
34,2,4,6.368052006,9,1
35,2,4,7.610304356,10,2
36,2,4,7.074673653,9,1
37,2,4,8.006305695,10,2
38,2,4,-1.184677720,8,0
39,2,4,16.341299057,11,3
40,0,5,8.976494789,3,3
41,0,5,8.777400017,3,3
42,0,5,7.126167297,2,2
43,0,5,0.193471432,0,0
44,0,5,3.400880814,1,1
45,0,5,1.777930617,0,0
46,0,5,0.812468290,0,0
47,0,5,-0.979556799,0,0
48,2,6,3.635922909,8,0
49,2,6,3.658472776,8,0
50,2,6,7.220231056,9,1
51,2,6,2.342769146,8,0
52,2,6,4.645538807,9,1
53,2,6,-1.071250439,8,0
54,2,6,4.566776276,9,1
55,2,6,3.815380335,9,1
56,0,7,4.999743938,2,2
57,0,7,4.327328205,1,1
58,0,7,1.529325008,0,0
59,0,7,0.412202716,0,0
60,0,7,4.642859936,2,2
61,0,7,3.246474981,1,1
62,0,7,4.627910614,2,2
63,0,7,0.451796293,0,0
64,1,8,12.071853638,7,3
65,1,8,10.751737595,6,2
66,1,8,-0.784914374,4,0
67,1,8,5.715295792,5,1
68,1,8,9.943169594,6,2
69,1,8,0.073128700,4,0
70,1,8,7.064135075,6,2
71,1,8,3.063970804,5,1
72,0,9,10.288653374,3,3
73,0,9,6.915925503,2,2
74,0,9,16.148540497,3,3
75,0,9,13.600456238,3,3
76,0,9,14.459397316,3,3
77,0,9,15.457785606,3,3
78,0,9,11.161204338,3,3
79,0,9,0.361116886,0,0
80,1,10,8.242101669,6,2
81,1,10,11.912416458,7,3
82,1,10,13.864879608,7,3
83,1,10,8.084616661,6,2
84,1,10,9.283353806,6,2
85,1,10,11.818476677,7,3
86,1,10,-0.656704783,4,0
87,1,10,2.350165367,4,0
88,2,11,21.451927185,11,3
89,2,11,25.201614380,11,3
90,2,11,20.664762497,11,3
91,2,11,18.808967590,11,3
92,2,11,3.797834158,8,0
93,2,11,12.196092606,10,2
94,2,11,18.826944351,11,3
95,2,11,11.661145210,10,2
