seed,snapshot_step,method,candidates,panels,predicted_variance,predicted_rmse,observed_panel_rmse,variance_component
2b7e151628aed2a6,600,iid_with_replacement,245,64,1.730696944274e-7,4.160164593227e-4,3.915141224696e-4,8.307345332515e-6
2b7e151628aed2a6,600,iid_without_replacement,245,64,8.744574034227e-8,2.957122593709e-4,3.117500959809e-4,8.394791072857e-6
2b7e151628aed2a6,600,cell_stratified_wor,245,64,3.508611683224e-9,5.923353512348e-5,5.908645307141e-5,3.368267215895e-7
2b7e151628aed2a6,600,margin_stratified_wor,245,64,1.715501138830e-8,1.309771407090e-4,1.282840479358e-4,1.646881093277e-6
2b7e151628aed2a6,600,hash_placebo_00,245,64,9.197649738714e-8,3.032762723774e-4,2.837145936459e-4,8.829743749165e-6
2b7e151628aed2a6,600,hash_placebo_01,245,64,9.252187322654e-8,3.041740837523e-4,3.269967027701e-4,8.882099829748e-6
2b7e151628aed2a6,600,hash_placebo_02,245,64,9.237662659863e-8,3.039352342171e-4,2.992294070222e-4,8.868156153468e-6
2b7e151628aed2a6,600,hash_placebo_03,245,64,9.184017352540e-8,3.030514370951e-4,3.201787805153e-4,8.816656658439e-6
2b7e151628aed2a6,600,hash_placebo_04,245,64,9.277855838100e-8,3.045957294202e-4,3.359366293804e-4,8.906741604576e-6
2b7e151628aed2a6,600,hash_placebo_05,245,64,9.204451079762e-8,3.033883827664e-4,2.948714412269e-4,8.836273036572e-6
2b7e151628aed2a6,600,hash_placebo_06,245,64,9.210197841643e-8,3.034830776443e-4,2.949400769270e-4,8.841789927977e-6
2b7e151628aed2a6,600,hash_placebo_07,245,64,9.245556402029e-8,3.040650654388e-4,3.376074883322e-4,8.875734145948e-6
2b7e151628aed2a6,2400,iid_with_replacement,245,64,9.370149873547e-7,9.679953446968e-4,1.014240619264e-3,4.497671939303e-5
2b7e151628aed2a6,2400,iid_without_replacement,245,64,4.734391515055e-7,6.880691473286e-4,6.847663835567e-4,4.545015854453e-5
2b7e151628aed2a6,2400,cell_stratified_wor,245,64,2.658055187334e-7,5.155633023533e-4,5.056650047993e-4,2.551732979841e-5
2b7e151628aed2a6,2400,margin_stratified_wor,245,64,3.335417881228e-7,5.775307681179e-4,6.076335608472e-4,3.202001165979e-5
2b7e151628aed2a6,2400,hash_placebo_00,245,64,4.826868597584e-7,6.947566910498e-4,6.961059128568e-4,4.633793853681e-5
2b7e151628aed2a6,2400,hash_placebo_01,245,64,4.952285003418e-7,7.037247333594e-4,6.967008234274e-4,4.754193603281e-5
2b7e151628aed2a6,2400,hash_placebo_02,245,64,4.985387327121e-7,7.060727531297e-4,6.699624948390e-4,4.785971834036e-5
