method,states,candidates,panels,predicted_rmse,observed_panel_rmse,mean_component_variance
iid_with_replacement,9,2195,576,9.841821541454e-4,9.996154031391e-4,4.649349660183e-5
iid_without_replacement,9,2195,576,6.995750334222e-4,6.821677771185e-4,4.698290182922e-5
cell_stratified_wor,9,2195,576,5.312014407285e-4,5.370576705804e-4,2.708879718067e-5
margin_stratified_wor,9,2195,576,5.953201554662e-4,6.080276580751e-4,3.402298440041e-5
hash_placebo_00,9,2195,576,7.072673826490e-4,7.067674573767e-4,4.802180645368e-5
hash_placebo_01,9,2195,576,7.103360185918e-4,7.153586291062e-4,4.843941689365e-5
hash_placebo_02,9,2195,576,7.134879852099e-4,7.177951205256e-4,4.887025008373e-5
hash_placebo_03,9,2195,576,7.052790040773e-4,7.125511018505e-4,4.775217346486e-5
hash_placebo_04,9,2195,576,7.100526682752e-4,7.002171148772e-4,4.840078000558e-5
hash_placebo_05,9,2195,576,7.151423321089e-4,7.080630346949e-4,4.909714129672e-5
hash_placebo_06,9,2195,576,7.011921669737e-4,7.017253850399e-4,4.720036368242e-5
hash_placebo_07,9,2195,576,7.091839350988e-4,6.990328466221e-4,4.828241796502e-5
