seed,snapshot_step,control_slot,horizon,pg_valid,pc_valid,delta_pg,delta_pc,source_interaction,cumulative_j_pg,cumulative_j_pc,distance_pg,distance_pc,pg_invalid_step,pc_invalid_step
9f4a7c15d6e8b301,2400,0,1,true,true,1.966953277588e-5,1.966953277588e-5,0.000000000000e0,0.000000000000e0,0.000000000000e0,4.999995231628e-3,4.999995231628e-3,0,0
9f4a7c15d6e8b301,2400,0,2,true,true,3.162026405334e-5,3.162026405334e-5,0.000000000000e0,1.195073127747e-5,1.195073127747e-5,4.999995231628e-3,4.999995231628e-3,0,0
9f4a7c15d6e8b301,2400,0,4,true,true,3.671646118164e-5,3.671646118164e-5,0.000000000000e0,1.704692840576e-5,1.704692840576e-5,4.999995231628e-3,4.999995231628e-3,0,0
9f4a7c15d6e8b301,2400,0,8,true,true,7.724761962891e-5,7.724761962891e-5,0.000000000000e0,5.757808685303e-5,5.757808685303e-5,4.999995231628e-3,4.999995231628e-3,0,0
9f4a7c15d6e8b301,2400,0,16,true,true,1.698136329651e-4,1.698136329651e-4,0.000000000000e0,1.501441001892e-4,1.501441001892e-4,4.999995231628e-3,4.999995231628e-3,0,0
9f4a7c15d6e8b301,2400,0,32,true,true,1.617670059204e-4,1.617670059204e-4,0.000000000000e0,1.420974731445e-4,1.420974731445e-4,4.999995231628e-3,4.999995231628e-3,0,0
9f4a7c15d6e8b301,2400,0,64,true,true,1.361668109894e-4,1.336932182312e-4,2.473592758179e-6,1.164972782135e-4,1.140236854553e-4,4.999995231628e-3,4.999995231628e-3,0,0
9f4a7c15d6e8b301,2400,1,1,true,true,-2.214312553406e-5,-2.214312553406e-5,0.000000000000e0,0.000000000000e0,0.000000000000e0,4.999995231628e-3,4.999995231628e-3,0,0
9f4a7c15d6e8b301,2400,1,2,true,true,-3.412365913391e-5,-3.412365913391e-5,0.000000000000e0,-1.198053359985e-5,-1.198053359985e-5,4.999995231628e-3,4.999995231628e-3,0,0
9f4a7c15d6e8b301,2400,1,4,true,true,-3.924965858459e-5,-3.924965858459e-5,0.000000000000e0,-1.710653305054e-5,-1.710653305054e-5,4.999995231628e-3,4.999995231628e-3,0,0
9f4a7c15d6e8b301,2400,1,8,true,true,-7.954239845276e-5,-7.954239845276e-5,0.000000000000e0,-5.739927291870e-5,-5.739927291870e-5,4.999995231628e-3,4.999995231628e-3,0,0
9f4a7c15d6e8b301,2400,1,16,true,true,-1.720190048218e-4,-1.720190048218e-4,0.000000000000e0,-1.498758792877e-4,-1.498758792877e-4,4.999995231628e-3,4.999995231628e-3,0,0
9f4a7c15d6e8b301,2400,1,32,true,true,-1.641809940338e-4,-1.679062843323e-4,3.725290298462e-6,-1.420378684998e-4,-1.457631587982e-4,4.999995231628e-3,4.999995231628e-3,0,0
9f4a7c15d6e8b301,2400,1,64,true,true,-1.383721828461e-4,-1.186132431030e-4,-1.975893974304e-5,-1.162290573120e-4,-9.647011756897e-5,4.999995231628e-3,4.999995231628e-3,0,0
9f4a7c15d6e8b301,4200,0,1,true,true,2.384185791016e-7,2.384185791016e-7,0.000000000000e0,0.000000000000e0,0.000000000000e0,2.061552740633e-2,2.061552740633e-2,0,0
