seed,snapshot_step,control_slot,path_source,future_step,horizon,event,left_parameter,right_parameter,program_len,left_delta,right_delta,gap_before,gap_after,cumulative_mixed,replayed,invalid_step
9f4a7c15d6e8b301,2400,0,selected,0,1,initial,-1,-1,0,0,0,1.966953277588e-5,1.966953277588e-5,0,true,0
9f4a7c15d6e8b301,2400,0,selected,1,2,program,105,21,2,0.020000000,-0.020000000,1.966953277588e-5,3.162026405334e-5,1.195073127747e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,2,3,program,116,12,2,-0.010000000,0.020000000,3.162026405334e-5,3.412365913391e-5,1.445412635803e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,3,4,program,118,12,2,-0.020000000,0.020000000,3.412365913391e-5,3.671646118164e-5,1.704692840576e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,4,5,program,109,23,2,-0.020000000,0.020000000,3.671646118164e-5,5.653500556946e-5,3.686547279358e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,5,6,program,111,23,2,-0.020000000,0.020000000,5.653500556946e-5,7.620453834534e-5,5.653500556946e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,6,7,program,102,34,2,0.020000000,-0.010000000,7.620453834534e-5,7.629394531250e-5,5.662441253662e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,7,8,program,74,64,2,0.020000000,0.010000000,7.629394531250e-5,7.724761962891e-5,5.757808685303e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,8,9,program,3,14,2,0.020000000,0.020000000,7.724761962891e-5,8.958578109741e-5,6.991624832153e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,9,10,program,4,15,2,0.020000000,-0.020000000,8.958578109741e-5,8.168816566467e-5,6.201863288879e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,10,11,program,6,15,2,0.020000000,-0.020000000,8.168816566467e-5,7.945299148560e-5,5.978345870972e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,11,12,program,8,15,2,-0.020000000,-0.020000000,7.945299148560e-5,8.246302604675e-5,6.279349327087e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,12,13,program,2,23,2,-0.020000000,0.020000000,8.246302604675e-5,1.033544540405e-4,8.368492126465e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,13,14,program,13,14,2,-0.020000000,0.020000000,1.033544540405e-4,1.255869865417e-4,1.059174537659e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,14,15,program,9,20,2,0.020000000,-0.010000000,1.255869865417e-4,1.397132873535e-4,1.200437545776e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,15,16,program,9,22,2,0.020000000,0.020000000,1.397132873535e-4,1.698136329651e-4,1.501441001892e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,16,17,program,0,33,2,0.020000000,-0.020000000,1.698136329651e-4,1.622736454010e-4,1.426041126251e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,17,18,program,11,24,2,0.020000000,0.020000000,1.622736454010e-4,1.491010189056e-4,1.294314861298e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,18,19,program,105,55,2,0.020000000,0.000000000,1.491010189056e-4,1.524686813354e-4,1.327991485596e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,19,20,program,10,29,2,0.020000000,0.020000000,1.524686813354e-4,1.412630081177e-4,1.215934753418e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,20,21,program,19,22,2,-0.010000000,0.020000000,1.412630081177e-4,1.668632030487e-4,1.471936702728e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,21,22,program,21,22,2,0.020000000,0.020000000,1.668632030487e-4,1.845061779022e-4,1.648366451263e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,22,23,program,22,23,2,0.020000000,-0.010000000,1.845061779022e-4,1.994967460632e-4,1.798272132874e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,23,24,program,19,28,2,-0.010000000,-0.020000000,1.994967460632e-4,2.082586288452e-4,1.885890960693e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,24,25,program,23,26,2,-0.010000000,-0.020000000,2.082586288452e-4,1.983642578125e-4,1.786947250366e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,25,26,program,15,36,2,0.020000000,-0.020000000,1.983642578125e-4,1.969337463379e-4,1.772642135620e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,26,27,program,20,33,2,0.020000000,-0.020000000,1.969337463379e-4,1.801550388336e-4,1.604855060577e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,27,28,program,20,35,2,0.020000000,-0.020000000,1.801550388336e-4,1.618266105652e-4,1.421570777893e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,28,29,program,15,42,2,0.020000000,-0.010000000,1.618266105652e-4,1.655220985413e-4,1.458525657654e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,29,30,program,15,44,2,0.020000000,-0.010000000,1.655220985413e-4,1.680254936218e-4,1.483559608459e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,30,31,program,15,46,2,0.020000000,-0.020000000,1.680254936218e-4,1.717507839203e-4,1.520812511444e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,31,32,program,112,74,2,0.020000000,-0.010000000,1.717507839203e-4,1.617670059204e-4,1.420974731445e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,32,33,program,26,39,2,-0.020000000,0.020000000,1.617670059204e-4,1.692771911621e-4,1.496076583862e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,33,34,program,116,74,2,0.020000000,0.020000000,1.692771911621e-4,1.580119132996e-4,1.383423805237e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,34,35,program,4,65,2,-0.020000000,-0.020000000,1.580119132996e-4,1.626610755920e-4,1.429915428162e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,35,36,program,4,67,2,-0.020000000,-0.020000000,1.626610755920e-4,1.673698425293e-4,1.477003097534e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,36,37,program,108,88,2,-0.020000000,0.020000000,1.673698425293e-4,1.376271247864e-4,1.179575920105e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,37,38,program,110,88,2,-0.020000000,0.020000000,1.376271247864e-4,1.133382320404e-4,9.366869926453e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,38,39,program,112,88,2,0.020000000,0.020000000,1.133382320404e-4,8.344650268555e-5,6.377696990967e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,39,40,program,15,64,2,0.010000000,-0.010000000,8.344650268555e-5,8.586049079895e-5,6.619095802307e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,40,41,program,14,67,2,0.020000000,-0.020000000,8.586049079895e-5,9.939074516296e-5,7.972121238708e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,41,42,program,14,69,2,0.020000000,0.010000000,9.939074516296e-5,1.129508018494e-4,9.328126907349e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,42,43,program,22,63,2,-0.020000000,-0.010000000,1.129508018494e-4,8.890032768250e-5,6.923079490662e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,43,44,program,14,73,2,0.020000000,-0.010000000,8.890032768250e-5,1.016855239868e-4,8.201599121094e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,44,45,program,23,66,2,0.020000000,0.005000000,1.016855239868e-4,1.228749752045e-4,1.032054424286e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,45,46,program,23,68,2,0.020000000,-0.020000000,1.228749752045e-4,1.432597637177e-4,1.235902309418e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,46,47,program,37,56,2,-0.020000000,0.020000000,1.432597637177e-4,1.391172409058e-4,1.194477081299e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,47,48,program,23,72,2,0.010000000,-0.020000000,1.391172409058e-4,1.452267169952e-4,1.255571842194e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,48,49,program,23,74,2,-0.020000000,0.020000000,1.452267169952e-4,1.257061958313e-4,1.060366630554e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,49,50,program,23,76,2,-0.020000000,-0.020000000,1.257061958313e-4,9.953975677490e-5,7.987022399902e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,50,51,program,23,78,2,-0.020000000,-0.010000000,9.953975677490e-5,7.697939872742e-5,5.730986595154e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,51,52,program,23,80,2,-0.020000000,-0.020000000,7.697939872742e-5,5.546212196350e-5,3.579258918762e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,52,53,program,28,77,2,-0.020000000,0.010000000,5.546212196350e-5,6.693601608276e-5,4.726648330688e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,53,54,program,28,79,2,-0.020000000,0.020000000,6.693601608276e-5,8.791685104370e-5,6.824731826782e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,54,55,program,18,91,2,-0.020000000,0.000000000,8.791685104370e-5,8.121132850647e-5,6.154179573059e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,55,56,program,28,83,2,-0.020000000,0.020000000,8.121132850647e-5,9.059906005859e-5,7.092952728271e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,56,57,program,21,92,2,-0.020000000,-0.020000000,9.059906005859e-5,1.024901866913e-4,8.282065391541e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,57,58,program,16,99,2,-0.020000000,0.000000000,1.024901866913e-4,1.148283481598e-4,9.515881538391e-5,true,0
9f4a7c15d6e8b301,2400,0,selected,58,59,program,16,101,2,-0.020000000,-0.010000000,1.148283481598e-4,1.260638237000e-4,1.063942909241e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,59,60,program,40,79,2,-0.020000000,0.020000000,1.260638237000e-4,1.344978809357e-4,1.148283481598e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,60,61,program,12,109,2,0.020000000,-0.020000000,1.344978809357e-4,1.294314861298e-4,1.097619533539e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,61,62,program,5,118,2,0.020000000,-0.010000000,1.294314861298e-4,1.357793807983e-4,1.161098480225e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,62,63,program,5,120,2,0.020000000,0.020000000,1.357793807983e-4,1.400113105774e-4,1.203417778015e-4,true,0
9f4a7c15d6e8b301,2400,0,selected,63,64,program,12,115,2,0.020000000,0.000000000,1.400113105774e-4,1.361668109894e-4,1.164972782135e-4,true,0
9f4a7c15d6e8b301,2400,0,matched_control,0,1,initial,-1,-1,0,0,0,1.966953277588e-5,1.966953277588e-5,0,true,0
9f4a7c15d6e8b301,2400,0,matched_control,1,2,program,105,21,2,0.020000000,-0.020000000,1.966953277588e-5,3.162026405334e-5,1.195073127747e-5,true,0
9f4a7c15d6e8b301,2400,0,matched_control,2,3,program,116,12,2,-0.010000000,0.020000000,3.162026405334e-5,3.412365913391e-5,1.445412635803e-5,true,0
9f4a7c15d6e8b301,2400,0,matched_control,3,4,program,118,12,2,-0.020000000,0.020000000,3.412365913391e-5,3.671646118164e-5,1.704692840576e-5,true,0
