seed,n_matched,n_complete,n_censored,n_divergent,p_div,mean_active_source_interaction,mean_overall_source_interaction,mean_differing_future_programs_all,mean_differing_future_programs_active,mean_first_difference_commit_active,mean_cumulative_action_vector_l1_all,mean_cumulative_action_vector_l1_active,mean_net_displacement_l1_all,mean_net_displacement_l1_active
9f4a7c15d6e8b301,4,4,0,4,1.000000000,-2.257376909256e-4,-2.257376909256e-4,17.750000,17.750000,17.000000,1.043750000000e0,1.043750000000e0,5.937500000000e-1,5.937500000000e-1
c3a5c85c97cb3127,4,4,0,1,0.250000000,-5.185604095459e-6,-1.296401023865e-6,4.750000,19.000000,26.000000,3.050000000000e-1,1.220000000000e0,1.350000000000e-1,5.400000000000e-1
b492b66fbe98f273,4,4,0,2,0.500000000,-6.362795829773e-6,-3.181397914887e-6,0.750000,1.500000,40.500000,5.000000000000e-3,1.000000000000e-2,5.000000000000e-3,1.000000000000e-2
6a09e667f3bcc909,5,4,1,3,0.750000000,-2.052783966065e-4,-1.539587974548e-4,9.250000,12.333333,29.000000,5.500000000000e-1,7.333333333333e-1,2.950000000000e-1,3.933333333333e-1
bb67ae8584caa73b,4,4,0,4,1.000000000,-1.195073127746e-5,-1.195073127746e-5,14.250000,14.250000,11.500000,9.062500000000e-1,9.062500000000e-1,5.537500000000e-1,5.537500000000e-1
3c6ef372fe94f82b,4,4,0,2,0.500000000,-1.004338264465e-5,-5.021691322327e-6,5.500000,11.000000,5.000000,2.500000000000e-1,5.000000000000e-1,2.100000000000e-1,4.200000000000e-1
a54ff53a5f1d36f1,2,2,0,0,0.000000000,NaN,0.000000000000e0,0.000000,NaN,NaN,0.000000000000e0,NaN,0.000000000000e0,NaN
510e527fade682d1,3,3,0,3,1.000000000,-2.347628275553e-4,-2.347628275553e-4,7.333333,7.333333,11.333333,4.533333333333e-1,4.533333333333e-1,3.200000000000e-1,3.200000000000e-1
1f83d9abfb41bd6b,4,4,0,4,1.000000000,-6.608963012695e-4,-6.608963012695e-4,18.500000,18.500000,7.000000,1.181250000000e0,1.181250000000e0,6.862500000000e-1,6.862500000000e-1
ALL,34,33,1,23,0.696969697,-2.153243707574e-4,-1.500745614370e-4,9.242424,13.260870,16.521739,5.553030303030e-1,7.967391304348e-1,3.295454545455e-1,4.728260869565e-1
