seed,snapshot_step,control_slot,horizon,pg_valid,pc_valid,delta_pg,delta_pc,source_interaction,cumulative_j_pg,cumulative_j_pc,distance_pg,distance_pc,pg_invalid_step,pc_invalid_step
2b7e151628aed2a6,600,0,1,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.999999582767e-2,1.999999582767e-2,0,0
2b7e151628aed2a6,600,0,2,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.999999582767e-2,1.999999582767e-2,0,0
2b7e151628aed2a6,600,0,4,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.999999582767e-2,1.999999582767e-2,0,0
2b7e151628aed2a6,600,0,8,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.999999582767e-2,1.999999582767e-2,0,0
2b7e151628aed2a6,600,0,16,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.999999582767e-2,1.999999582767e-2,0,0
2b7e151628aed2a6,600,0,32,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.999999582767e-2,1.999999582767e-2,0,0
2b7e151628aed2a6,600,0,64,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.999999582767e-2,1.999999582767e-2,0,0
2b7e151628aed2a6,600,1,1,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.999999582767e-2,1.999999582767e-2,0,0
2b7e151628aed2a6,600,1,2,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.999999582767e-2,1.999999582767e-2,0,0
2b7e151628aed2a6,600,1,4,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.999999582767e-2,1.999999582767e-2,0,0
2b7e151628aed2a6,600,1,8,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.999999582767e-2,1.999999582767e-2,0,0
2b7e151628aed2a6,600,1,16,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.999999582767e-2,1.999999582767e-2,0,0
2b7e151628aed2a6,600,1,32,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.999999582767e-2,1.999999582767e-2,0,0
2b7e151628aed2a6,600,1,64,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.999999582767e-2,1.999999582767e-2,0,0
2b7e151628aed2a6,2400,0,1,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.000000163913e-2,1.000000163913e-2,0,0
2b7e151628aed2a6,2400,0,2,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.000000163913e-2,1.000000163913e-2,0,0
2b7e151628aed2a6,2400,0,4,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.000000163913e-2,1.000000163913e-2,0,0
2b7e151628aed2a6,2400,0,8,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.000000163913e-2,1.000000163913e-2,0,0
2b7e151628aed2a6,2400,0,16,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.000000163913e-2,1.000000163913e-2,0,0
2b7e151628aed2a6,2400,0,32,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.000000163913e-2,1.000000163913e-2,0,0
2b7e151628aed2a6,2400,0,64,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.000000163913e-2,1.000000163913e-2,0,0
2b7e151628aed2a6,2400,1,1,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.000000163913e-2,1.000000163913e-2,0,0
2b7e151628aed2a6,2400,1,2,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.000000163913e-2,1.000000163913e-2,0,0
2b7e151628aed2a6,2400,1,4,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.000000163913e-2,1.000000163913e-2,0,0
2b7e151628aed2a6,2400,1,8,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.000000163913e-2,1.000000163913e-2,0,0
2b7e151628aed2a6,2400,1,16,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.000000163913e-2,1.000000163913e-2,0,0
2b7e151628aed2a6,2400,1,32,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.000000163913e-2,1.000000163913e-2,0,0
2b7e151628aed2a6,2400,1,64,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.000000163913e-2,1.000000163913e-2,0,0
2b7e151628aed2a6,4200,0,1,true,true,-2.384185791016e-6,-2.384185791016e-6,0.000000000000e0,0.000000000000e0,0.000000000000e0,9.999990463257e-3,9.999990463257e-3,0,0
2b7e151628aed2a6,4200,0,2,true,true,-2.384185791016e-6,-2.384185791016e-6,0.000000000000e0,0.000000000000e0,0.000000000000e0,9.999990463257e-3,9.999990463257e-3,0,0
2b7e151628aed2a6,4200,0,4,true,true,-8.219480514526e-5,-8.219480514526e-5,0.000000000000e0,-7.981061935425e-5,-7.981061935425e-5,9.999990463257e-3,9.999990463257e-3,0,0
2b7e151628aed2a6,4200,0,8,true,true,-8.535385131836e-5,-8.535385131836e-5,0.000000000000e0,-8.296966552734e-5,-8.296966552734e-5,9.999990463257e-3,9.999990463257e-3,0,0
2b7e151628aed2a6,4200,0,16,true,true,-2.076625823975e-4,-2.076625823975e-4,0.000000000000e0,-2.052783966064e-4,-2.052783966064e-4,9.999990463257e-3,9.999990463257e-3,0,0
2b7e151628aed2a6,4200,0,32,true,true,-1.981258392334e-4,-1.981258392334e-4,0.000000000000e0,-1.957416534424e-4,-1.957416534424e-4,9.999990463257e-3,9.999990463257e-3,0,0
2b7e151628aed2a6,4200,0,64,true,true,-3.969669342041e-5,1.657009124756e-5,-5.626678466797e-5,-3.731250762939e-5,1.895427703857e-5,9.999990463257e-3,9.999990463257e-3,0,0
2b7e151628aed2a6,4200,1,1,true,true,-1.212954521179e-5,-1.212954521179e-5,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.499998569489e-2,1.499998569489e-2,0,0
2b7e151628aed2a6,4200,1,2,true,true,-1.215934753418e-5,-1.215934753418e-5,0.000000000000e0,-2.980232238770e-8,-2.980232238770e-8,1.499998569489e-2,1.499998569489e-2,0,0
2b7e151628aed2a6,4200,1,4,true,true,-1.319348812103e-4,-1.319348812103e-4,0.000000000000e0,-1.198053359985e-4,-1.198053359985e-4,1.499998569489e-2,1.499998569489e-2,0,0
2b7e151628aed2a6,4200,1,8,true,true,-1.366138458252e-4,-1.366138458252e-4,0.000000000000e0,-1.244843006134e-4,-1.244843006134e-4,1.499998569489e-2,1.499998569489e-2,0,0
2b7e151628aed2a6,4200,1,16,true,true,-3.203749656677e-4,-2.785623073578e-4,-4.181265830994e-5,-3.082454204559e-4,-2.664327621460e-4,1.499998569489e-2,1.499998569489e-2,0,0
2b7e151628aed2a6,4200,1,32,true,true,-3.067851066589e-4,-3.911554813385e-4,8.437037467957e-5,-2.946555614471e-4,-3.790259361267e-4,1.499998569489e-2,1.499998569489e-2,0,0
2b7e151628aed2a6,4200,1,64,true,true,-6.747245788574e-5,-1.016259193420e-5,-5.730986595154e-5,-5.534291267395e-5,1.966953277588e-6,1.499998569489e-2,1.499998569489e-2,0,0
77a19d3c4e280b51,2400,0,1,true,true,-4.202127456665e-6,-4.202127456665e-6,0.000000000000e0,0.000000000000e0,0.000000000000e0,5.000010132790e-3,5.000010132790e-3,0,0
77a19d3c4e280b51,2400,0,2,true,true,-6.735324859619e-6,-6.735324859619e-6,0.000000000000e0,-2.533197402954e-6,-2.533197402954e-6,5.000010132790e-3,5.000010132790e-3,0,0
77a19d3c4e280b51,2400,0,4,true,true,-6.765127182007e-6,-6.765127182007e-6,0.000000000000e0,-2.562999725342e-6,-2.562999725342e-6,5.000010132790e-3,5.000010132790e-3,0,0
77a19d3c4e280b51,2400,0,8,true,true,-1.084804534912e-5,-1.084804534912e-5,0.000000000000e0,-6.645917892456e-6,-6.645917892456e-6,5.000010132790e-3,5.000010132790e-3,0,0
77a19d3c4e280b51,2400,0,16,true,true,-2.223253250122e-5,-2.223253250122e-5,0.000000000000e0,-1.803040504456e-5,-1.803040504456e-5,5.000010132790e-3,5.000010132790e-3,0,0
77a19d3c4e280b51,2400,0,32,true,true,-3.099441528320e-6,-3.099441528320e-6,0.000000000000e0,1.102685928345e-6,1.102685928345e-6,5.000010132790e-3,5.000010132790e-3,0,0
77a19d3c4e280b51,2400,0,64,true,true,-1.916289329529e-5,-1.916289329529e-5,0.000000000000e0,-1.496076583862e-5,-1.496076583862e-5,5.000010132790e-3,5.000010132790e-3,0,0
77a19d3c4e280b51,2400,1,1,true,true,7.718801498413e-6,7.718801498413e-6,0.000000000000e0,0.000000000000e0,0.000000000000e0,9.999990463257e-3,9.999990463257e-3,0,0
