seed,snapshot_step,control_slot,path_source,future_step,horizon,event,left_parameter,right_parameter,program_len,left_delta,right_delta,gap_before,gap_after,cumulative_mixed,replayed,invalid_step
2b7e151628aed2a6,600,0,selected,0,1,initial,-1,-1,0,0,0,0.000000000000e0,0.000000000000e0,0,true,0
2b7e151628aed2a6,600,0,selected,1,2,program,116,100,2,0.020000000,-0.020000000,0.000000000000e0,0.000000000000e0,0.000000000000e0,true,0
2b7e151628aed2a6,600,0,selected,2,3,program,16,79,2,0.020000000,0.020000000,0.000000000000e0,0.000000000000e0,0.000000000000e0,true,0
2b7e151628aed2a6,600,0,selected,3,4,program,0,97,2,0.020000000,-0.010000000,0.000000000000e0,0.000000000000e0,0.000000000000e0,true,0
2b7e151628aed2a6,600,0,selected,4,5,program,122,100,2,0.020000000,-0.020000000,0.000000000000e0,0.000000000000e0,0.000000000000e0,true,0
2b7e151628aed2a6,600,0,selected,5,6,program,1,100,2,0.020000000,-0.020000000,0.000000000000e0,0.000000000000e0,0.000000000000e0,true,0
2b7e151628aed2a6,600,0,selected,6,7,program,3,100,2,-0.010000000,-0.020000000,0.000000000000e0,0.000000000000e0,0.000000000000e0,true,0
2b7e151628aed2a6,600,0,selected,7,8,program,5,100,2,-0.020000000,-0.020000000,0.000000000000e0,0.000000000000e0,0.000000000000e0,true,0
2b7e151628aed2a6,600,0,selected,8,9,program,118,112,2,-0.020000000,0.020000000,0.000000000000e0,0.000000000000e0,0.000000000000e0,true,0
2b7e151628aed2a6,600,0,selected,9,10,program,30,79,2,-0.020000000,0.020000000,0.000000000000e0,0.000000000000e0,0.000000000000e0,true,0
2b7e151628aed2a6,600,0,selected,10,11,program,32,79,2,-0.020000000,0.020000000,0.000000000000e0,0.000000000000e0,0.000000000000e0,true,0
2b7e151628aed2a6,600,0,selected,11,12,program,34,79,2,-0.020000000,0.020000000,0.000000000000e0,0.000000000000e0,0.000000000000e0,true,0
2b7e151628aed2a6,600,0,selected,12,13,program,18,97,2,-0.020000000,0.020000000,0.000000000000e0,0.000000000000e0,0.000000000000e0,true,0
2b7e151628aed2a6,600,0,selected,13,14,program,1,116,2,0.020000000,0.020000000,0.000000000000e0,0.000000000000e0,0.000000000000e0,true,0
2b7e151628aed2a6,600,0,selected,14,15,program,17,102,2,0.010000000,0.020000000,0.000000000000e0,0.000000000000e0,0.000000000000e0,true,0
2b7e151628aed2a6,600,0,selected,15,16,program,21,100,2,0.020000000,-0.020000000,0.000000000000e0,0.000000000000e0,0.000000000000e0,true,0
2b7e151628aed2a6,600,0,selected,16,17,program,31,92,2,0.010000000,-0.020000000,0.000000000000e0,0.000000000000e0,0.000000000000e0,true,0
2b7e151628aed2a6,600,0,selected,17,18,program,18,107,2,0.020000000,0.000000000,0.000000000000e0,0.000000000000e0,0.000000000000e0,true,0
2b7e151628aed2a6,600,0,selected,18,19,program,18,109,2,0.020000000,0.020000000,0.000000000000e0,0.000000000000e0,0.000000000000e0,true,0
2b7e151628aed2a6,600,0,selected,19,20,program,5,1,2,-0.020000000,0.010000000,0.000000000000e0,0.000000000000e0,0.000000000000e0,true,0
2b7e151628aed2a6,600,0,selected,20,21,program,39,92,2,0.020000000,0.020000000,0.000000000000e0,0.000000000000e0,0.000000000000e0,true,0
2b7e151628aed2a6,600,0,selected,21,22,program,15,118,2,0.010000000,-0.020000000,0.000000000000e0,0.000000000000e0,0.000000000000e0,true,0
2b7e151628aed2a6,600,0,selected,22,23,program,56,79,2,0.020000000,0.020000000,0.000000000000e0,0.000000000000e0,0.000000000000e0,true,0
