seed,snapshot_step,control_slot,complete,censor_reason,paths_diverged,differing_future_programs,first_difference_commit,cumulative_action_vector_l1,net_cumulative_displacement_l1,delta_pg,delta_pc,source_interaction
1f83d9abfb41bd6b,600,0,true,,true,6,20,3.500000000000e-1,2.700000000000e-1,-5.388259887695e-5,-5.137920379639e-5,-2.503395080566e-6
1f83d9abfb41bd6b,600,1,true,,true,6,20,3.500000000000e-1,2.700000000000e-1,-4.208087921143e-5,-4.005432128906e-5,-2.026557922363e-6
1f83d9abfb41bd6b,2400,0,true,,true,3,48,9.500000000000e-2,9.500000000000e-2,-7.778406143188e-5,-7.146596908569e-5,-6.318092346191e-6
1f83d9abfb41bd6b,2400,1,true,,true,4,15,1.000000000000e-1,1.000000000000e-1,-1.575350761414e-4,-1.400709152222e-4,-1.746416091919e-5
1f83d9abfb41bd6b,4200,0,true,,true,11,22,7.400000000000e-1,5.600000000000e-1,-7.081031799316e-5,-6.705522537231e-5,-3.755092620850e-6
1f83d9abfb41bd6b,4200,1,true,,true,11,22,7.400000000000e-1,5.600000000000e-1,-1.080036163330e-4,-1.022815704346e-4,-5.722045898438e-6
510e527fade682d1,600,0,true,,true,4,25,2.300000000000e-1,2.300000000000e-1,-1.095533370972e-4,-9.012222290039e-5,-1.943111419678e-5
510e527fade682d1,600,1,true,,true,4,1,2.450000000000e-1,1.650000000000e-1,-5.669593811035e-4,-4.339218139648e-4,-1.330375671387e-4
510e527fade682d1,2400,0,true,,true,21,1,1.375000000000e0,7.650000000000e-1,-5.183219909668e-4,1.212358474731e-4,-6.395578384399e-4
510e527fade682d1,2400,1,true,,false,0,,0.000000000000e0,0.000000000000e0,5.602836608887e-6,5.602836608887e-6,0.000000000000e0
6a09e667f3bcc909,2400,0,true,,true,6,55,4.200000000000e-1,2.200000000000e-1,-3.933906555176e-6,1.132488250732e-6,-5.066394805908e-6
6a09e667f3bcc909,2400,1,true,,true,25,2,1.455000000000e0,7.450000000000e-1,-6.079673767090e-6,2.503395080566e-6,-8.583068847656e-6
6a09e667f3bcc909,4200,0,true,,false,0,,0.000000000000e0,0.000000000000e0,-1.627206802368e-5,-1.627206802368e-5,0.000000000000e0
6a09e667f3bcc909,4200,1,true,,true,5,14,2.550000000000e-1,1.650000000000e-1,-2.562999725342e-5,-3.838539123535e-5,1.275539398193e-5
a54ff53a5f1d36f1,600,0,true,,true,7,6,4.500000000000e-1,3.300000000000e-1,-2.324581146240e-5,-1.668930053711e-5,-6.556510925293e-6
a54ff53a5f1d36f1,600,1,true,,true,7,1,5.400000000000e-1,3.800000000000e-1,-2.087354660034e-4,1.848936080933e-4,-3.936290740967e-4
a54ff53a5f1d36f1,2400,0,true,,true,1,9,1.000000000000e-2,1.000000000000e-2,3.576278686523e-6,3.635883331299e-6,-5.960464477539e-8
a54ff53a5f1d36f1,2400,1,true,,false,0,,0.000000000000e0,0.000000000000e0,6.735324859619e-6,6.735324859619e-6,0.000000000000e0
a54ff53a5f1d36f1,4200,0,true,,true,1,37,5.000000000000e-3,5.000000000000e-3,1.668930053711e-6,1.728534698486e-6,-5.960464477539e-8
a54ff53a5f1d36f1,4200,1,true,,true,2,13,1.000000000000e-2,1.000000000000e-2,3.099441528320e-6,2.980232238770e-6,1.192092895508e-7
b492b66fbe98f273,600,0,true,,true,5,3,1.850000000000e-1,1.450000000000e-1,-6.616115570068e-5,-6.425380706787e-5,-1.907348632812e-6
b492b66fbe98f273,4200,0,true,,true,14,3,6.300000000000e-1,4.900000000000e-1,-4.899501800537e-5,-6.431341171265e-5,1.531839370728e-5
b492b66fbe98f273,4200,1,true,,true,8,2,3.000000000000e-1,2.200000000000e-1,8.380413055420e-5,1.040101051331e-4,-2.020597457886e-5
bb67ae8584caa73b,600,0,true,,true,3,35,2.200000000000e-1,2.200000000000e-1,-4.053115844727e-6,-1.668930053711e-6,-2.384185791016e-6
bb67ae8584caa73b,600,1,true,,true,3,35,2.200000000000e-1,2.200000000000e-1,-6.318092346191e-6,-2.503395080566e-6,-3.814697265625e-6
bb67ae8584caa73b,2400,0,true,,true,11,25,5.450000000000e-1,4.650000000000e-1,1.033723354340e-3,1.093268394470e-3,-5.954504013062e-5
bb67ae8584caa73b,2400,1,true,,true,11,10,5.600000000000e-1,4.400000000000e-1,1.452863216400e-3,1.596748828888e-3,-1.438856124878e-4
c3a5c85c97cb3127,600,0,true,,true,16,9,8.600000000000e-1,5.600000000000e-1,-1.013278961182e-5,-1.263618469238e-5,2.503395080566e-6
c3a5c85c97cb3127,600,1,true,,true,16,9,8.400000000000e-1,5.800000000000e-1,-1.525878906250e-5,-1.657009124756e-5,1.311302185059e-6
c3a5c85c97cb3127,2400,0,true,,true,26,1,1.640000000000e0,9.600000000000e-1,5.145668983459e-4,1.257419586182e-3,-7.428526878357e-4
c3a5c85c97cb3127,2400,1,true,,true,21,1,1.250000000000e0,8.500000000000e-1,4.711747169495e-4,8.062124252319e-4,-3.350377082825e-4
c3a5c85c97cb3127,4200,0,true,,true,4,54,7.000000000000e-2,5.000000000000e-2,-4.017353057861e-5,-3.904104232788e-5,-1.132488250732e-6
c3a5c85c97cb3127,4200,1,true,,true,4,54,7.000000000000e-2,5.000000000000e-2,-8.124113082886e-5,-7.867813110352e-5,-2.562999725342e-6
