seed,snapshot_step,matched,control_slot,left_parameter,right_parameter,g3_left_delta,g3_right_delta,g3_utility,control_left_delta,control_right_delta,control_utility,utility_gap,control_stratum,g3_stratum,match_tolerance
9f4a7c15d6e8b301,600,false,0,112,102,0.020000000,0.020000000,0.000921965,0,0,0,0,0,1,0.00005
9f4a7c15d6e8b301,600,false,1,112,102,0.020000000,0.020000000,0.000921965,0,0,0,0,0,1,0.00005
9f4a7c15d6e8b301,2400,false,0,110,14,0.020000000,-0.020000000,-0.000729203,0,0,0,0,0,2,0.00005
9f4a7c15d6e8b301,2400,false,1,110,14,0.020000000,-0.020000000,-0.000729203,0,0,0,0,0,2,0.00005
9f4a7c15d6e8b301,4200,false,0,18,16,0.020000000,-0.020000000,0.005782604,0,0,0,0,0,1,0.00005
9f4a7c15d6e8b301,4200,false,1,18,16,0.020000000,-0.020000000,0.005782604,0,0,0,0,0,1,0.00005
c3a5c85c97cb3127,600,true,0,112,102,0.020000000,0.020000000,0.000129223,0.010000000,0.020000000,0.000111222,0.000018001,1,1,0.000050000
c3a5c85c97cb3127,600,true,1,112,102,0.020000000,0.020000000,0.000129223,0.005000000,0.020000000,0.000102162,0.000027061,1,1,0.000050000
c3a5c85c97cb3127,2400,true,0,89,35,0.020000000,0.020000000,-0.000201225,-0.010000000,0.010000000,-0.000194311,0.000006914,2,2,0.000050000
c3a5c85c97cb3127,2400,true,1,89,35,0.020000000,0.020000000,-0.000201225,-0.005000000,0.020000000,-0.000210285,0.000009060,2,2,0.000050000
c3a5c85c97cb3127,4200,true,0,29,5,0.010000000,0.020000000,0.002069712,0.005000000,0.020000000,0.002081871,0.000012159,1,1,0.000050000
c3a5c85c97cb3127,4200,true,1,29,5,0.010000000,0.020000000,0.002069712,0.000000000,0.020000000,0.002093196,0.000023484,1,1,0.000050000
b492b66fbe98f273,600,true,0,113,101,-0.020000000,0.020000000,0.000306964,-0.020000000,0.010000000,0.000268340,0.000038624,1,1,0.000050000
b492b66fbe98f273,600,false,1,113,101,-0.020000000,0.020000000,0.000306964,0,0,0,0,0,1,0.00005
b492b66fbe98f273,2400,false,0,116,8,0.020000000,0.020000000,0.001528084,0,0,0,0,0,1,0.00005
b492b66fbe98f273,2400,false,1,116,8,0.020000000,0.020000000,0.001528084,0,0,0,0,0,1,0.00005
b492b66fbe98f273,4200,true,0,34,0,0.020000000,0.010000000,0.000403643,0.020000000,0.005000000,0.000387609,0.000016034,1,1,0.000050000
b492b66fbe98f273,4200,true,1,34,0,0.020000000,0.010000000,0.000403643,0.020000000,0.020000000,0.000421941,0.000018299,1,1,0.000050000
6a09e667f3bcc909,600,false,0,116,98,0.020000000,0.020000000,0.000418901,0,0,0,0,0,1,0.00005
6a09e667f3bcc909,600,false,1,116,98,0.020000000,0.020000000,0.000418901,0,0,0,0,0,1,0.00005
6a09e667f3bcc909,2400,true,0,101,23,-0.020000000,-0.020000000,0.001765132,-0.010000000,-0.020000000,0.001756191,0.000008941,1,1,0.000050000
6a09e667f3bcc909,2400,true,1,101,23,-0.020000000,-0.020000000,0.001765132,-0.005000000,-0.020000000,0.001751661,0.000013471,1,1,0.000050000
6a09e667f3bcc909,4200,true,0,34,0,-0.020000000,-0.020000000,0.000573397,-0.010000000,-0.020000000,0.000594437,0.000021040,1,1,0.000050000
6a09e667f3bcc909,4200,true,1,34,0,-0.020000000,-0.020000000,0.000573397,-0.005000000,-0.020000000,0.000603557,0.000030160,1,1,0.000050000
bb67ae8584caa73b,600,true,0,9,82,-0.020000000,0.020000000,0.000284672,-0.020000000,0.010000000,0.000277996,0.000006676,1,1,0.000050000
bb67ae8584caa73b,600,true,1,9,82,-0.020000000,0.020000000,0.000284672,-0.020000000,0.005000000,0.000274420,0.000010252,1,1,0.000050000
bb67ae8584caa73b,2400,true,0,88,36,0.010000000,0.020000000,-0.000058532,-0.005000000,0.000000000,-0.000056326,0.000002205,2,2,0.000050000
bb67ae8584caa73b,2400,true,1,88,36,0.010000000,0.020000000,-0.000058532,-0.010000000,-0.010000000,-0.000063896,0.000005364,2,2,0.000050000
bb67ae8584caa73b,4200,false,0,18,16,0.010000000,-0.020000000,0.003075182,0,0,0,0,0,1,0.00005
bb67ae8584caa73b,4200,false,1,18,16,0.010000000,-0.020000000,0.003075182,0,0,0,0,0,1,0.00005
3c6ef372fe94f82b,600,false,0,118,96,-0.020000000,-0.020000000,0.000600457,0,0,0,0,0,1,0.00005
3c6ef372fe94f82b,600,false,1,118,96,-0.020000000,-0.020000000,0.000600457,0,0,0,0,0,1,0.00005
3c6ef372fe94f82b,2400,false,0,110,14,0.020000000,0.020000000,0.000637770,0,0,0,0,0,1,0.00005
3c6ef372fe94f82b,2400,false,1,110,14,0.020000000,0.020000000,0.000637770,0,0,0,0,0,1,0.00005
3c6ef372fe94f82b,4200,false,0,34,0,-0.020000000,-0.020000000,-0.001043439,0,0,0,0,0,2,0.00005
3c6ef372fe94f82b,4200,false,1,34,0,-0.020000000,-0.020000000,-0.001043439,0,0,0,0,0,2,0.00005
a54ff53a5f1d36f1,600,true,0,18,73,0.020000000,-0.020000000,-0.000028610,0.020000000,0.010000000,-0.000028849,0.000000238,2,2,0.000050000
