seed,n_matched,n_complete,n_censored,n_divergent,p_div,mean_active_source_interaction,mean_overall_source_interaction,mean_differing_future_programs_all,mean_differing_future_programs_active,mean_first_difference_commit_active,mean_cumulative_action_vector_l1_all,mean_cumulative_action_vector_l1_active,mean_net_displacement_l1_all,mean_net_displacement_l1_active
9f4a7c15d6e8b301,0,0,0,0,0.000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
c3a5c85c97cb3127,6,6,0,6,1.000000000,-1.796285311381e-4,-1.796285311381e-4,14.500000,14.500000,21.333333,7.883333333333e-1,7.883333333333e-1,5.083333333333e-1,5.083333333333e-1
b492b66fbe98f273,3,3,0,3,1.000000000,-2.264976501464e-6,-2.264976501464e-6,9.000000,9.000000,2.666667,3.716666666667e-1,3.716666666667e-1,2.850000000000e-1,2.850000000000e-1
6a09e667f3bcc909,4,4,0,3,0.750000000,-2.980232238780e-7,-2.235174179085e-7,9.000000,12.000000,23.666667,5.325000000000e-1,7.100000000000e-1,2.825000000000e-1,3.766666666667e-1
bb67ae8584caa73b,4,4,0,4,1.000000000,-5.240738391877e-5,-5.240738391877e-5,7.000000,7.000000,26.250000,3.862500000000e-1,3.862500000000e-1,3.362500000000e-1,3.362500000000e-1
3c6ef372fe94f82b,0,0,0,0,0.000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
a54ff53a5f1d36f1,6,6,0,5,0.833333333,-8.003711700440e-5,-6.669759750367e-5,3.000000,3.600000,13.200000,1.691666666667e-1,2.030000000000e-1,1.225000000000e-1,1.470000000000e-1
510e527fade682d1,4,4,0,3,0.750000000,-2.640088399251e-4,-1.980066299438e-4,7.250000,9.666667,9.000000,4.625000000000e-1,6.166666666667e-1,2.900000000000e-1,3.866666666667e-1
1f83d9abfb41bd6b,6,6,0,6,1.000000000,-6.298224131266e-6,-6.298224131266e-6,6.833333,6.833333,24.500000,3.958333333333e-1,3.958333333333e-1,3.091666666667e-1,3.091666666667e-1
ALL,33,33,0,30,0.909090909,-8.416970570882e-5,-7.651791428075e-5,8.060606,8.866667,18.400000,4.472727272727e-1,4.920000000000e-1,3.069696969697e-1,3.376666666667e-1
