seed,snapshot,domain,slot,pair_kind,horizon,program_a_ordinal,program_b_ordinal,complete_horizon,delta_a,delta_ancestor,delta_b,source_interaction,identity_residual,path_divergent,differing_commits,first_difference,cumulative_action_l1,net_displacement_l1,invalid_path_a,invalid_path_ancestor,invalid_path_b
9f4a7c15d6e8b301,2400,D1_EXACT_VECTOR,1,G_C1,1,44,2,true,-2.214312553406e-5,-2.214312553406e-5,-2.214312553406e-5,0.000000000000e0,0.000000000000e0,true,20,18,1.1399999745190144,0.5999999865889549,0,0,0
9f4a7c15d6e8b301,2400,D1_EXACT_VECTOR,1,G_C1,2,44,2,true,-3.412365913391e-5,-3.412365913391e-5,-3.412365913391e-5,0.000000000000e0,0.000000000000e0,true,20,18,1.1399999745190144,0.5999999865889549,0,0,0
9f4a7c15d6e8b301,2400,D1_EXACT_VECTOR,1,G_C1,4,44,2,true,-3.924965858459e-5,-3.924965858459e-5,-3.924965858459e-5,0.000000000000e0,0.000000000000e0,true,20,18,1.1399999745190144,0.5999999865889549,0,0,0
9f4a7c15d6e8b301,2400,D1_EXACT_VECTOR,1,G_C1,8,44,2,true,-7.954239845276e-5,-8.019804954529e-5,-7.954239845276e-5,0.000000000000e0,0.000000000000e0,true,20,18,1.1399999745190144,0.5999999865889549,0,0,0
9f4a7c15d6e8b301,2400,D1_EXACT_VECTOR,1,G_C1,16,44,2,true,-1.720190048218e-4,-1.726746559143e-4,-1.720190048218e-4,0.000000000000e0,0.000000000000e0,true,20,18,1.1399999745190144,0.5999999865889549,0,0,0
9f4a7c15d6e8b301,2400,D1_EXACT_VECTOR,1,G_C1,32,44,2,true,-1.641809940338e-4,-1.559257507324e-4,-1.679062843323e-4,3.725290298462e-6,0.000000000000e0,true,20,18,1.1399999745190144,0.5999999865889549,0,0,0
9f4a7c15d6e8b301,2400,D1_EXACT_VECTOR,1,G_C1,64,44,2,true,-1.383721828461e-4,-1.018643379211e-4,-1.186132431030e-4,-1.975893974304e-5,0.000000000000e0,true,20,18,1.1399999745190144,0.5999999865889549,0,0,0
9f4a7c15d6e8b301,2400,D1_EXACT_VECTOR,1,C1_C2,1,2,37,true,-2.446770668030e-5,-2.446770668030e-5,-2.446770668030e-5,0.000000000000e0,0.000000000000e0,true,32,8,2.0149999549612403,0.9749999782070518,0,0,0
9f4a7c15d6e8b301,2400,D1_EXACT_VECTOR,1,C1_C2,2,2,37,true,-3.653764724731e-5,-3.653764724731e-5,-3.653764724731e-5,0.000000000000e0,0.000000000000e0,true,32,8,2.0149999549612403,0.9749999782070518,0,0,0
9f4a7c15d6e8b301,2400,D1_EXACT_VECTOR,1,C1_C2,4,2,37,true,-4.157423973083e-5,-4.157423973083e-5,-4.157423973083e-5,0.000000000000e0,0.000000000000e0,true,32,8,2.0149999549612403,0.9749999782070518,0,0,0
9f4a7c15d6e8b301,2400,D1_EXACT_VECTOR,1,C1_C2,8,2,37,true,-8.189678192139e-5,-8.252263069153e-5,-8.189678192139e-5,0.000000000000e0,0.000000000000e0,true,32,8,2.0149999549612403,0.9749999782070518,0,0,0
9f4a7c15d6e8b301,2400,D1_EXACT_VECTOR,1,C1_C2,16,2,37,true,-1.744031906128e-4,-1.750588417053e-4,-1.156330108643e-4,-5.877017974854e-5,0.000000000000e0,true,32,8,2.0149999549612403,0.9749999782070518,0,0,0
9f4a7c15d6e8b301,2400,D1_EXACT_VECTOR,1,C1_C2,32,2,37,true,-1.703202724457e-4,-1.583993434906e-4,-1.626908779144e-4,-7.629394531250e-6,0.000000000000e0,true,32,8,2.0149999549612403,0.9749999782070518,0,0,0
9f4a7c15d6e8b301,2400,D1_EXACT_VECTOR,1,C1_C2,64,2,37,true,-1.209080219269e-4,-1.040101051331e-4,-1.370906829834e-4,1.618266105652e-5,0.000000000000e0,true,32,8,2.0149999549612403,0.9749999782070518,0,0,0
9f4a7c15d6e8b301,2400,D2_MAGNITUDE_ONLY,0,G_C1,1,44,30,true,1.966953277588e-5,1.966953277588e-5,1.966953277588e-5,0.000000000000e0,0.000000000000e0,true,3,46,0.20999999530613422,0.12999999709427357,0,0,0
9f4a7c15d6e8b301,2400,D2_MAGNITUDE_ONLY,0,G_C1,2,44,30,true,3.162026405334e-5,3.162026405334e-5,3.162026405334e-5,0.000000000000e0,0.000000000000e0,true,3,46,0.20999999530613422,0.12999999709427357,0,0,0
9f4a7c15d6e8b301,2400,D2_MAGNITUDE_ONLY,0,G_C1,4,44,30,true,3.671646118164e-5,3.671646118164e-5,3.671646118164e-5,0.000000000000e0,0.000000000000e0,true,3,46,0.20999999530613422,0.12999999709427357,0,0,0
9f4a7c15d6e8b301,2400,D2_MAGNITUDE_ONLY,0,G_C1,8,44,30,true,7.724761962891e-5,7.787346839905e-5,7.724761962891e-5,0.000000000000e0,0.000000000000e0,true,3,46,0.20999999530613422,0.12999999709427357,0,0,0
9f4a7c15d6e8b301,2400,D2_MAGNITUDE_ONLY,0,G_C1,16,44,30,true,1.698136329651e-4,1.705288887024e-4,1.698136329651e-4,0.000000000000e0,0.000000000000e0,true,3,46,0.20999999530613422,0.12999999709427357,0,0,0
9f4a7c15d6e8b301,2400,D2_MAGNITUDE_ONLY,0,G_C1,32,44,30,true,1.617670059204e-4,1.535713672638e-4,1.617670059204e-4,0.000000000000e0,0.000000000000e0,true,3,46,0.20999999530613422,0.12999999709427357,0,0,0
