"seed","domain","paired_complete","p_div_G_C1","p_div_C1_C2","mean_I_G_C1","mean_I_C1_C2","mean_I_difference_G_minus_CC","mean_I_G_C1_active","mean_I_C1_C2_active","G_C1_more_negative","C1_C2_more_negative","tied"
"9f4a7c15d6e8b301","D1_EXACT_VECTOR","1","1","1","-1.975893974304E-05","1.618266105652E-05","-3.5941600799560005E-05","-1.975893974304E-05","1.618266105652E-05","1","0","0"
"9f4a7c15d6e8b301","D2_MAGNITUDE_ONLY","3","1","1","-0.0002943972746531403","-0.00021587808926901665","-7.851918538412365E-05","-0.0002943972746531403","-0.00021587808926901665","2","1","0"
"c3a5c85c97cb3127","D1_EXACT_VECTOR","3","0.3333333333333333","0.3333333333333333","-1.7285346984863332E-06","1.3709068298339998E-06","-3.099441528320333E-06","-5.185604095459E-06","4.112720489502E-06","1","0","2"
"c3a5c85c97cb3127","D2_MAGNITUDE_ONLY","3","0","0.3333333333333333","0","-4.430611928303333E-06","4.430611928303333E-06","NaN","-1.329183578491E-05","0","1","2"
"b492b66fbe98f273","D1_EXACT_VECTOR","3","0.6666666666666666","0.6666666666666666","-4.241863886515334E-06","1.4901161193850001E-07","-4.390875498453834E-06","-6.362795829773E-06","2.2351741790775002E-07","2","0","1"
"b492b66fbe98f273","D2_MAGNITUDE_ONLY","4","0.5","0.5","-3.1813979148865E-06","-5.215406417845E-08","-3.12924385070805E-06","-6.362795829773E-06","-1.043081283569E-07","2","0","2"
"6a09e667f3bcc909","D1_EXACT_VECTOR","1","0","1","0","-1.668930053711E-06","1.668930053711E-06","NaN","-1.668930053711E-06","0","1","0"
"6a09e667f3bcc909","D2_MAGNITUDE_ONLY","1","0","1","0","2.562999725342E-06","-2.562999725342E-06","NaN","2.562999725342E-06","1","0","0"
"bb67ae8584caa73b","D1_EXACT_VECTOR","1","1","1","2.71201133728E-05","-1.788139343262E-07","2.72989273071262E-05","2.71201133728E-05","-1.788139343262E-07","0","1","0"
"bb67ae8584caa73b","D2_MAGNITUDE_ONLY","3","1","1","-2.936522165933333E-05","-7.512172063192512E-05","4.5756498972591795E-05","-2.936522165933333E-05","-7.512172063192512E-05","0","3","0"
"3c6ef372fe94f82b","D1_EXACT_VECTOR","2","0","0","0","0","0","NaN","NaN","0","0","2"
"3c6ef372fe94f82b","D2_MAGNITUDE_ONLY","3","0.3333333333333333","0.3333333333333333","-5.26507695516E-07","-1.758337020874E-06","1.2318293253580001E-06","-1.579523086548E-06","-5.275011062622E-06","0","1","2"
"a54ff53a5f1d36f1","D1_EXACT_VECTOR","2","0","0","0","0","0","NaN","NaN","0","0","2"
"a54ff53a5f1d36f1","D2_MAGNITUDE_ONLY","2","0","0","0","0","0","NaN","NaN","0","0","2"
"510e527fade682d1","D1_EXACT_VECTOR","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","0","0"
"510e527fade682d1","D2_MAGNITUDE_ONLY","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","0","0"
"1f83d9abfb41bd6b","D1_EXACT_VECTOR","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","0","0"
"1f83d9abfb41bd6b","D2_MAGNITUDE_ONLY","2","1","0.5","-0.00093230605125425","-9.22381877899E-06","-0.0009230822324752599","-0.00093230605125425","-1.844763755798E-05","2","0","0"
"POOLED","D1_EXACT_VECTOR","13","0.38461538461538464","0.46153846153846156","-8.115401634803844E-07","1.4534363379846387E-06","-2.2649765014650237E-06","-2.1100044250489996E-06","3.149112065633384E-06","4","2","7"
"POOLED","D2_MAGNITUDE_ONLY","21","0.5238095238095238","0.5714285714285714","-0.00013572403362819118","-4.322188241141473E-05","-9.250215121677646E-05","-0.00025910951874472864","-7.563829421997577E-05","7","6","8"
