seed,snapshot,source_kind,source_program_ordinal,step_offset,global_commit,step_status,program_present,program_left,program_right,program_len,delta_left,delta_right,invalid_source_step
9f4a7c15d6e8b301,600,ACTION,8,1,601,generated,true,31,62,2,-0.02,0.02,0
9f4a7c15d6e8b301,600,ACTION,8,2,602,generated,true,23,72,2,0.02,-0.02,0
9f4a7c15d6e8b301,600,ACTION,8,3,603,generated,true,118,102,2,-0.02,0.02,0
9f4a7c15d6e8b301,600,ACTION,8,4,604,generated,true,13,86,2,-0.02,0,0
9f4a7c15d6e8b301,600,ACTION,8,5,605,generated,true,13,88,2,-0.02,0.02,0
9f4a7c15d6e8b301,600,ACTION,8,6,606,generated,true,13,90,2,-0.02,0,0
9f4a7c15d6e8b301,600,ACTION,8,7,607,generated,true,13,92,2,-0.02,-0.01,0
9f4a7c15d6e8b301,600,ACTION,8,8,608,generated,true,2,105,2,-0.02,0.02,0
9f4a7c15d6e8b301,600,ACTION,8,9,609,generated,true,22,87,2,-0.02,0.02,0
9f4a7c15d6e8b301,600,ACTION,8,10,610,generated,true,6,105,2,0.02,0.02,0
9f4a7c15d6e8b301,600,ACTION,8,11,611,generated,true,36,77,2,-0.02,-0.02,0
9f4a7c15d6e8b301,600,ACTION,8,12,612,generated,true,36,79,2,-0.02,0.02,0
9f4a7c15d6e8b301,600,ACTION,8,13,613,generated,true,38,79,2,0.02,0.02,0
9f4a7c15d6e8b301,600,ACTION,8,14,614,generated,true,12,107,2,-0.02,0,0
9f4a7c15d6e8b301,600,ACTION,8,15,615,generated,true,20,101,2,-0.02,0.01,0
9f4a7c15d6e8b301,600,ACTION,8,16,616,generated,true,27,96,2,-0.02,-0.02,0
9f4a7c15d6e8b301,600,ACTION,8,17,617,generated,true,29,96,2,0.02,-0.02,0
9f4a7c15d6e8b301,600,ACTION,8,18,618,generated,true,31,96,2,-0.02,-0.02,0
9f4a7c15d6e8b301,600,ACTION,8,19,619,generated,true,5,1,2,0.02,0.02,0
9f4a7c15d6e8b301,600,ACTION,8,20,620,generated,true,18,113,2,-0.02,-0.02,0
9f4a7c15d6e8b301,600,ACTION,8,21,621,generated,true,10,0,2,0.02,0.02,0
9f4a7c15d6e8b301,600,ACTION,8,22,622,generated,true,11,1,2,0.02,0.02,0
9f4a7c15d6e8b301,600,ACTION,8,23,623,generated,true,35,102,2,-0.02,0.02,0
9f4a7c15d6e8b301,600,ACTION,8,24,624,generated,true,23,116,2,0.02,0.02,0
9f4a7c15d6e8b301,600,ACTION,8,25,625,generated,true,15,3,2,0.02,-0.02,0
9f4a7c15d6e8b301,600,ACTION,8,26,626,generated,true,15,5,2,0.02,0.02,0
9f4a7c15d6e8b301,600,ACTION,8,27,627,generated,true,14,8,2,-0.02,0.02,0
