seed,domain,pair_kind,matched,complete,censored,divergent,p_div,mean_I_all,mean_I_active,mean_delta_A,mean_delta_ancestor,mean_delta_B,ancestor_order_fraction,mean_differing_commits_all,mean_differing_commits_active,mean_action_l1_all,mean_action_l1_active,mean_net_l1_all,mean_net_l1_active
9f4a7c15d6e8b301,D1_EXACT_VECTOR,G_C1,1,1,0,1,1,-0.000019758939743041992,-0.000019758939743041992,-0.00013837218284606934,-0.00010186433792114258,-0.00011861324310302734,0,20,20,1.1399999745190144,1.1399999745190144,0.5999999865889549,0.5999999865889549
9f4a7c15d6e8b301,D1_EXACT_VECTOR,C1_C2,1,1,0,1,1,0.000016182661056518555,0.000016182661056518555,-0.00012090802192687988,-0.00010401010513305664,-0.00013709068298339844,0,32,32,2.0149999549612403,2.0149999549612403,0.9749999782070518,0.9749999782070518
9f4a7c15d6e8b301,D2_MAGNITUDE_ONLY,G_C1,4,4,0,4,1,-0.00022573769092559814,-0.00022573769092559814,0.00037608295679092407,0.0006578639149665833,0.0006018206477165222,0,17.75,17.75,1.0437499766703695,1.0437499766703695,0.5937499867286533,0.5937499867286533
9f4a7c15d6e8b301,D2_MAGNITUDE_ONLY,C1_C2,3,3,0,3,1,-0.0002158780892690023,-0.0002158780892690023,-0.0005171398321787516,-0.00045310457547505695,-0.00030126174290974933,0,22,22,1.2883333045368393,1.2883333045368393,0.6783333181714019,0.6783333181714019
c3a5c85c97cb3127,D1_EXACT_VECTOR,G_C1,3,3,0,1,0.3333333333333333,-0.0000017285346984863281,-0.000005185604095458984,0.000000019868214925130207,0.000000039736429850260414,0.0000017484029134114583,0,6.333333333333333,19,0.40666665757695836,1.219999972730875,0.17999999597668648,0.5399999879300594
c3a5c85c97cb3127,D1_EXACT_VECTOR,C1_C2,3,3,0,1,0.3333333333333333,0.0000013709068298339844,0.000004112720489501953,0.00000013907750447591147,0,-0.000001231829325358073,0,3,9,0.18333332923551401,0.549999987706542,0.14999999664723873,0.4499999899417162
c3a5c85c97cb3127,D2_MAGNITUDE_ONLY,G_C1,4,4,0,1,0.25,-0.000001296401023864746,-0.000005185604095458984,0.000000014901161193847656,0.000000029802322387695313,0.0000013113021850585938,0,4.75,19,0.30499999318271875,1.219999972730875,0.13499999698251486,0.5399999879300594
c3a5c85c97cb3127,D2_MAGNITUDE_ONLY,C1_C2,3,3,0,1,0.3333333333333333,-0.000004430611928304036,-0.00001329183578491211,-0.0000050266583760579424,-0.00000095367431640625,-0.0000005960464477539063,0.3333333333333333,6.333333333333333,19,0.40666665757695836,1.219999972730875,0.17999999597668648,0.5399999879300594
b492b66fbe98f273,D1_EXACT_VECTOR,G_C1,3,3,0,2,0.6666666666666666,-0.0000042418638865153,-0.000006362795829772949,0.0000068942705790201826,0.000010341405868530273,0.000011136134465535482,0.3333333333333333,1,1.5,0.006666666517655055,0.009999999776482582,0.006666666517655055,0.009999999776482582
b492b66fbe98f273,D1_EXACT_VECTOR,C1_C2,3,3,0,2,0.6666666666666666,0.00000014901161193847656,0.00000022351741790771484,0.000011235475540161133,0.000009179115295410156,0.000011086463928222656,0,1.6666666666666667,2.5,0.0549999987706542,0.0824999981559813,0.04166666573534409,0.06249999860301614
b492b66fbe98f273,D2_MAGNITUDE_ONLY,G_C1,4,4,0,2,0.5,-0.0000031813979148864746,-0.000006362795829772949,0.000005133450031280518,0.000007711350917816162,0.000008314847946166992,0.25,0.75,1.5,0.004999999888241291,0.009999999776482582,0.004999999888241291,0.009999999776482582
b492b66fbe98f273,D2_MAGNITUDE_ONLY,C1_C2,4,4,0,2,0.5,-0.0000000521540641784668,-0.0000001043081283569336,0.0000021010637283325195,0.0000023245811462402344,0.0000021532177925109863,0,1.25,2.5,0.042499999050050974,0.08499999810010195,0.03249999927356839,0.06499999854713678
6a09e667f3bcc909,D1_EXACT_VECTOR,G_C1,1,1,0,0,0,0,NaN,-0.0000546574592590332,-0.00002944469451904297,-0.0000546574592590332,0,0,NaN,0,NaN,0,NaN
6a09e667f3bcc909,D1_EXACT_VECTOR,C1_C2,1,1,0,1,1,-0.0000016689300537109375,-0.0000016689300537109375,-0.00005805492401123047,-0.00003260374069213867,-0.00005638599395751953,0,1,1,0.004999999888241291,0.004999999888241291,0.004999999888241291,0.004999999888241291
6a09e667f3bcc909,D2_MAGNITUDE_ONLY,G_C1,1,1,0,0,0,0,NaN,-0.0000546574592590332,-0.00002944469451904297,-0.0000546574592590332,0,0,NaN,0,NaN,0,NaN
6a09e667f3bcc909,D2_MAGNITUDE_ONLY,C1_C2,1,1,0,1,1,0.000002562999725341797,0.000002562999725341797,-0.00002855062484741211,-0.000015914440155029297,-0.000031113624572753906,0,8,8,0.5599999874830246,0.5599999874830246,0.3999999910593033,0.3999999910593033
bb67ae8584caa73b,D1_EXACT_VECTOR,G_C1,1,1,0,1,1,0.000027120113372802734,0.000027120113372802734,-0.0000832676887512207,-0.00009763240814208984,-0.00011038780212402344,0,14,14,0.8849999802187085,0.8849999802187085,0.5549999875947833,0.5549999875947833
bb67ae8584caa73b,D1_EXACT_VECTOR,C1_C2,1,1,0,1,1,-0.00000017881393432617188,-0.00000017881393432617188,-0.0001150965690612793,-0.000102996826171875,-0.00011491775512695313,0,2,2,0.014999999664723873,0.014999999664723873,0.014999999664723873,0.014999999664723873
bb67ae8584caa73b,D2_MAGNITUDE_ONLY,G_C1,3,3,0,3,1,-0.00002936522165934245,-0.00002936522165934245,-0.0005821983019510905,-0.00039313236872355145,-0.000552833080291748,0,14.333333333333334,14.333333333333334,0.9116666462893287,0.9116666462893287,0.5483333210771283,0.5483333210771283
bb67ae8584caa73b,D2_MAGNITUDE_ONLY,C1_C2,3,3,0,3,1,-0.00007512172063191731,-0.00007512172063191731,-0.0005495349566141764,-0.0005868872006734213,-0.0004744132359822591,0,12,12,0.7083333175008496,0.7083333175008496,0.5549999875947833,0.5549999875947833
3c6ef372fe94f82b,D1_EXACT_VECTOR,G_C1,2,2,0,0,0,0,NaN,0,0,0,0,0,NaN,0,NaN,0,NaN
3c6ef372fe94f82b,D1_EXACT_VECTOR,C1_C2,2,2,0,0,0,0,NaN,0,0,0,0,0,NaN,0,NaN,0,NaN
3c6ef372fe94f82b,D2_MAGNITUDE_ONLY,G_C1,3,3,0,1,0.3333333333333333,-0.0000005265076955159506,-0.0000015795230865478516,0.000029693047205607097,0.000046094258626302086,0.000030219554901123047,0,3.6666666666666665,11,0.1649999963119626,0.4949999889358878,0.1383333302413424,0.41499999072402716
3c6ef372fe94f82b,D2_MAGNITUDE_ONLY,C1_C2,3,3,0,1,0.3333333333333333,-0.0000017583370208740234,-0.00000527501106262207,0.000010887781778971354,0.000018735726674397785,0.000012646118799845377,0,0.3333333333333333,1,0.0033333332588275275,0.009999999776482582,0.0033333332588275275,0.009999999776482582
a54ff53a5f1d36f1,D1_EXACT_VECTOR,G_C1,2,2,0,0,0,0,NaN,0,0,0,0,0,NaN,0,NaN,0,NaN
a54ff53a5f1d36f1,D1_EXACT_VECTOR,C1_C2,2,2,0,0,0,0,NaN,0,0,0,0,0,NaN,0,NaN,0,NaN
a54ff53a5f1d36f1,D2_MAGNITUDE_ONLY,G_C1,2,2,0,0,0,0,NaN,0,0,0,0,0,NaN,0,NaN,0,NaN
a54ff53a5f1d36f1,D2_MAGNITUDE_ONLY,C1_C2,2,2,0,0,0,0,NaN,0,0,0,0,0,NaN,0,NaN,0,NaN
510e527fade682d1,D1_EXACT_VECTOR,G_C1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
510e527fade682d1,D1_EXACT_VECTOR,C1_C2,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
510e527fade682d1,D2_MAGNITUDE_ONLY,G_C1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
510e527fade682d1,D2_MAGNITUDE_ONLY,C1_C2,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1f83d9abfb41bd6b,D1_EXACT_VECTOR,G_C1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1f83d9abfb41bd6b,D1_EXACT_VECTOR,C1_C2,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1f83d9abfb41bd6b,D2_MAGNITUDE_ONLY,G_C1,2,2,0,2,1,-0.0009323060512542725,-0.0009323060512542725,-0.0014847517013549805,-0.00026266276836395264,-0.000552445650100708,0,22,22,1.3849999690428376,1.3849999690428376,0.7649999829009175,0.7649999829009175
1f83d9abfb41bd6b,D2_MAGNITUDE_ONLY,C1_C2,2,2,0,1,0.5,-0.0000092238187789917,-0.0000184476375579834,0.0000020265579223632813,0.0000008344650268554688,0.00001125037670135498,0.5,12.5,25,0.7449999833479524,1.4899999666959047,0.3849999913945794,0.7699999827891588
