role,seed,step,action_split,block,left_parameter,right_parameter,left_rank,right_rank,left_delta,right_delta,utility_alpha_0_5,utility_alpha_1,utility_alpha_2
development,1e27c8d46a90b35f,600,development,1,87,85,0,1,0.00000000,-0.02000000,0.000000000000e0,0.000000000000e0,0.000000000000e0
development,1e27c8d46a90b35f,600,development,1,87,85,1,0,-0.02000000,0.00000000,0.000000000000e0,0.000000000000e0,0.000000000000e0
development,1e27c8d46a90b35f,600,development,2,88,84,0,0,-0.02000000,0.00000000,-6.947914516786e-5,-1.402273774147e-4,-2.855770289898e-4
development,1e27c8d46a90b35f,600,development,2,88,84,1,1,-0.01000000,-0.02000000,-3.457441926003e-5,-6.947914516786e-5,-1.402273774147e-4
development,1e27c8d46a90b35f,600,development,3,89,83,0,0,-0.02000000,0.00000000,-9.352403139928e-5,-1.963985414477e-4,-4.257137479726e-4
development,1e27c8d46a90b35f,600,development,3,89,83,1,1,-0.01000000,-0.02000000,-4.641960185836e-5,-9.352403139928e-5,-1.963985414477e-4
development,1e27c8d46a90b35f,600,development,4,90,82,0,0,-0.02000000,0.00000000,1.380741596222e-4,2.501681447029e-4,4.627040179912e-4
development,1e27c8d46a90b35f,600,development,4,90,82,1,1,-0.01000000,-0.02000000,8.055754005909e-5,1.380741596222e-4,2.501681447029e-4
development,1e27c8d46a90b35f,600,development,5,91,81,0,0,-0.02000000,0.00000000,-1.425811351510e-4,-2.871546894312e-4,-5.822908133268e-4
development,1e27c8d46a90b35f,600,development,5,91,81,1,1,-0.01000000,-0.02000000,-7.104998076102e-5,-1.425811351510e-4,-2.871546894312e-4
development,1e27c8d46a90b35f,600,development,6,92,80,0,1,0.02000000,-0.02000000,4.981892925571e-5,9.853454685071e-5,1.926422119141e-4
development,1e27c8d46a90b35f,600,development,6,92,80,1,0,0.01000000,0.00000000,2.504947224224e-5,4.981892925571e-5,9.853454685071e-5
development,1e27c8d46a90b35f,600,development,7,93,79,0,0,-0.02000000,0.02000000,-1.355614513159e-4,-2.782413212117e-4,-5.819431389682e-4
development,1e27c8d46a90b35f,600,development,7,93,79,1,1,-0.01000000,0.01000000,-6.847828626633e-5,-1.355614513159e-4,-2.782413212117e-4
development,1e27c8d46a90b35f,600,development,8,94,78,0,1,-0.02000000,0.01000000,-6.362857675413e-5,-1.288385392400e-4,-2.619456499815e-4
development,1e27c8d46a90b35f,600,development,8,94,78,1,0,-0.01000000,0.02000000,-4.107381028007e-5,-8.052276825765e-5,-1.475624740124e-4
development,1e27c8d46a90b35f,600,development,9,95,77,0,1,-0.02000000,0.01000000,2.803100796882e-4,5.585197359324e-4,1.108823926188e-3
development,1e27c8d46a90b35f,600,development,9,95,77,1,0,-0.01000000,0.02000000,1.447399408789e-4,2.891793847084e-4,5.820629303344e-4
development,1e27c8d46a90b35f,600,development,10,96,76,0,0,0.02000000,0.02000000,1.895055174828e-5,3.672018647194e-5,6.869187200209e-5
development,1e27c8d46a90b35f,600,development,10,96,76,1,1,0.01000000,0.01000000,9.619941010897e-6,1.895055174828e-5,3.672018647194e-5
development,1e27c8d46a90b35f,600,development,11,97,75,0,0,0.02000000,0.02000000,5.122894890519e-6,1.340856124443e-5,3.571808338165e-5
