seed,step,scale,method,panel,candidate_count,utility_rmse,sign_error_rate,cross_block_regret,selected_program_regret,false_authorization
9d047ac26e31b58f,600,0.5,hash_placebo_00,0,170,1.140750147870e-4,0.211764706,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,1,170,1.562218651768e-4,0.323529412,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,2,170,1.600965845690e-4,0.370588235,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,3,170,1.570943518060e-4,0.282352941,3.292045439593e-4,3.292045439593e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,4,170,1.289487199768e-4,0.300000000,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,5,170,1.695141748977e-4,0.264705882,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,6,170,1.374977144075e-4,0.264705882,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,7,170,1.011531159590e-4,0.211764706,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,8,170,1.267102105442e-4,0.258823529,3.504306223476e-4,3.504306223476e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,9,170,1.382056757781e-4,0.241176471,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,10,170,1.644926367265e-4,0.341176471,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,11,170,1.277737784445e-4,0.217647059,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,12,170,1.256077304267e-4,0.288235294,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,13,170,1.326328075283e-4,0.282352941,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,14,170,1.573665830917e-4,0.270588235,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,15,170,1.329362750571e-4,0.282352941,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,16,170,1.447090532269e-4,0.264705882,3.003304445883e-4,3.003304445883e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,17,170,1.491751518269e-4,0.311764706,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,18,170,1.467578784503e-4,0.235294118,3.751218537218e-4,3.751218537218e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,19,170,1.417484508441e-4,0.264705882,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,20,170,1.309596671658e-4,0.200000000,3.438318963163e-4,3.438318963163e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,21,170,1.635937379070e-4,0.317647059,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,22,170,2.379215659472e-4,0.300000000,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,23,170,1.780178836726e-4,0.247058824,3.504306223476e-4,3.504306223476e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,24,170,1.219531627838e-4,0.288235294,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,25,170,1.780506377351e-4,0.252941176,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,26,170,1.358741293019e-4,0.300000000,3.504306223476e-4,3.504306223476e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,27,170,2.902622968607e-4,0.341176471,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,28,170,1.861309674166e-4,0.323529412,3.504306223476e-4,3.504306223476e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,29,170,1.060227602835e-4,0.258823529,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,30,170,2.096367517164e-4,0.282352941,3.424442256801e-4,3.424442256801e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,31,170,1.852191663882e-4,0.323529412,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,32,170,1.154196720370e-4,0.235294118,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,33,170,1.358119368813e-4,0.241176471,3.504306223476e-4,3.504306223476e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,34,170,1.171919465281e-4,0.241176471,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,35,170,1.617994463972e-4,0.241176471,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,36,170,1.192358188938e-4,0.288235294,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,37,170,1.397555788894e-4,0.241176471,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,38,170,1.768914837857e-4,0.241176471,3.003304445883e-4,3.003304445883e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,39,170,1.197759419890e-4,0.264705882,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,40,170,1.126179493004e-4,0.229411765,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,41,170,1.740564567310e-4,0.300000000,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,42,170,1.655638126520e-4,0.282352941,3.003304445883e-4,3.003304445883e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,43,170,1.843084884376e-4,0.300000000,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,44,170,1.943119240003e-4,0.317647059,4.845522535106e-4,4.845522535106e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,45,170,1.586153745459e-4,0.282352941,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,46,170,1.480620853498e-4,0.294117647,3.424442256801e-4,3.424442256801e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,47,170,1.353773282434e-4,0.229411765,3.504306223476e-4,3.504306223476e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,48,170,1.458675319877e-4,0.305882353,4.339131410234e-4,4.339131410234e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,49,170,1.027917206080e-4,0.235294118,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,50,170,1.582476825776e-4,0.335294118,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,51,170,1.595270330310e-4,0.229411765,3.504306223476e-4,3.504306223476e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,52,170,1.314607901526e-4,0.270588235,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,53,170,1.554820756409e-4,0.300000000,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,54,170,1.073116929738e-4,0.211764706,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,55,170,1.357167443994e-4,0.282352941,1.747633214109e-4,1.747633214109e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,56,170,1.690288868589e-4,0.317647059,4.845522535106e-4,4.845522535106e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,57,170,1.422067481252e-4,0.270588235,4.339131410234e-4,4.339131410234e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,58,170,1.473073623164e-4,0.252941176,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,59,170,2.368777443741e-4,0.352941176,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,60,170,1.575499067218e-4,0.241176471,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,61,170,2.024935022942e-4,0.288235294,4.339131410234e-4,4.339131410234e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,62,170,1.420520406863e-4,0.211764706,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_00,63,170,1.324627705365e-4,0.282352941,3.504306223476e-4,3.504306223476e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,0,170,1.982262119070e-4,0.270588235,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,1,170,1.798436499918e-4,0.264705882,2.511274215067e-4,2.511274215067e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,2,170,1.294697616386e-4,0.311764706,3.438318963163e-4,3.438318963163e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,3,170,2.036746348685e-4,0.282352941,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,4,170,1.557998651033e-4,0.335294118,3.438318963163e-4,3.438318963163e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,5,170,1.050262966486e-4,0.252941176,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,6,170,1.705994823573e-4,0.323529412,4.928435082547e-4,7.045616948744e-4,true
9d047ac26e31b58f,600,0.5,hash_placebo_01,7,170,1.642222653641e-4,0.282352941,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,8,170,2.001492447349e-4,0.364705882,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,9,170,1.845675516983e-4,0.282352941,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,10,170,1.894695674095e-4,0.270588235,3.003304445883e-4,3.003304445883e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,11,170,1.386359796156e-4,0.364705882,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,12,170,1.454819136929e-4,0.264705882,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,13,170,1.495938650145e-4,0.282352941,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,14,170,1.516819364416e-4,0.247058824,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,15,170,1.571624388408e-4,0.311764706,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,16,170,1.725225137099e-4,0.258823529,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,17,170,1.122834534285e-4,0.217647059,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,18,170,1.438846021667e-4,0.270588235,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,19,170,1.280505276039e-4,0.247058824,3.438318963163e-4,3.438318963163e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,20,170,2.199523151620e-4,0.247058824,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,21,170,2.517184232637e-4,0.329411765,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,22,170,8.716956310561e-5,0.229411765,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,23,170,2.201223169361e-4,0.323529412,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,24,170,1.879205037310e-4,0.258823529,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,25,170,1.636678720677e-4,0.388235294,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,26,170,1.347956900727e-4,0.205882353,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,27,170,1.568627615765e-4,0.405882353,2.111972717103e-4,2.111972717103e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,28,170,1.932016269262e-4,0.370588235,4.845522535106e-4,4.845522535106e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,29,170,1.038609981214e-4,0.158823529,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,30,170,1.866040017569e-4,0.305882353,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,31,170,1.757840671629e-4,0.241176471,4.287691335776e-4,4.287691335776e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,32,170,2.627569926342e-4,0.358823529,4.845522535106e-4,4.845522535106e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,33,170,1.321674104726e-4,0.329411765,4.845522535106e-4,4.845522535106e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,34,170,1.312777049991e-4,0.223529412,2.386868291069e-4,2.386868291069e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,35,170,1.291430278895e-4,0.300000000,2.921081031673e-4,2.921081031673e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,36,170,1.389639087785e-4,0.241176471,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,37,170,1.706328921292e-4,0.241176471,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,38,170,1.705361869215e-4,0.358823529,3.424442256801e-4,3.424442256801e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,39,170,1.259054401675e-4,0.252941176,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,40,170,1.213209074420e-4,0.294117647,1.747633214109e-4,1.747633214109e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,41,170,1.069923748175e-4,0.300000000,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,42,170,1.539052007220e-4,0.258823529,2.921081031673e-4,2.921081031673e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,43,170,1.654837555984e-4,0.335294118,2.111972717103e-4,2.111972717103e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,44,170,1.790063953557e-4,0.264705882,3.438318963163e-4,3.438318963163e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,45,170,2.478029027887e-4,0.358823529,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,46,170,9.289383801669e-5,0.188235294,2.921081031673e-4,2.921081031673e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,47,170,1.188558080746e-4,0.264705882,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,48,170,1.450145294226e-4,0.270588235,4.676493699662e-4,5.145985833224e-4,true
9d047ac26e31b58f,600,0.5,hash_placebo_01,49,170,1.922266797591e-4,0.229411765,3.751218537218e-4,3.751218537218e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,50,170,1.651498193155e-4,0.241176471,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,51,170,1.859037199240e-4,0.358823529,1.747633214109e-4,1.747633214109e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,52,170,1.488036161904e-4,0.235294118,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,53,170,1.804743225804e-4,0.211764706,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,54,170,1.832246459691e-4,0.288235294,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,55,170,1.546751228901e-4,0.241176471,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,56,170,1.549569794312e-4,0.282352941,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,57,170,2.150111062810e-4,0.270588235,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,58,170,1.543989460017e-4,0.294117647,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,59,170,1.271272600558e-4,0.247058824,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,60,170,2.418625616572e-4,0.335294118,3.424442256801e-4,3.424442256801e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,61,170,1.721842989761e-4,0.358823529,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,62,170,1.617319562382e-4,0.370588235,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_01,63,170,1.408451502656e-4,0.247058824,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,0,170,1.523450136893e-4,0.300000000,3.438318963163e-4,3.438318963163e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,1,170,1.344125807407e-4,0.229411765,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,2,170,1.700776559837e-4,0.329411765,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,3,170,1.542807340238e-4,0.352941176,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,4,170,9.380548267786e-5,0.282352941,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,5,170,1.984302540563e-4,0.276470588,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,6,170,2.373416051854e-4,0.329411765,4.845522535106e-4,4.845522535106e-4,false
