method,seed,n_states,scale,within_stratum_utility_variance,predicted_finite_population_rmse,observed_panel_rmse,sign_error_rate,cross_block_regret,selected_program_regret,false_authorization_rate
development_response_oracle,0a53f8c62d9147be,3,0.5,4.347192423831e-6,2.034762357704e-4,2.067884043035e-4,0.314889706,2.367509728505e-4,2.686293813359e-4,0.192708333
development_response_oracle,4f86d203b1a975ce,3,0.5,6.039467494202e-6,2.329765117054e-4,2.321034821256e-4,0.285605204,2.619055219952e-4,2.865854832971e-4,0.114583333
development_response_oracle,6e1903d4a7c285bf,3,0.5,8.194269341637e-6,2.647700280326e-4,2.732669507100e-4,0.309129902,2.372863870903e-4,2.562401758131e-4,0.093750000
development_response_oracle,9d047ac26e31b58f,3,0.5,3.340251419588e-6,1.811506984714e-4,1.820674674069e-4,0.300161210,2.325397436493e-4,2.458149482436e-4,0.104166667
development_response_oracle,b27c5e0983d164af,3,0.5,9.205606085509e-6,2.850817538937e-4,2.820631682491e-4,0.272386546,3.866242593347e-4,4.101508515646e-4,0.104166667
development_response_oracle,d5a841f07c3692eb,3,0.5,4.860865007093e-6,2.161816359915e-4,2.139596781881e-4,0.283808576,2.086655030145e-4,2.373461868288e-4,0.109375000
evaluation_state_response_comparator,0a53f8c62d9147be,3,0.5,4.312708156568e-6,2.029572860471e-4,1.991217830489e-4,0.302236520,1.941265635423e-4,2.132231226213e-4,0.104166667
evaluation_state_response_comparator,4f86d203b1a975ce,3,0.5,5.635440869982e-6,2.255238395667e-4,2.292602782926e-4,0.278812253,2.505148646037e-4,2.758061584155e-4,0.125000000
evaluation_state_response_comparator,6e1903d4a7c285bf,3,0.5,7.779682387748e-6,2.563017386715e-4,2.584088362954e-4,0.305116422,2.262411705184e-4,2.400550610773e-4,0.088541667
evaluation_state_response_comparator,9d047ac26e31b58f,3,0.5,3.199109619145e-6,1.770535510751e-4,1.741747489266e-4,0.303623950,1.957262257217e-4,2.114217372101e-4,0.083333333
evaluation_state_response_comparator,b27c5e0983d164af,3,0.5,8.611163366338e-6,2.750854581492e-4,2.703052078144e-4,0.254804142,3.003153221831e-4,3.197014191301e-4,0.067708333
evaluation_state_response_comparator,d5a841f07c3692eb,3,0.5,4.619840075060e-6,2.103625269473e-4,2.137465123602e-4,0.275035014,2.244808041828e-4,2.514820838305e-4,0.093750000
gradient_full171,0a53f8c62d9147be,3,0.5,4.318562352785e-6,2.023343541668e-4,2.006354334266e-4,0.305330882,2.174969231419e-4,2.492178893050e-4,0.171875000
gradient_full171,4f86d203b1a975ce,3,0.5,5.928737580710e-6,2.304079286144e-4,2.331071967861e-4,0.278845429,2.728196933504e-4,2.870130625160e-4,0.083333333
gradient_full171,6e1903d4a7c285bf,3,0.5,7.767545322556e-6,2.565175192049e-4,2.528434882379e-4,0.303553922,2.294872515828e-4,2.457428241384e-4,0.098958333
gradient_full171,9d047ac26e31b58f,3,0.5,3.232058060738e-6,1.773481257729e-4,1.792748753233e-4,0.307182977,1.937467829786e-4,2.019064102304e-4,0.041666667
gradient_full171,b27c5e0983d164af,3,0.5,8.697694811582e-6,2.762136642872e-4,2.767309720514e-4,0.261533478,3.613495005463e-4,3.824229404093e-4,0.072916667
gradient_full171,d5a841f07c3692eb,3,0.5,4.667716102919e-6,2.118270738410e-4,2.097979934138e-4,0.281046481,2.167099851723e-4,2.414760615276e-4,0.119791667
hash_placebo_mean,0a53f8c62d9147be,3,0.5,5.628161160270e-6,2.362955192101e-4,2.373435698874e-4,0.328730086,2.266994186807e-4,2.507837577782e-4,0.147135417
hash_placebo_mean,4f86d203b1a975ce,3,0.5,7.426259320995e-6,2.649505730829e-4,2.648486605281e-4,0.296281652,2.724502876310e-4,2.953138465648e-4,0.109375000
hash_placebo_mean,6e1903d4a7c285bf,3,0.5,9.904800572377e-6,2.987470455466e-4,2.982785727678e-4,0.331583180,2.695146142730e-4,2.923050418364e-4,0.152994792
