role,seed,step,train_loss,parameter_fingerprint,development_candidates,evaluation_candidates,eligible_blocks,bounds_skipped_blocks
development,1e27c8d46a90b35f,600,0.985201299,35c5a872c73dbcf6,170,170,85,0
development,1e27c8d46a90b35f,2400,0.711682558,c17b5e364805a7d6,170,170,85,0
development,1e27c8d46a90b35f,4200,0.427289218,1aa905409fd915b9,170,170,85,0
development,64b091f2d37a58ce,600,0.993481159,db008e12e8f38719,170,170,85,0
development,64b091f2d37a58ce,2400,0.629579008,71c529d878962764,170,170,85,0
development,64b091f2d37a58ce,4200,0.338625163,7eb6ffb4ae12e64b,168,168,84,1
development,c31975a60de248bf,600,0.966929674,4d17d2734c2e1e99,170,170,85,0
development,c31975a60de248bf,2400,0.493984729,56421f6ecba86864,170,170,85,0
development,c31975a60de248bf,4200,0.363625973,42a8d2091e8c9b21,168,168,84,1
development,7f52e8a1349c06d7,600,0.962112963,80a565b1d2c02899,170,170,85,0
development,7f52e8a1349c06d7,2400,0.669635117,245c8ff601105332,170,170,85,0
development,7f52e8a1349c06d7,4200,0.418567091,559b91aaf8e37288,168,168,84,1
development,a83d26f1c59740be,600,1.019282222,ab03fe6aa44effb4,170,170,85,0
development,a83d26f1c59740be,2400,0.392260045,2915993a112bd055,170,170,85,0
development,a83d26f1c59740be,4200,0.148064628,f6cef56b342467a2,166,166,83,2
development,35e6b9128c4f70ad,600,1.012163758,ea388372ab521775,170,170,85,0
development,35e6b9128c4f70ad,2400,0.519796669,73928a5aa1a4c1e5,170,170,85,0
development,35e6b9128c4f70ad,4200,0.376314133,b6a097108cd91fe0,170,170,85,0
evaluation,9d047ac26e31b58f,600,0.995930254,caf6913e60111806,170,170,85,0
evaluation,9d047ac26e31b58f,2400,0.410597652,b6f4d97af6aee0a9,168,168,84,1
evaluation,9d047ac26e31b58f,4200,0.237807319,c4be7952a45cc12d,168,168,84,1
evaluation,4f86d203b1a975ce,600,0.999515772,13154e15c5588bb2,170,170,85,0
evaluation,4f86d203b1a975ce,2400,0.696204185,cecd81db7286005b,170,170,85,0
evaluation,4f86d203b1a975ce,4200,0.387420148,5e6cbb8fe71eb800,170,170,85,0
evaluation,b27c5e0983d164af,600,0.982677281,77760cb3125e26ef,170,170,85,0
evaluation,b27c5e0983d164af,2400,0.454592377,b16fa5db3e6935c3,170,170,85,0
evaluation,b27c5e0983d164af,4200,0.327054828,1e09fd17b2d8e7c6,168,168,84,1
evaluation,0a53f8c62d9147be,600,0.983569860,d5a528d172dfdc73,170,170,85,0
evaluation,0a53f8c62d9147be,2400,0.723598659,6d1432895146c666,170,170,85,0
evaluation,0a53f8c62d9147be,4200,0.442075998,a1a67ef82962f805,170,170,85,0
evaluation,6e1903d4a7c285bf,600,1.025563359,dbb513fb0a42a7a6,170,170,85,0
evaluation,6e1903d4a7c285bf,2400,0.533660233,08502a19e06f3283,170,170,85,0
evaluation,6e1903d4a7c285bf,4200,0.390807390,a1f8b77a808d14fe,170,170,85,0
evaluation,d5a841f07c3692eb,600,0.959885657,75d14bd977efc375,170,170,85,0
evaluation,d5a841f07c3692eb,2400,0.505312860,98f9330fa963e994,170,170,85,0
evaluation,d5a841f07c3692eb,4200,0.302716702,84758d72797acc14,168,168,84,1
