method,seed,n_states,scale,within_stratum_utility_variance,predicted_finite_population_rmse,observed_panel_rmse,sign_error_rate,cross_block_regret,selected_program_regret,false_authorization_rate
development_response_oracle,,18,0.5,5.997941961976e-6,2.306061439775e-4,2.317081918305e-4,0.294330190,2.606287313224e-4,2.841278378472e-4,0.119791667
evaluation_state_response_comparator,,18,0.5,5.692990745807e-6,2.245474000761e-4,2.241695611230e-4,0.286604717,2.319008251253e-4,2.519482637141e-4,0.093750000
gradient_full171,,18,0.5,5.768719038548e-6,2.257747776479e-4,2.253983265399e-4,0.289582195,2.486016894620e-4,2.679631980211e-4,0.098090278
hash_placebo_mean,,18,0.5,7.318947712187e-6,2.609917913070e-4,2.607521841884e-4,0.311263395,2.733797800368e-4,2.981903328378e-4,0.126953125
input_only,,18,0.5,7.488242906087e-6,2.624879294226e-4,2.637408437649e-4,0.308990225,2.702917482069e-4,2.966380074480e-4,0.132812500
state_stats,,18,0.5,7.165582618899e-6,2.561785709160e-4,2.572325773902e-4,0.307189062,2.722115291315e-4,2.971909456590e-4,0.121527778
development_response_oracle,,18,1.0,2.400561654242e-5,4.613820629143e-4,4.626190781826e-4,0.293952146,5.046903795025e-4,5.713717905059e-4,0.176215278
evaluation_state_response_comparator,,18,1.0,2.279851989056e-5,4.494564557359e-4,4.482383243943e-4,0.287823216,4.728442880454e-4,5.299976787118e-4,0.141493056
gradient_full171,,18,1.0,2.309026943750e-5,4.516992569714e-4,4.510197919591e-4,0.291336017,4.941096440581e-4,5.519672365450e-4,0.141493056
hash_placebo_mean,,18,1.0,2.929445753755e-5,5.222016102148e-4,5.216364321538e-4,0.312609647,5.374819603846e-4,6.068908868600e-4,0.179578993
input_only,,18,1.0,2.997578494779e-5,5.252227861663e-4,5.279102442592e-4,0.311354174,5.330978131095e-4,6.043101894058e-4,0.179687500
state_stats,,18,1.0,2.868340976139e-5,5.126075957824e-4,5.147445282795e-4,0.308499073,5.335073587135e-4,6.009096449873e-4,0.180555556
development_response_oracle,,18,2.0,9.633917944766e-5,9.250629247687e-4,9.334191684786e-4,0.298632716,9.212601367609e-4,1.148226910383e-3,0.224826389
evaluation_state_response_comparator,,18,2.0,9.099827694833e-5,8.966621801973e-4,8.989733834295e-4,0.292001849,8.576715699652e-4,1.080565954229e-3,0.215277778
gradient_full171,,18,2.0,9.248390487501e-5,9.039410916974e-4,9.034100802507e-4,0.290920950,9.240923415575e-4,1.125263419604e-3,0.214409722
hash_placebo_mean,,18,2.0,1.173059308101e-4,1.045076328131e-3,1.043669174624e-3,0.312744944,1.000242094091e-3,1.234826014359e-3,0.248046875
input_only,,18,2.0,1.200589133710e-4,1.051200365541e-3,1.056900232143e-3,0.312192162,1.001137042259e-3,1.249854207258e-3,0.252604167
state_stats,,18,2.0,1.148525921461e-4,1.025853649853e-3,1.029978424568e-3,0.309081817,9.775192579365e-4,1.199478434160e-3,0.236979167
