seed,step,scale,evaluation_candidates,point_count,taylor_rmse,correlation,r_squared,sign_error_rate
9d047ac26e31b58f,600,0.5,170,16320,9.876760939905e-5,0.998101582,0.996187313,0.002748511
9d047ac26e31b58f,600,1.0,170,16320,2.683495016334e-4,0.996497119,0.992952545,0.004300485
9d047ac26e31b58f,600,2.0,170,16320,7.504632303383e-4,0.993150863,0.986180961,0.007555070
9d047ac26e31b58f,2400,0.5,168,16128,7.074685309973e-5,0.999506282,0.998998678,0.000473037
9d047ac26e31b58f,2400,1.0,168,16128,2.992936156618e-4,0.997798848,0.995535060,0.001975169
9d047ac26e31b58f,2400,2.0,168,16128,1.176891602228e-3,0.991526816,0.982776740,0.005410953
9d047ac26e31b58f,4200,0.5,168,16128,1.200779081701e-4,0.998505761,0.996990554,0.001125205
9d047ac26e31b58f,4200,1.0,168,16128,4.391956626091e-4,0.995034108,0.989995796,0.002016942
9d047ac26e31b58f,4200,2.0,168,16128,1.453521761126e-3,0.986658481,0.973114416,0.004377674
4f86d203b1a975ce,600,0.5,170,16320,5.922769377997e-5,0.999206746,0.998410644,0.000905551
4f86d203b1a975ce,600,1.0,170,16320,1.557995015276e-4,0.998629943,0.997247395,0.002258968
4f86d203b1a975ce,600,2.0,170,16320,5.587516265368e-4,0.995596264,0.991070397,0.006197790
4f86d203b1a975ce,2400,0.5,170,16320,5.855028092258e-4,0.978161072,0.956750883,0.003047961
4f86d203b1a975ce,2400,1.0,170,16320,1.505159018976e-3,0.964503821,0.930121766,0.004733834
4f86d203b1a975ce,2400,2.0,170,16320,3.578611198749e-3,0.950496694,0.903000098,0.008174871
4f86d203b1a975ce,4200,0.5,170,16320,3.170918388857e-4,0.995971122,0.991712687,0.000727008
4f86d203b1a975ce,4200,1.0,170,16320,8.446988240807e-4,0.992868638,0.985259145,0.001891040
4f86d203b1a975ce,4200,2.0,170,16320,2.362024231948e-3,0.986127250,0.971161513,0.004190442
b27c5e0983d164af,600,0.5,170,16320,6.962404013033e-5,0.999009346,0.998016254,0.001120030
b27c5e0983d164af,600,1.0,170,16320,1.915820446701e-4,0.998126205,0.996237049,0.001678009
b27c5e0983d164af,600,2.0,170,16320,6.152590000755e-4,0.995174645,0.990247739,0.004271917
b27c5e0983d164af,2400,0.5,170,16320,3.230940867865e-4,0.996335205,0.992618084,0.002894737
b27c5e0983d164af,2400,1.0,170,16320,9.261747992584e-4,0.992498202,0.984843809,0.004804333
