role,dataset_index,initialization_index,dataset_seed,initialization_seed,stream_seed,step,action_split,block,left_parameter,right_parameter,left_rank,right_rank,left_delta,right_delta,utility_alpha_1
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,1,87,85,0,1,-0.02000000,0.00000000,9.441003203392e-5
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,1,87,85,1,0,-0.01000000,0.00500000,5.156484621693e-5
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,2,88,84,0,0,0.02000000,-0.01000000,4.852811343881e-6
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,2,88,84,1,1,0.01000000,-0.00500000,3.157183527946e-6
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,3,89,83,0,0,0.02000000,-0.02000000,-2.114400267601e-4
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,3,89,83,1,1,0.01000000,-0.01000000,-1.071256920113e-4
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,4,90,82,0,0,0.02000000,-0.02000000,3.839842975140e-5
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,4,90,82,1,1,0.01000000,-0.01000000,1.925975084305e-5
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,5,91,81,0,0,-0.02000000,0.02000000,1.763111649780e-4
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,5,91,81,1,1,-0.01000000,0.01000000,9.168125689030e-5
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,6,92,80,0,1,0.02000000,0.00000000,2.859843334591e-5
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,6,92,80,1,0,0.01000000,-0.00500000,1.051525305229e-5
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,7,93,79,0,0,-0.02000000,0.02000000,-5.694230276276e-5
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,7,93,79,1,1,-0.01000000,0.01000000,-2.174576184188e-5
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,8,94,78,0,1,-0.02000000,-0.01000000,-3.371636194061e-5
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,8,94,78,1,0,-0.01000000,-0.02000000,-6.291456520557e-5
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,9,95,77,0,1,0.02000000,-0.01000000,2.344387212361e-5
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,9,95,77,1,0,0.01000000,-0.02000000,-2.024651766988e-4
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,10,96,76,0,0,0.02000000,0.02000000,-4.445947706699e-5
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,10,96,76,1,1,0.01000000,0.01000000,-1.263680587726e-5
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,11,97,75,0,0,0.02000000,-0.02000000,2.398106007604e-4
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,11,97,75,1,1,0.01000000,-0.01000000,1.257155090570e-4
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,12,98,74,0,1,0.02000000,-0.01000000,6.319830572465e-5
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,12,98,74,1,0,0.01000000,-0.02000000,3.361391645740e-5
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,13,99,73,0,0,-0.02000000,-0.02000000,4.164216516074e-4
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,13,99,73,1,1,-0.01000000,-0.01000000,2.141005097656e-4
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,14,100,72,0,0,0.02000000,0.02000000,-1.833215355873e-5
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,14,100,72,1,1,0.01000000,0.01000000,-5.220373623160e-6
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,15,101,71,0,0,-0.02000000,0.02000000,1.692418009043e-4
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,15,101,71,1,1,-0.01000000,0.01000000,1.124932095991e-4
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,16,102,70,0,0,-0.02000000,-0.02000000,2.873440507756e-6
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,16,102,70,1,1,-0.01000000,-0.01000000,8.416672244493e-6
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,17,103,69,0,0,0.02000000,-0.02000000,1.454502344131e-4
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,17,103,69,1,1,0.01000000,-0.01000000,9.785778820515e-5
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,18,104,68,0,1,0.02000000,0.01000000,-3.000969627465e-5
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,18,104,68,1,0,0.01000000,0.02000000,-3.154762089252e-5
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,19,105,67,0,0,0.02000000,-0.02000000,5.616247653961e-4
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,19,105,67,1,1,0.01000000,-0.01000000,2.933970245067e-4
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,20,106,66,0,1,-0.02000000,0.01000000,-1.314779092354e-5
development,0,0,a303dada00000001,a3031a1700000001,a303de0000000001,600,development,20,106,66,1,0,-0.01000000,0.02000000,-3.118005770375e-5
