dataset_index,initialization_index,stream_seed,method,n_states,within_stratum_utility_variance,predicted_finite_population_rmse,observed_panel_rmse,sign_error_rate,cross_block_regret,selected_program_regret,false_authorization_rate
0,0,,development_response_oracle,6,5.056832432224e-5,6.855216870213e-4,6.921515109687e-4,0.304918186,4.977640051938e-4,6.578508708905e-4,0.283854167
0,0,,evaluation_state_response_comparator,6,4.733026199842e-5,6.601553239550e-4,6.561072591499e-4,0.303814882,5.007939247198e-4,6.677129966188e-4,0.304687500
0,0,,gradient_full171,6,4.888299400520e-5,6.708949076547e-4,6.746226861302e-4,0.305223652,5.105252958539e-4,7.085185642837e-4,0.299479167
0,0,,hash_placebo_mean,6,5.907448339413e-5,7.496850308280e-4,7.502918359822e-4,0.325868709,5.474149570862e-4,7.393331968069e-4,0.325195312
0,1,,development_response_oracle,6,3.310735144234e-5,5.548619781139e-4,5.585430730857e-4,0.303610975,5.221585197622e-4,5.687102544201e-4,0.101562500
0,1,,evaluation_state_response_comparator,6,3.116900680305e-5,5.367888690172e-4,5.325649619874e-4,0.299891509,4.965802209161e-4,5.487711676201e-4,0.111979167
0,1,,gradient_full171,6,3.154904317187e-5,5.400282331009e-4,5.390479445013e-4,0.302995224,4.925907699516e-4,5.362191196658e-4,0.098958333
0,1,,hash_placebo_mean,6,3.919693274220e-5,6.141048292384e-4,6.150683114531e-4,0.318655475,5.533410300780e-4,6.133153663096e-4,0.132812500
0,2,,development_response_oracle,6,2.344986630732e-5,4.627411926707e-4,4.535320071739e-4,0.292715081,4.998422455117e-4,5.528085671962e-4,0.171875000
0,2,,evaluation_state_response_comparator,6,2.096031039324e-5,4.302944334374e-4,4.352022712894e-4,0.279650248,4.824586307060e-4,5.281334236500e-4,0.130208333
0,2,,gradient_full171,6,2.114252010403e-5,4.344966010328e-4,4.357459519438e-4,0.279449332,4.676997344220e-4,5.200570280971e-4,0.171875000
0,2,,hash_placebo_mean,6,2.803938788521e-5,5.153267782304e-4,5.179092711118e-4,0.312081892,5.089693860893e-4,5.597671614463e-4,0.142252604
1,0,,development_response_oracle,6,2.508277243174e-5,4.888405492901e-4,4.849364314332e-4,0.300315328,4.615098522104e-4,5.107066321675e-4,0.127604167
1,0,,evaluation_state_response_comparator,6,2.236546677802e-5,4.566622461616e-4,4.641871442562e-4,0.288311713,4.525643997365e-4,4.871367036922e-4,0.109375000
1,0,,gradient_full171,6,2.271699987874e-5,4.602081091248e-4,4.636821537138e-4,0.279851389,4.484338061973e-4,4.929198854230e-4,0.130208333
1,0,,hash_placebo_mean,6,3.064238905681e-5,5.486492633786e-4,5.499895924164e-4,0.314885547,4.991807088635e-4,5.549902509276e-4,0.161132812
1,1,,development_response_oracle,6,2.862564656297e-5,5.122313125692e-4,5.177156309645e-4,0.310923523,4.267805291514e-4,4.828339746717e-4,0.171875000
1,1,,evaluation_state_response_comparator,6,2.655399278347e-5,4.880081398635e-4,4.904632489529e-4,0.302483030,4.189349755876e-4,4.711302785338e-4,0.161458333
1,1,,gradient_full171,6,2.718359788402e-5,4.936078232543e-4,4.863931056012e-4,0.298977587,4.147017522181e-4,4.635607026516e-4,0.166666667
1,1,,hash_placebo_mean,6,3.702242890271e-5,5.926956127955e-4,5.909877434988e-4,0.329295923,4.498777572150e-4,5.196304588958e-4,0.214843750
1,2,,development_response_oracle,6,2.545283441550e-5,4.856380951007e-4,4.865778490398e-4,0.281878609,5.020910086060e-4,5.687377910032e-4,0.145833333
1,2,,evaluation_state_response_comparator,6,2.328421756025e-5,4.594524657041e-4,4.657845086549e-4,0.268173096,4.709597562803e-4,5.513828076905e-4,0.140625000
1,2,,gradient_full171,6,2.390616593475e-5,4.652377178022e-4,4.646940201623e-4,0.271501041,4.739625814304e-4,5.429036105798e-4,0.135416667
1,2,,hash_placebo_mean,6,3.093159501319e-5,5.442701260875e-4,5.441365436172e-4,0.296423571,4.913066366890e-4,5.753129031780e-4,0.161132812
2,0,,development_response_oracle,6,3.198902655277e-5,5.511824091134e-4,5.521716788960e-4,0.311029243,5.914776617833e-4,6.908832079600e-4,0.208333333
2,0,,evaluation_state_response_comparator,6,2.925849562077e-5,5.237720690521e-4,5.259416882270e-4,0.305704268,5.695875845966e-4,6.480414819805e-4,0.190104167
2,0,,gradient_full171,6,2.945979118100e-5,5.256429881441e-4,5.226873135554e-4,0.299837015,5.739899974534e-4,6.410187899846e-4,0.179687500
2,0,,hash_placebo_mean,6,3.865987244655e-5,6.125731521903e-4,6.108675102497e-4,0.326836435,6.097643206611e-4,7.027841051469e-4,0.210937500
