dataset_index,initialization_index,stream_seed,method,n_states,within_stratum_utility_variance,predicted_finite_population_rmse,observed_panel_rmse,sign_error_rate,cross_block_regret,selected_program_regret,false_authorization_rate
0,,,development_response_oracle,18,3.570851402397e-5,5.677082859353e-4,5.680755304094e-4,0.300414747,5.065882568226e-4,5.931232308356e-4,0.185763889
0,,,evaluation_state_response_comparator,18,3.315319306490e-5,5.424128754698e-4,5.412914974756e-4,0.294452213,4.932775921140e-4,5.815391959629e-4,0.182291667
0,,,gradient_full171,18,3.385818576037e-5,5.484732472628e-4,5.498055275251e-4,0.295889403,4.902719334091e-4,5.882649040155e-4,0.190104167
0,,,hash_placebo_mean,18,4.210360134051e-5,6.263722127656e-4,6.277564728491e-4,0.318868692,5.365751244179e-4,6.374719081876e-4,0.200086806
1,,,development_response_oracle,18,2.638708447007e-5,4.955699856534e-4,4.964099704792e-4,0.297705820,4.634604633226e-4,5.207594659475e-4,0.148437500
1,,,evaluation_state_response_comparator,18,2.406789237391e-5,4.680409505764e-4,4.734783006213e-4,0.286322613,4.474863772015e-4,5.032165966388e-4,0.137152778
1,,,gradient_full171,18,2.460225456583e-5,4.730178833938e-4,4.715897598258e-4,0.283443339,4.456993799486e-4,4.997947328848e-4,0.144097222
1,,,hash_placebo_mean,18,3.286547099090e-5,5.618716674205e-4,5.617046265108e-4,0.313535014,4.801217009225e-4,5.499778710005e-4,0.179036458
2,,,development_response_oracle,18,2.481485517701e-5,4.773163870255e-4,4.762454444997e-4,0.299142930,4.739228922411e-4,5.423961037532e-4,0.184027778
2,,,evaluation_state_response_comparator,18,2.289438831309e-5,4.549889875327e-4,4.538921193007e-4,0.292178353,4.602103146366e-4,5.234964197918e-4,0.161458333
2,,,gradient_full171,18,2.313842271055e-5,4.575181530168e-4,4.561208152553e-4,0.290102207,4.553432460470e-4,5.132636546720e-4,0.157118056
2,,,hash_placebo_mean,18,3.099091111063e-5,5.429159774061e-4,5.429933549891e-4,0.318304474,4.957570877868e-4,5.783722122286e-4,0.208224826
