dataset_index,initialization_index,stream_seed,method,n_states,within_stratum_utility_variance,predicted_finite_population_rmse,observed_panel_rmse,sign_error_rate,cross_block_regret,selected_program_regret,false_authorization_rate
,0,,development_response_oracle,18,3.588004110225e-5,5.751815484749e-4,5.764198737660e-4,0.305420919,5.169171730625e-4,6.198135703394e-4,0.206597222
,0,,evaluation_state_response_comparator,18,3.298474146574e-5,5.468632130562e-4,5.487453638777e-4,0.299276954,5.076486363510e-4,6.009637274305e-4,0.201388889
,0,,gradient_full171,18,3.368659502165e-5,5.522486683079e-4,5.536640511331e-4,0.294970685,5.109830331682e-4,6.141524132304e-4,0.203125000
,0,,hash_placebo_mean,18,4.279224829916e-5,6.369691487990e-4,6.370496462161e-4,0.322530230,5.521199955370e-4,6.657025176271e-4,0.232421875
,1,,development_response_oracle,18,2.881124307803e-5,5.138441261099e-4,5.171429490462e-4,0.306010606,4.564732844168e-4,5.100454072571e-4,0.159722222
,1,,evaluation_state_response_comparator,18,2.696809899487e-5,4.934737762354e-4,4.911344622212e-4,0.298690531,4.522621732020e-4,5.062628178207e-4,0.145833333
,1,,gradient_full171,18,2.752060140618e-5,4.985875615597e-4,4.949875279573e-4,0.298281232,4.414728022504e-4,4.867458773768e-4,0.138020833
,1,,hash_placebo_mean,18,3.557564060910e-5,5.815099410440e-4,5.820010385019e-4,0.322851962,4.865538814019e-4,5.572703354221e-4,0.192274306
,2,,development_response_oracle,18,2.221916949076e-5,4.515689840292e-4,4.471681225762e-4,0.285831972,4.705811549070e-4,5.264198229399e-4,0.151909722
,2,,evaluation_state_response_comparator,18,2.016263329130e-5,4.251058242874e-4,4.287820912987e-4,0.274985694,4.410634743990e-4,5.010256671423e-4,0.133680556
,2,,gradient_full171,18,2.039166660893e-5,4.281730538057e-4,4.288645235157e-4,0.276183031,4.388587239862e-4,5.004250009651e-4,0.150173611
,2,,hash_placebo_mean,18,2.759209453378e-5,5.126807677493e-4,5.134037696310e-4,0.305325987,4.737800361883e-4,5.428491383675e-4,0.162651910
