dataset_index,initialization_index,stream_seed,step,method,candidate_count,within_stratum_utility_variance,predicted_finite_population_rmse,observed_panel_rmse,sign_error_rate,cross_block_regret,selected_program_regret,false_authorization_rate
0,0,a303ea0000000001,600,hash_placebo_00,170,1.985582892909e-5,4.547873693768e-4,4.448038501724e-4,0.306617647,4.532117003180e-4,5.120239541299e-4,0.218750000
0,0,a303ea0000000001,600,hash_placebo_01,170,1.963574508170e-5,4.522598934990e-4,4.620176764872e-4,0.302481618,4.025924359610e-4,4.428230002560e-4,0.171875000
0,0,a303ea0000000001,600,hash_placebo_02,170,1.982655652006e-5,4.544520111269e-4,4.401082199928e-4,0.308639706,4.227283236560e-4,4.749756752176e-4,0.218750000
0,0,a303ea0000000001,600,hash_placebo_03,170,1.963063236866e-5,4.522010104370e-4,4.580138451134e-4,0.304136029,3.962483392570e-4,4.312752746500e-4,0.171875000
0,0,a303ea0000000001,600,hash_placebo_04,170,1.942133481339e-5,4.497839158671e-4,4.359538517246e-4,0.293198529,3.440464806772e-4,3.927460361979e-4,0.171875000
0,0,a303ea0000000001,600,hash_placebo_05,170,1.977113196072e-5,4.538163629240e-4,4.578330625411e-4,0.309558824,3.760336162486e-4,4.142623703842e-4,0.140625000
0,0,a303ea0000000001,600,hash_placebo_06,170,1.981447662211e-5,4.543135460748e-4,4.486182558263e-4,0.296875000,4.869933164002e-4,5.554898895497e-4,0.296875000
0,0,a303ea0000000001,600,hash_placebo_07,170,1.923344980880e-5,4.476029887169e-4,4.586924782560e-4,0.299448529,4.432214796850e-4,4.924786459384e-4,0.218750000
0,0,a303ea0000000001,600,gradient_full171,170,1.166408427491e-5,3.485697603976e-4,3.463578777801e-4,0.255606618,3.260122950905e-4,3.654995282432e-4,0.140625000
0,0,a303ea0000000001,600,development_response_oracle,170,1.362701839323e-5,3.767600141507e-4,3.849043550787e-4,0.289981618,3.600937409374e-4,3.950828510142e-4,0.156250000
0,0,a303ea0000000001,600,evaluation_state_response_comparator,170,1.158894356107e-5,3.474451929363e-4,3.384553881409e-4,0.257720588,2.604910083335e-4,2.741069346968e-4,0.078125000
0,0,a303ea0000000001,2400,hash_placebo_00,170,5.419598927118e-5,7.513598038943e-4,7.476947651748e-4,0.335753676,4.405244940244e-4,5.339971201863e-4,0.296875000
0,0,a303ea0000000001,2400,hash_placebo_01,170,5.384617705237e-5,7.489310232784e-4,7.191676717398e-4,0.338419118,4.742358393628e-4,5.953127873681e-4,0.281250000
0,0,a303ea0000000001,2400,hash_placebo_02,170,5.486345412450e-5,7.559724292571e-4,7.703374906826e-4,0.343198529,4.583725640259e-4,6.398548814559e-4,0.343750000
