role,dataset_index,dataset_seed,initialization_index,initialization_seed,stream_seed,step,train_loss,parameter_fingerprint,development_candidates,evaluation_candidates,eligible_blocks,bounds_skipped_blocks
development,0,a303dada00000001,0,a3031a1700000001,a303de0000000001,600,0.833069026,a5f0a6bcb8759f57,170,170,85,0
development,0,a303dada00000001,0,a3031a1700000001,a303de0000000001,2400,0.549500585,748f2f2315e22621,170,170,85,0
development,0,a303dada00000001,0,a3031a1700000001,a303de0000000001,4200,0.416872054,21fb70f7f228f54f,170,170,85,0
development,0,a303dada00000001,0,a3031a1700000001,a303de0000000002,600,0.882052124,c8ea3fc2378af6ee,170,170,85,0
development,0,a303dada00000001,0,a3031a1700000001,a303de0000000002,2400,0.577736795,66a9eb9ea2ff886b,170,170,85,0
development,0,a303dada00000001,0,a3031a1700000001,a303de0000000002,4200,0.394109815,b0f77694ab7c9d92,170,170,85,0
evaluation,0,a303dada00000001,0,a3031a1700000001,a303ea0000000001,600,0.818960369,36a1b692654f119f,170,170,85,0
evaluation,0,a303dada00000001,0,a3031a1700000001,a303ea0000000001,2400,0.504290402,4e0c29b61043825b,170,170,85,0
evaluation,0,a303dada00000001,0,a3031a1700000001,a303ea0000000001,4200,0.360357076,eca6df9a2fe6b659,170,170,85,0
evaluation,0,a303dada00000001,0,a3031a1700000001,a303ea0000000002,600,0.815080583,a06253975d912ba4,170,170,85,0
evaluation,0,a303dada00000001,0,a3031a1700000001,a303ea0000000002,2400,0.522897124,fe1c240508103bdf,170,170,85,0
evaluation,0,a303dada00000001,0,a3031a1700000001,a303ea0000000002,4200,0.374990106,8473f5f6553fdecd,170,170,85,0
development,0,a303dada00000001,1,a3031a1700000002,a303de0000000003,600,0.877370179,9c139828684af185,170,170,85,0
development,0,a303dada00000001,1,a3031a1700000002,a303de0000000003,2400,0.630504549,6a32a267a96f6033,168,168,84,1
development,0,a303dada00000001,1,a3031a1700000002,a303de0000000003,4200,0.506200850,b745f59dac70e63b,170,170,85,0
development,0,a303dada00000001,1,a3031a1700000002,a303de0000000004,600,0.905649960,91835ec0e6ca2278,170,170,85,0
development,0,a303dada00000001,1,a3031a1700000002,a303de0000000004,2400,0.663003206,b0974f009545915c,170,170,85,0
development,0,a303dada00000001,1,a3031a1700000002,a303de0000000004,4200,0.431433648,177998972a8f7eb0,170,170,85,0
evaluation,0,a303dada00000001,1,a3031a1700000002,a303ea0000000003,600,0.908208907,973950df53a00c8c,170,170,85,0
evaluation,0,a303dada00000001,1,a3031a1700000002,a303ea0000000003,2400,0.569653809,2e83509b4ba97602,170,170,85,0
evaluation,0,a303dada00000001,1,a3031a1700000002,a303ea0000000003,4200,0.349109083,e1f374d85bc63b3c,170,170,85,0
evaluation,0,a303dada00000001,1,a3031a1700000002,a303ea0000000004,600,0.915835619,a1bb73744ac39574,170,170,85,0
evaluation,0,a303dada00000001,1,a3031a1700000002,a303ea0000000004,2400,0.549997509,3c7194173eee096d,170,170,85,0
evaluation,0,a303dada00000001,1,a3031a1700000002,a303ea0000000004,4200,0.365789562,393fec18c5979274,168,168,84,1
development,0,a303dada00000001,2,a3031a1700000003,a303de0000000005,600,0.929777324,132366008e1becd8,170,170,85,0
development,0,a303dada00000001,2,a3031a1700000003,a303de0000000005,2400,0.595294893,5bc76aba8aae46eb,168,168,84,1
development,0,a303dada00000001,2,a3031a1700000003,a303de0000000005,4200,0.346921355,3d2ce59936890f8c,170,170,85,0
development,0,a303dada00000001,2,a3031a1700000003,a303de0000000006,600,0.982273042,caa0576aa5dd41c2,170,170,85,0
development,0,a303dada00000001,2,a3031a1700000003,a303de0000000006,2400,0.733320713,7230c417b79e28e7,170,170,85,0
development,0,a303dada00000001,2,a3031a1700000003,a303de0000000006,4200,0.472917169,e19cf6470e55c055,170,170,85,0
evaluation,0,a303dada00000001,2,a3031a1700000003,a303ea0000000005,600,0.952647448,ae40a7b7953c144b,170,170,85,0
evaluation,0,a303dada00000001,2,a3031a1700000003,a303ea0000000005,2400,0.761176586,a0058d6556968be5,170,170,85,0
evaluation,0,a303dada00000001,2,a3031a1700000003,a303ea0000000005,4200,0.391072780,c559b41da6e22294,170,170,85,0
evaluation,0,a303dada00000001,2,a3031a1700000003,a303ea0000000006,600,1.030014157,be9e3b7f08e201e6,170,170,85,0
evaluation,0,a303dada00000001,2,a3031a1700000003,a303ea0000000006,2400,0.609638870,7222143c265c420d,170,170,85,0
evaluation,0,a303dada00000001,2,a3031a1700000003,a303ea0000000006,4200,0.350525886,0d1a40c3d68533f6,170,170,85,0
development,1,a303dada00000002,0,a3031a1700000001,a303de0000000007,600,0.972478926,c5bf47070e1d301e,170,170,85,0
development,1,a303dada00000002,0,a3031a1700000001,a303de0000000007,2400,0.636952639,d196179dc66f9720,170,170,85,0
development,1,a303dada00000002,0,a3031a1700000001,a303de0000000007,4200,0.417011470,55808707d3fb415e,168,168,84,1
development,1,a303dada00000002,0,a3031a1700000001,a303de0000000008,600,0.914935350,50d4c0cf8a1c46a0,170,170,85,0
development,1,a303dada00000002,0,a3031a1700000001,a303de0000000008,2400,0.469225526,7455024e6e05f256,170,170,85,0
development,1,a303dada00000002,0,a3031a1700000001,a303de0000000008,4200,0.231526032,95c2b82c32174db7,168,168,84,1
evaluation,1,a303dada00000002,0,a3031a1700000001,a303ea0000000007,600,0.940196216,635da981a5e3b070,170,170,85,0
evaluation,1,a303dada00000002,0,a3031a1700000001,a303ea0000000007,2400,0.465190411,7d42e867b9dcdd01,170,170,85,0
evaluation,1,a303dada00000002,0,a3031a1700000001,a303ea0000000007,4200,0.266895026,5238807ac6552f98,168,168,84,1
evaluation,1,a303dada00000002,0,a3031a1700000001,a303ea0000000008,600,0.959788799,2a7473c7ca35ab2b,170,170,85,0
evaluation,1,a303dada00000002,0,a3031a1700000001,a303ea0000000008,2400,0.568258584,bae71275fc4a06ff,170,170,85,0
evaluation,1,a303dada00000002,0,a3031a1700000001,a303ea0000000008,4200,0.312638521,09ce4680a4a85806,168,168,84,1
development,1,a303dada00000002,1,a3031a1700000002,a303de0000000009,600,0.964829385,ed653724bd8a7115,170,170,85,0
development,1,a303dada00000002,1,a3031a1700000002,a303de0000000009,2400,0.646248281,905ae463f7d37eb2,170,170,85,0
development,1,a303dada00000002,1,a3031a1700000002,a303de0000000009,4200,0.393917650,8481b774905742fd,170,170,85,0
development,1,a303dada00000002,1,a3031a1700000002,a303de000000000a,600,0.974860251,ed574ade43390e25,170,170,85,0
development,1,a303dada00000002,1,a3031a1700000002,a303de000000000a,2400,0.531852067,da57b37e159cd01e,170,170,85,0
development,1,a303dada00000002,1,a3031a1700000002,a303de000000000a,4200,0.336270422,3bb266a1f57d680b,168,168,84,1
evaluation,1,a303dada00000002,1,a3031a1700000002,a303ea0000000009,600,0.979460537,6a69a0d8fc059bf9,170,170,85,0
evaluation,1,a303dada00000002,1,a3031a1700000002,a303ea0000000009,2400,0.561721325,256da34869de36f2,170,170,85,0
evaluation,1,a303dada00000002,1,a3031a1700000002,a303ea0000000009,4200,0.426414698,1c68e4b92e517b0d,170,170,85,0
evaluation,1,a303dada00000002,1,a3031a1700000002,a303ea000000000a,600,0.976919174,3397d497a8a44bcd,170,170,85,0
evaluation,1,a303dada00000002,1,a3031a1700000002,a303ea000000000a,2400,0.609333932,efeaa2532635db68,170,170,85,0
evaluation,1,a303dada00000002,1,a3031a1700000002,a303ea000000000a,4200,0.324845344,9ee5e1627e8ee173,170,170,85,0
development,1,a303dada00000002,2,a3031a1700000003,a303de000000000b,600,0.942092419,f134d7132bf3a245,170,170,85,0
development,1,a303dada00000002,2,a3031a1700000003,a303de000000000b,2400,0.563774705,d52f1a0369084af8,170,170,85,0
development,1,a303dada00000002,2,a3031a1700000003,a303de000000000b,4200,0.391734928,d2f7cec7ef17df7b,170,170,85,0
development,1,a303dada00000002,2,a3031a1700000003,a303de000000000c,600,0.936675549,04901faf288940e7,170,170,85,0
development,1,a303dada00000002,2,a3031a1700000003,a303de000000000c,2400,0.455776423,53fb7637260f004c,170,170,85,0
development,1,a303dada00000002,2,a3031a1700000003,a303de000000000c,4200,0.289860517,bff9e1ae2b4606bd,168,168,84,1
evaluation,1,a303dada00000002,2,a3031a1700000003,a303ea000000000b,600,0.996262133,1e7744abaf25c599,170,170,85,0
evaluation,1,a303dada00000002,2,a3031a1700000003,a303ea000000000b,2400,0.677567661,9881a84bdde75fc1,170,170,85,0
evaluation,1,a303dada00000002,2,a3031a1700000003,a303ea000000000b,4200,0.536074579,94d95c4edcc45537,170,170,85,0
evaluation,1,a303dada00000002,2,a3031a1700000003,a303ea000000000c,600,0.939549446,9ad692ad2d7d77e9,170,170,85,0
